year,migback,regtyp,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Direct migration background,Rural regions,Blue-collar worker,0.33563,185,277,0.27992,0.39134
1987,Direct migration background,Rural regions,White-collar worker,0.12671,31,277,0.08747,0.16596
1987,Direct migration background,Rural regions,Not employed: no further information,0.17655,61,277,0.13156,0.22153
1987,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.03507,70,70,-0.00834,0.07847
1988,No migration background,Urban regions,Self-employed,0.03906,267,5377,0.03388,0.04424
1988,No migration background,Urban regions,Blue-collar worker,0.14426,946,5377,0.13487,0.15366
1988,No migration background,Urban regions,Civil servant,0.04375,300,5377,0.03828,0.04922
1988,No migration background,Urban regions,White-collar worker,0.21392,1386,5377,0.20296,0.22489
1988,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.07442,562,5377,0.06741,0.08144
1988,No migration background,Urban regions,Not employed: Pensioner,0.20665,967,5377,0.19583,0.21748
1988,No migration background,Urban regions,Not employed: Military/Community Service,0.00512,35,5377,0.00321,0.00703
1988,No migration background,Urban regions,Not employed: registered unemployed,0.02674,168,5377,0.02243,0.03105
1988,No migration background,Urban regions,Not employed: no further information,0.10550,746,5377,0.09729,0.11371
1988,No migration background,Rural regions,Self-employed,0.06459,136,1675,0.05281,0.07636
1988,No migration background,Rural regions,Blue-collar worker,0.15080,337,1675,0.13366,0.16794
1988,No migration background,Rural regions,Civil servant,0.04292,97,1675,0.03321,0.05263
1988,No migration background,Rural regions,White-collar worker,0.14505,324,1675,0.12818,0.16192
1988,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.06102,153,1675,0.04955,0.07249
1988,No migration background,Rural regions,Not employed: Pensioner,0.21001,325,1675,0.19050,0.22953
1988,No migration background,Rural regions,Not employed: registered unemployed,0.03996,81,1675,0.03058,0.04934
1988,No migration background,Rural regions,Not employed: no further information,0.10106,222,1675,0.08662,0.11550
1988,Direct migration background,Urban regions,Self-employed,0.03744,78,2315,0.02971,0.04518
1988,Direct migration background,Urban regions,Blue-collar worker,0.36690,1151,2315,0.34726,0.38654
1988,Direct migration background,Urban regions,White-collar worker,0.11996,189,2315,0.10672,0.13319
1988,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.05372,157,2315,0.04454,0.06291
1988,Direct migration background,Urban regions,Not employed: Pensioner,0.13763,146,2315,0.12359,0.15166
1988,Direct migration background,Urban regions,Not employed: registered unemployed,0.05947,172,2315,0.04983,0.06911
1988,Direct migration background,Urban regions,Not employed: no further information,0.15085,422,2315,0.13627,0.16544
1988,Direct migration background,Rural regions,Blue-collar worker,0.29781,167,227,0.23819,0.35743
1988,Direct migration background,Rural regions,Not employed: no further information,0.17729,60,227,0.12750,0.22709
1988,Indirect migration background,Urban regions,Blue-collar worker,0.03479,44,132,0.00341,0.06618
1988,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.04941,88,132,0.01230,0.08653
1989,No migration background,Urban regions,Self-employed,0.03874,260,5198,0.03349,0.04398
1989,No migration background,Urban regions,Blue-collar worker,0.14131,911,5198,0.13184,0.15078
1989,No migration background,Urban regions,Civil servant,0.04152,277,5198,0.03609,0.04694
1989,No migration background,Urban regions,White-collar worker,0.22697,1427,5198,0.21558,0.23836
1989,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.07538,517,5198,0.06820,0.08255
1989,No migration background,Urban regions,Not employed: Pensioner,0.20878,949,5198,0.19773,0.21983
1989,No migration background,Urban regions,Not employed: Military/Community Service,0.00436,37,5198,0.00257,0.00615
1989,No migration background,Urban regions,Not employed: registered unemployed,0.02028,130,5198,0.01644,0.02411
1989,No migration background,Urban regions,Not employed: no further information,0.10324,690,5198,0.09497,0.11151
1989,No migration background,Rural regions,Self-employed,0.05660,119,1595,0.04526,0.06794
1989,No migration background,Rural regions,Blue-collar worker,0.15184,317,1595,0.13423,0.16946
1989,No migration background,Rural regions,Civil servant,0.04698,97,1595,0.03659,0.05737
1989,No migration background,Rural regions,White-collar worker,0.15750,334,1595,0.13962,0.17539
1989,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.06339,148,1595,0.05143,0.07535
1989,No migration background,Rural regions,Not employed: Pensioner,0.21064,307,1595,0.19062,0.23066
1989,No migration background,Rural regions,Not employed: registered unemployed,0.02956,60,1595,0.02124,0.03787
1989,No migration background,Rural regions,Not employed: no further information,0.10275,213,1595,0.08784,0.11766
1989,Direct migration background,Urban regions,Self-employed,0.02930,63,2257,0.02234,0.03626
1989,Direct migration background,Urban regions,Blue-collar worker,0.36813,1134,2257,0.34823,0.38803
1989,Direct migration background,Urban regions,White-collar worker,0.12683,197,2257,0.11310,0.14056
1989,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.04446,128,2257,0.03595,0.05296
1989,Direct migration background,Urban regions,Not employed: Pensioner,0.15066,162,2257,0.13590,0.16542
1989,Direct migration background,Urban regions,Not employed: registered unemployed,0.04320,107,2257,0.03481,0.05159
1989,Direct migration background,Urban regions,Not employed: no further information,0.17327,466,2257,0.15766,0.18889
1989,Direct migration background,Rural regions,Blue-collar worker,0.34331,174,230,0.28182,0.40481
1989,Direct migration background,Rural regions,Not employed: no further information,0.16928,56,230,0.12071,0.21785
1989,Indirect migration background,Urban regions,Blue-collar worker,0.03582,49,186,0.00904,0.06261
1989,Indirect migration background,Urban regions,White-collar worker,0.02484,31,186,0.00241,0.04727
1989,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.07816,106,186,0.03948,0.11684
1990,No migration background,Urban regions,Self-employed,0.03829,293,6436,0.03360,0.04298
1990,No migration background,Urban regions,Blue-collar worker,0.15176,1331,6436,0.14299,0.16052
1990,No migration background,Urban regions,Civil servant,0.03910,277,6436,0.03436,0.04384
1990,No migration background,Urban regions,White-collar worker,0.23410,1962,6436,0.22376,0.24445
1990,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.06805,544,6436,0.06189,0.07420
1990,No migration background,Urban regions,Not employed: Pensioner,0.19894,1160,6436,0.18918,0.20869
1990,No migration background,Urban regions,Not employed: Military/Community Service,0.00480,45,6436,0.00311,0.00649
1990,No migration background,Urban regions,Not employed: registered unemployed,0.01633,108,6436,0.01323,0.01943
1990,No migration background,Urban regions,Not employed: no further information,0.09208,716,6436,0.08502,0.09915
1990,No migration background,Rural regions,Self-employed,0.03860,183,4325,0.03286,0.04435
1990,No migration background,Rural regions,Blue-collar worker,0.21072,1362,4325,0.19856,0.22287
1990,No migration background,Rural regions,Civil servant,0.02625,93,4325,0.02148,0.03101
1990,No migration background,Rural regions,White-collar worker,0.20016,1280,4325,0.18823,0.21208
1990,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.05417,315,4325,0.04743,0.06092
1990,No migration background,Rural regions,Not employed: Pensioner,0.18764,704,4325,0.17601,0.19928
1990,No migration background,Rural regions,Not employed: registered unemployed,0.01685,59,4325,0.01301,0.02068
1990,No migration background,Rural regions,Not employed: no further information,0.07045,329,4325,0.06282,0.07808
1990,Direct migration background,Urban regions,Self-employed,0.03321,70,2243,0.02579,0.04063
1990,Direct migration background,Urban regions,Blue-collar worker,0.36793,1103,2243,0.34797,0.38789
1990,Direct migration background,Urban regions,White-collar worker,0.13770,218,2243,0.12343,0.15196
1990,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.04743,118,2243,0.03863,0.05623
1990,Direct migration background,Urban regions,Not employed: Pensioner,0.15009,181,2243,0.13531,0.16488
1990,Direct migration background,Urban regions,Not employed: registered unemployed,0.05104,132,2243,0.04193,0.06015
1990,Direct migration background,Urban regions,Not employed: no further information,0.16061,421,2243,0.14541,0.17581
1990,Direct migration background,Rural regions,Blue-collar worker,0.33793,209,376,0.29005,0.38580
1990,Direct migration background,Rural regions,White-collar worker,0.17851,61,376,0.13975,0.21727
1990,Direct migration background,Rural regions,Not employed: Pensioner,0.22310,53,376,0.18096,0.26524
1990,Direct migration background,Rural regions,Not employed: no further information,0.10873,53,376,0.07722,0.14024
1990,Indirect migration background,Urban regions,Blue-collar worker,0.03298,54,209,0.00871,0.05725
1990,Indirect migration background,Urban regions,White-collar worker,0.03508,34,209,0.01008,0.06008
1990,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.07820,121,209,0.04171,0.11469
1991,No migration background,Urban regions,Self-employed,0.03930,296,6220,0.03447,0.04413
1991,No migration background,Urban regions,Blue-collar worker,0.14718,1237,6220,0.13838,0.15599
1991,No migration background,Urban regions,Civil servant,0.03951,287,6220,0.03467,0.04435
1991,No migration background,Urban regions,White-collar worker,0.23537,1878,6220,0.22483,0.24591
1991,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.06237,508,6220,0.05636,0.06838
1991,No migration background,Urban regions,Not employed: Pensioner,0.20782,1155,6220,0.19774,0.21791
1991,No migration background,Urban regions,Not employed: registered unemployed,0.02102,188,6220,0.01746,0.02459
1991,No migration background,Urban regions,Not employed: no further information,0.08697,671,6220,0.07997,0.09397
1991,No migration background,Rural regions,Self-employed,0.04324,213,4229,0.03711,0.04937
1991,No migration background,Rural regions,Blue-collar worker,0.19541,1187,4229,0.18346,0.20736
1991,No migration background,Rural regions,Civil servant,0.02843,115,4229,0.02342,0.03344
1991,No migration background,Rural regions,White-collar worker,0.18229,1084,4229,0.17065,0.19393
1991,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.05620,324,4229,0.04926,0.06314
1991,No migration background,Rural regions,Not employed: Pensioner,0.20093,743,4229,0.18885,0.21301
1991,No migration background,Rural regions,Not employed: registered unemployed,0.04034,265,4229,0.03441,0.04627
1991,No migration background,Rural regions,Not employed: no further information,0.06742,298,4229,0.05986,0.07497
1991,Direct migration background,Urban regions,Self-employed,0.03579,74,2195,0.02802,0.04356
1991,Direct migration background,Urban regions,Blue-collar worker,0.36516,1078,2195,0.34501,0.38530
1991,Direct migration background,Urban regions,White-collar worker,0.15442,241,2195,0.13930,0.16954
1991,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.04534,107,2195,0.03663,0.05405
1991,Direct migration background,Urban regions,Not employed: Pensioner,0.15871,195,2195,0.14342,0.17400
1991,Direct migration background,Urban regions,Not employed: registered unemployed,0.05077,120,2195,0.04158,0.05995
1991,Direct migration background,Urban regions,Not employed: no further information,0.14354,380,2195,0.12886,0.15821
1991,Direct migration background,Rural regions,Blue-collar worker,0.31475,190,354,0.26630,0.36320
1991,Direct migration background,Rural regions,White-collar worker,0.16933,54,354,0.13021,0.20846
1991,Direct migration background,Rural regions,Not employed: Pensioner,0.23521,57,354,0.19096,0.27945
1991,Direct migration background,Rural regions,Not employed: no further information,0.10268,53,354,0.07101,0.13434
1991,Indirect migration background,Urban regions,Blue-collar worker,0.05024,68,263,0.02379,0.07669
1991,Indirect migration background,Urban regions,White-collar worker,0.03759,42,263,0.01456,0.06062
1991,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.09085,153,263,0.05605,0.12565
1992,No migration background,Urban regions,Self-employed,0.04110,302,6144,0.03613,0.04606
1992,No migration background,Urban regions,Blue-collar worker,0.13350,1122,6144,0.12500,0.14201
1992,No migration background,Urban regions,Civil servant,0.03631,267,6144,0.03163,0.04098
1992,No migration background,Urban regions,White-collar worker,0.23724,1859,6144,0.22661,0.24788
1992,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.06046,500,6144,0.05450,0.06642
1992,No migration background,Urban regions,Not employed: Pensioner,0.21261,1186,6144,0.20238,0.22284
1992,No migration background,Urban regions,Not employed: registered unemployed,0.03154,282,6144,0.02717,0.03591
1992,No migration background,Urban regions,Not employed: no further information,0.08394,626,6144,0.07701,0.09088
1992,No migration background,Rural regions,Self-employed,0.04050,196,4031,0.03441,0.04658
1992,No migration background,Rural regions,Blue-collar worker,0.17129,988,4031,0.15966,0.18292
1992,No migration background,Rural regions,Civil servant,0.02709,108,4031,0.02208,0.03210
1992,No migration background,Rural regions,White-collar worker,0.17676,983,4031,0.16498,0.18854
1992,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.06022,347,4031,0.05287,0.06756
1992,No migration background,Rural regions,Not employed: Pensioner,0.21744,783,4031,0.20471,0.23018
1992,No migration background,Rural regions,Not employed: registered unemployed,0.05623,362,4031,0.04911,0.06334
1992,No migration background,Rural regions,Not employed: no further information,0.06506,264,4031,0.05745,0.07268
1992,Direct migration background,Urban regions,Self-employed,0.03855,79,2133,0.03038,0.04673
1992,Direct migration background,Urban regions,Blue-collar worker,0.35406,984,2133,0.33376,0.37436
1992,Direct migration background,Urban regions,White-collar worker,0.15359,237,2133,0.13829,0.16890
1992,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.04795,103,2133,0.03888,0.05701
1992,Direct migration background,Urban regions,Not employed: Pensioner,0.16088,211,2133,0.14528,0.17647
1992,Direct migration background,Urban regions,Not employed: registered unemployed,0.06289,150,2133,0.05258,0.07319
1992,Direct migration background,Urban regions,Not employed: no further information,0.15328,369,2133,0.13799,0.16857
1992,Direct migration background,Rural regions,Blue-collar worker,0.26512,174,378,0.22056,0.30968
1992,Direct migration background,Rural regions,White-collar worker,0.16630,49,378,0.12872,0.20389
1992,Direct migration background,Rural regions,Not employed: Pensioner,0.28560,72,378,0.24000,0.33120
1992,Direct migration background,Rural regions,Not employed: registered unemployed,0.06598,32,378,0.04092,0.09104
1992,Direct migration background,Rural regions,Not employed: no further information,0.09415,51,378,0.06467,0.12363
1992,Indirect migration background,Urban regions,Blue-collar worker,0.04491,70,295,0.02124,0.06859
1992,Indirect migration background,Urban regions,White-collar worker,0.03951,50,295,0.01724,0.06178
1992,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.12557,175,295,0.08770,0.16345
1993,No migration background,Urban regions,Self-employed,0.04317,323,6113,0.03807,0.04826
1993,No migration background,Urban regions,Blue-collar worker,0.13442,1105,6113,0.12587,0.14297
1993,No migration background,Urban regions,Civil servant,0.04097,288,6113,0.03600,0.04594
1993,No migration background,Urban regions,White-collar worker,0.22903,1804,6113,0.21849,0.23956
1993,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.05852,490,6113,0.05264,0.06440
1993,No migration background,Urban regions,Not employed: Pensioner,0.21050,1192,6113,0.20028,0.22072
1993,No migration background,Urban regions,Not employed: registered unemployed,0.03636,308,6113,0.03167,0.04105
1993,No migration background,Urban regions,Not employed: no further information,0.07993,603,6113,0.07313,0.08672
1993,No migration background,Rural regions,Self-employed,0.04387,206,3978,0.03751,0.05024
1993,No migration background,Rural regions,Blue-collar worker,0.16161,927,3978,0.15017,0.17305
1993,No migration background,Rural regions,Civil servant,0.02831,113,3978,0.02316,0.03347
1993,No migration background,Rural regions,White-collar worker,0.17495,953,3978,0.16315,0.18676
1993,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.05693,333,3978,0.04973,0.06413
1993,No migration background,Rural regions,Not employed: Pensioner,0.22238,801,3978,0.20945,0.23530
1993,No migration background,Rural regions,Not employed: registered unemployed,0.06429,391,3978,0.05667,0.07192
1993,No migration background,Rural regions,Not employed: no further information,0.06055,254,3978,0.05314,0.06796
1993,Direct migration background,Urban regions,Self-employed,0.03840,70,2059,0.03010,0.04670
1993,Direct migration background,Urban regions,Blue-collar worker,0.35545,927,2059,0.33477,0.37613
1993,Direct migration background,Urban regions,White-collar worker,0.15752,231,2059,0.14179,0.17326
1993,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.04303,85,2059,0.03427,0.05180
1993,Direct migration background,Urban regions,Not employed: Pensioner,0.17997,239,2059,0.16337,0.19657
1993,Direct migration background,Urban regions,Not employed: registered unemployed,0.06025,154,2059,0.04997,0.07053
1993,Direct migration background,Urban regions,Not employed: no further information,0.14307,353,2059,0.12794,0.15820
1993,Direct migration background,Rural regions,Blue-collar worker,0.24870,165,384,0.20541,0.29199
1993,Direct migration background,Rural regions,White-collar worker,0.17840,47,384,0.14006,0.21675
1993,Direct migration background,Rural regions,Not employed: Pensioner,0.28960,76,384,0.24418,0.33503
1993,Direct migration background,Rural regions,Not employed: registered unemployed,0.08510,39,384,0.05715,0.11304
1993,Direct migration background,Rural regions,Not employed: no further information,0.10505,57,384,0.07434,0.13576
1993,Indirect migration background,Urban regions,Blue-collar worker,0.04919,76,335,0.02600,0.07239
1993,Indirect migration background,Urban regions,White-collar worker,0.05250,62,335,0.02858,0.07642
1993,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.16383,197,335,0.12414,0.20353
1993,Indirect migration background,Rural regions,Apprentice/ Trainee/ Intern,0.16387,38,38,0.04460,0.28315
1994,No migration background,Urban regions,Self-employed,0.04292,322,6056,0.03782,0.04803
1994,No migration background,Urban regions,Blue-collar worker,0.12393,1025,6056,0.11563,0.13223
1994,No migration background,Urban regions,Civil servant,0.04086,287,6056,0.03588,0.04585
1994,No migration background,Urban regions,White-collar worker,0.23328,1811,6056,0.22263,0.24393
1994,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.05305,448,6056,0.04740,0.05869
1994,No migration background,Urban regions,Not employed: Pensioner,0.21622,1191,6056,0.20585,0.22659
1994,No migration background,Urban regions,Not employed: registered unemployed,0.04110,345,6056,0.03610,0.04610
1994,No migration background,Urban regions,Not employed: no further information,0.08217,627,6056,0.07525,0.08909
1994,No migration background,Rural regions,Self-employed,0.04152,203,3908,0.03526,0.04777
1994,No migration background,Rural regions,Blue-collar worker,0.15662,866,3908,0.14523,0.16802
1994,No migration background,Rural regions,Civil servant,0.03339,130,3908,0.02775,0.03902
1994,No migration background,Rural regions,White-collar worker,0.17128,942,3908,0.15946,0.18309
1994,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.05304,325,3908,0.04601,0.06007
1994,No migration background,Rural regions,Not employed: Pensioner,0.21563,767,3908,0.20273,0.22853
1994,No migration background,Rural regions,Not employed: registered unemployed,0.07472,427,3908,0.06647,0.08296
1994,No migration background,Rural regions,Not employed: no further information,0.06293,248,3908,0.05532,0.07055
1994,Direct migration background,Urban regions,Self-employed,0.04112,67,1964,0.03234,0.04991
1994,Direct migration background,Urban regions,Blue-collar worker,0.31976,814,1964,0.29913,0.34039
1994,Direct migration background,Urban regions,White-collar worker,0.16244,232,1964,0.14612,0.17876
1994,Direct migration background,Urban regions,Apprentice/ Trainee/ Intern,0.03701,72,1964,0.02866,0.04536
1994,Direct migration background,Urban regions,Not employed: Pensioner,0.19794,258,1964,0.18032,0.21557
1994,Direct migration background,Urban regions,Not employed: registered unemployed,0.07687,185,1964,0.06509,0.08866
1994,Direct migration background,Urban regions,Not employed: no further information,0.14188,336,1964,0.12644,0.15731
1994,Direct migration background,Rural regions,Blue-collar worker,0.20792,140,352,0.16547,0.25038
1994,Direct migration background,Rural regions,White-collar worker,0.13343,40,352,0.09786,0.16901
1994,Direct migration background,Rural regions,Not employed: Pensioner,0.30759,77,352,0.25931,0.35587
1994,Direct migration background,Rural regions,Not employed: registered unemployed,0.12392,45,352,0.08945,0.15839
1994,Direct migration background,Rural regions,Not employed: no further information,0.09777,50,352,0.06670,0.12885
1994,Indirect migration background,Urban regions,Blue-collar worker,0.05565,84,370,0.03226,0.07905
1994,Indirect migration background,Urban regions,White-collar worker,0.05618,70,370,0.03269,0.07968
1994,Indirect migration background,Urban regions,Apprentice/ Trainee/ Intern,0.15119,181,370,0.11464,0.18774
1994,Indirect migration background,Urban regions,Not employed: no further information,0.02381,35,370,0.00826,0.03937
1994,Indirect migration background,Rural regions,Apprentice/ Trainee/ Intern,0.15311,32,32,0.02635,0.27987
1995,No migration background,Urban regions,Self-employed,0.04196,310,5965,0.03687,0.04705
1995,No migration background,Urban regions,Blue-collar worker,0.12096,1026,5965,0.11269,0.12924
1995,No migration background,Urban regions,Civil servant,0.04205,287,5965,0.03695,0.04714
1995,No migration background,Urban regions,White-collar worker,0.23393,1805,5965,0.22319,0.24468
1995,No migration background,Urban regions,Apprentice/ Trainee/ Intern,0.05503,462,5965,0.04925,0.06082
1995,No migration background,Urban regions,Not employed: Pensioner,0.22248,1172,5965,0.21192,0.23303
1995,No migration background,Urban regions,Not employed: registered unemployed,0.04055,322,5965,0.03555,0.04556
1995,No migration background,Urban regions,Not employed: no further information,0.07686,581,5965,0.07010,0.08362
1995,No migration background,Rural regions,Self-employed,0.04233,207,3981,0.03608,0.04859
1995,No migration background,Rural regions,Blue-collar worker,0.16042,919,3981,0.14902,0.17182
1995,No migration background,Rural regions,Civil servant,0.02831,125,3981,0.02316,0.03347
1995,No migration background,Rural regions,White-collar worker,0.18101,994,3981,0.16905,0.19298
1995,No migration background,Rural regions,Apprentice/ Trainee/ Intern,0.05487,348,3981,0.04779,0.06194
1995,No migration background,Rural regions,Not employed: Pensioner,0.21608,754,3981,0.20330,0.22887
1995,No migration background,Rural regions,Not employed: registered unemployed,0.06254,354,3981,0.05502,0.07006
