"year","migback","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2017","direkter Migrationshintergrund","Staedtischer Raum","1.72","1","1207","1.64","1.8"
"2017","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2017","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2017","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2017","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2018","direkter Migrationshintergrund","Laendlicher Raum","1.59","1","145","1.33","1.85"
"2018","direkter Migrationshintergrund","Staedtischer Raum","2.04","1","221","1.82","2.26"
"2018","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2018","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2018","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2018","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2019","direkter Migrationshintergrund","Laendlicher Raum","1.87","1","95","1.55","2.19"
"2019","direkter Migrationshintergrund","Staedtischer Raum","1.71","1","156","1.43","1.99"
"2019","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2019","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2019","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2019","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2020","direkter Migrationshintergrund","Laendlicher Raum","2.67","1.5","2165","2.6","2.74"
"2020","direkter Migrationshintergrund","Staedtischer Raum","2.62","1.5","6878","2.58","2.66"
"2020","indirekter Migrationshintergrund","Laendlicher Raum","2.48","1.5","341","2.31","2.65"
"2020","indirekter Migrationshintergrund","Staedtischer Raum","2.7","1.5","1333","2.61","2.79"
"2020","kein Migrationshintergrund","Laendlicher Raum","2.83","1.5","7005","2.79","2.87"
"2020","kein Migrationshintergrund","Staedtischer Raum","2.71","1.5","11612","2.68","2.74"
