"year","regtyp","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2012","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2012","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2012","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2015","Laendlicher Raum","maennlich","3.09","2.5","4297","1","2","4","5","7","3.04","3.14","1","7","3","3"
"2015","Laendlicher Raum","weiblich","2.74","1.5","4970","1","1","4","5","7","2.69","2.79","1","7","2","2"
"2015","Staedtischer Raum","maennlich","3.01","2.5","7904","1","2","4","5","7","2.97","3.05","1","7","2","3"
"2015","Staedtischer Raum","weiblich","2.6","1.5","9363","1","1","4","5","7","2.57","2.63","1","7","2","2"
"2016","Laendlicher Raum","maennlich","2.33","1","496","1","1","4","6","7","2.17","2.49","1","7","1","1"
"2016","Laendlicher Raum","weiblich","1.85","1","337","1","1","2","5","7","1.66","2.04","1","7","1","1"
"2016","Staedtischer Raum","maennlich","2.35","1.5","1207","1","1","4","5","7","2.26","2.44","1","7","1","1"
"2016","Staedtischer Raum","weiblich","2.48","1","875","1","1","4","6","7","2.38","2.58","1","7","1","1"
"2017","Laendlicher Raum","maennlich","1.5","1","315","1","1","1","3","7","1.35","1.65","1","7","1","1"
"2017","Laendlicher Raum","weiblich","1.63","1","279","1","1","1","4","7","1.45","1.81","1","7","1","1"
"2017","Staedtischer Raum","maennlich","1.77","1","632","1","1","2","4","7","1.65","1.89","1","7","1","1"
"2017","Staedtischer Raum","weiblich","1.66","1","575","1","1","2","4","7","1.54","1.78","1","7","1","1"
"2018","Laendlicher Raum","maennlich","1.57","1","67","1","1","1","4","7","1.18","1.96","1","7","1","1"
"2018","Laendlicher Raum","weiblich","1.6","1","78","1","1","1","3","7","1.24","1.96","1","7","1","1"
"2018","Staedtischer Raum","maennlich","1.94","1","102","1","1","3","4","7","1.63","2.25","1","7","1","1"
"2018","Staedtischer Raum","weiblich","2.09","1","119","1","1","3","4","7","1.78","2.4","1","7","1","1"
"2019","Laendlicher Raum","maennlich","1.92","1","43","1","1","2","4","7","1.34","2.5","1","7","1","2"
"2019","Laendlicher Raum","weiblich","1.84","1","52","1","1","3","3","7","1.48","2.2","1","7","1","2"
"2019","Staedtischer Raum","maennlich","1.76","1","79","1","1","2","3","7","1.35","2.17","1","7","1","2"
"2019","Staedtischer Raum","weiblich","1.67","1","77","1","1","2","3","6","1.28","2.06","1","7","1","2"
"2020","Laendlicher Raum","maennlich","2.99","2.5","4686","1","2","4","5","7","2.94","3.04","1","7","2","3"
"2020","Laendlicher Raum","weiblich","2.62","1.5","4824","1","1","4","5","7","2.58","2.66","1","7","2","2"
"2020","Staedtischer Raum","maennlich","2.94","2.5","9871","1","2","4","5","7","2.91","2.97","1","7","2","2"
"2020","Staedtischer Raum","weiblich","2.46","1.5","9946","1","1","3","5","7","2.43","2.49","1","7","2","2"
