,Unnamed: 0,year,pgisced97,sampreg,plj0175,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
27,27,2013,Primary Level,East,Yes,1.0,40,23689,0.67258,1.3065
28,28,2013,Lower Secondary Level,West,Yes,0.87417,1597,23689,0.83836,0.91361
29,29,2013,Lower Secondary Level,West,No,0.12583,408,23689,0.11181,0.1419
30,30,2013,Lower Secondary Level,East,Yes,1.0,321,23689,0.88619,1.12125
31,31,2013,Upper Secondary Level,West,Yes,0.93115,8019,23689,0.91236,0.95157
32,32,2013,Upper Secondary Level,West,No,0.06885,871,23689,0.06409,0.07291
33,33,2013,Upper Secondary Level,East,Yes,0.97317,2965,23689,0.93484,1.01543
34,34,2013,Upper Secondary Level,East,No,0.02683,86,23689,0.02118,0.034
35,35,2013,Post-secondary Non-tertiary Level,West,Yes,0.9087,1163,23689,0.85254,0.9777
36,36,2013,Post-secondary Non-tertiary Level,West,No,0.0913,153,23689,0.07319,0.11332
37,37,2013,Post-secondary Non-tertiary Level,East,Yes,1.0,257,23689,0.84868,1.1443
38,38,2013,First Stage of Tertiary Education,West,Yes,0.96372,1099,23689,0.89478,1.02296
39,39,2013,First Stage of Tertiary Education,West,No,0.03628,73,23689,0.02977,0.04448
40,40,2013,First Stage of Tertiary Education,East,Yes,1.0,417,23689,0.89412,1.11701
41,41,2013,Second Stage of Tertiary Education,West,Yes,0.92413,3724,23689,0.88391,0.96603
42,42,2013,Second Stage of Tertiary Education,West,No,0.07587,373,23689,0.0652,0.08616
43,43,2013,Second Stage of Tertiary Education,East,Yes,0.96213,1377,23689,0.90431,1.0241
44,44,2013,Second Stage of Tertiary Education,East,No,0.03787,64,23689,0.03055,0.04694
45,45,2014,Pre-primary Level,West,Yes,0.87942,251,20544,0.76375,1.00619
46,46,2014,Pre-primary Level,West,No,0.12058,54,20544,0.09579,0.15745
47,47,2014,Pre-primary Level,East,Yes,1.0,43,20544,0.68873,1.49455
48,48,2014,Primary Level,West,Yes,1.0,129,20544,0.8228,1.17749
49,49,2014,Primary Level,East,Yes,1.0,44,20544,0.72153,1.33622
50,50,2014,Lower Secondary Level,West,Yes,0.93619,1423,20544,0.89436,0.98393
51,51,2014,Lower Secondary Level,West,No,0.06381,156,20544,0.05119,0.07946
52,52,2014,Lower Secondary Level,East,Yes,1.0,307,20544,0.8887,1.14377
53,53,2014,Upper Secondary Level,West,Yes,0.95147,7189,20544,0.93084,0.97398
54,54,2014,Upper Secondary Level,West,No,0.04853,458,20544,0.04324,0.05413
55,55,2014,Upper Secondary Level,East,Yes,0.97642,2667,20544,0.94054,1.01626
56,56,2014,Upper Secondary Level,East,No,0.02358,66,20544,0.01902,0.02975
57,57,2014,Post-secondary Non-tertiary Level,West,Yes,0.94118,1027,20544,0.87844,1.00972
58,58,2014,Post-secondary Non-tertiary Level,West,No,0.05882,82,20544,0.04352,0.07562
59,59,2014,Post-secondary Non-tertiary Level,East,Yes,1.0,245,20544,0.85785,1.15169
60,60,2014,First Stage of Tertiary Education,West,Yes,0.97029,1008,20544,0.8926,1.02343
61,61,2014,First Stage of Tertiary Education,West,No,0.02971,51,20544,0.02248,0.03736
62,62,2014,First Stage of Tertiary Education,East,Yes,1.0,391,20544,0.88618,1.13441
63,63,2014,Second Stage of Tertiary Education,West,Yes,0.95234,3442,20544,0.91759,0.9887
64,64,2014,Second Stage of Tertiary Education,West,No,0.04766,180,20544,0.03837,0.05768
65,65,2014,Second Stage of Tertiary Education,East,Yes,0.96263,1273,20544,0.90778,1.02036
66,66,2014,Second Stage of Tertiary Education,East,No,0.03737,58,20544,0.02948,0.04402
67,67,2015,Pre-primary Level,West,Yes,0.8112,181,19964,0.68432,0.95642
68,68,2015,Pre-primary Level,West,No,0.1888,60,19964,0.14168,0.24206
69,69,2015,Pre-primary Level,East,Yes,1.0,40,19964,0.70038,1.31506
70,70,2015,Primary Level,West,Yes,1.0,122,19964,0.79993,1.1761
71,71,2015,Primary Level,East,Yes,1.0,39,19964,0.62737,1.33349
72,72,2015,Lower Secondary Level,West,Yes,0.9131,1323,19964,0.86146,0.95687
73,73,2015,Lower Secondary Level,West,No,0.0869,196,19964,0.06911,0.10261
74,74,2015,Lower Secondary Level,East,Yes,1.0,286,19964,0.86133,1.16799
75,75,2015,Upper Secondary Level,West,Yes,0.94227,6886,19964,0.91793,0.96298
76,76,2015,Upper Secondary Level,West,No,0.05773,584,19964,0.05238,0.06285
77,77,2015,Upper Secondary Level,East,Yes,0.97046,2531,19964,0.93331,1.01255
78,78,2015,Upper Secondary Level,East,No,0.02954,72,19964,0.02275,0.03698
79,79,2015,Post-secondary Non-tertiary Level,West,Yes,0.92822,997,19964,0.85716,0.99949
80,80,2015,Post-secondary Non-tertiary Level,West,No,0.07178,106,19964,0.05314,0.09154
81,81,2015,Post-secondary Non-tertiary Level,East,Yes,1.0,227,19964,0.86515,1.12999
82,82,2015,First Stage of Tertiary Education,West,Yes,0.95973,959,19964,0.88731,1.02547
83,83,2015,First Stage of Tertiary Education,West,No,0.04027,56,19964,0.02936,0.05246
84,84,2015,First Stage of Tertiary Education,East,Yes,1.0,388,19964,0.87313,1.1088
85,85,2015,Second Stage of Tertiary Education,West,Yes,0.93249,3373,19964,0.89794,0.97205
86,86,2015,Second Stage of Tertiary Education,West,No,0.06751,251,19964,0.05782,0.07793
87,87,2015,Second Stage of Tertiary Education,East,Yes,0.96554,1238,19964,0.90645,1.02394
88,88,2015,Second Stage of Tertiary Education,East,No,0.03446,49,19964,0.02735,0.04514
89,89,2016,Pre-primary Level,West,Yes,0.90876,192,18575,0.75958,1.09733
90,90,2016,Pre-primary Level,West,No,0.09124,37,18575,0.0563,0.13337
91,91,2016,Pre-primary Level,East,Yes,1.0,31,18575,0.66012,1.38931
92,92,2016,Primary Level,West,Yes,1.0,103,18575,0.77765,1.23861
93,93,2016,Primary Level,East,Yes,1.0,33,18575,0.65409,1.42569
94,94,2016,Lower Secondary Level,West,Yes,0.90586,1241,18575,0.86268,0.95894
95,95,2016,Lower Secondary Level,West,No,0.09414,187,18575,0.08017,0.1132
96,96,2016,Lower Secondary Level,East,Yes,1.0,265,18575,0.85776,1.15981
97,97,2016,Upper Secondary Level,West,Yes,0.93838,6313,18575,0.91553,0.96232
98,98,2016,Upper Secondary Level,West,No,0.06162,540,18575,0.05539,0.06767
99,99,2016,Upper Secondary Level,East,Yes,0.96941,2363,18575,0.93302,1.00951
100,100,2016,Upper Secondary Level,East,No,0.03059,75,18575,0.02203,0.03932
101,101,2016,Post-secondary Non-tertiary Level,West,Yes,0.93523,965,18575,0.8676,1.00775
102,102,2016,Post-secondary Non-tertiary Level,West,No,0.06477,84,18575,0.04858,0.08313
103,103,2016,Post-secondary Non-tertiary Level,East,Yes,1.0,212,18575,0.84615,1.17735
104,104,2016,First Stage of Tertiary Education,West,Yes,0.97074,884,18575,0.90252,1.0407
105,105,2016,First Stage of Tertiary Education,West,No,0.02926,43,18575,0.02157,0.03634
106,106,2016,First Stage of Tertiary Education,East,Yes,1.0,358,18575,0.88623,1.14652
107,107,2016,Second Stage of Tertiary Education,West,Yes,0.9388,3199,18575,0.89743,0.97454
108,108,2016,Second Stage of Tertiary Education,West,No,0.0612,221,18575,0.05055,0.07456
109,109,2016,Second Stage of Tertiary Education,East,Yes,0.95188,1174,18575,0.89251,1.02004
110,110,2016,Second Stage of Tertiary Education,East,No,0.04812,55,18575,0.03286,0.06881
111,111,2017,Pre-primary Level,West,Yes,0.88349,238,21026,0.73736,1.03077
112,112,2017,Pre-primary Level,West,No,0.11651,56,21026,0.09108,0.14793
113,113,2017,Pre-primary Level,East,Yes,1.0,58,21026,0.68945,1.48403
114,114,2017,Primary Level,West,Yes,1.0,128,21026,0.84051,1.18929
115,115,2017,Primary Level,East,Yes,1.0,42,21026,0.7268,1.40105
116,116,2017,Lower Secondary Level,West,Yes,0.92624,1386,21026,0.88763,0.97344
117,117,2017,Lower Secondary Level,West,No,0.07376,165,21026,0.06261,0.08655
118,118,2017,Lower Secondary Level,East,Yes,1.0,319,21026,0.8722,1.12109
119,119,2017,Upper Secondary Level,West,Yes,0.93502,7033,21026,0.9128,0.95834
120,120,2017,Upper Secondary Level,West,No,0.06498,627,21026,0.05886,0.07066
121,121,2017,Upper Secondary Level,East,Yes,0.96628,2635,21026,0.92467,1.00351
122,122,2017,Upper Secondary Level,East,No,0.03372,87,21026,0.02478,0.04469
123,123,2017,Post-secondary Non-tertiary Level,West,Yes,0.91311,1161,21026,0.8576,0.96326
124,124,2017,Post-secondary Non-tertiary Level,West,No,0.08689,107,21026,0.06709,0.10812
125,125,2017,Post-secondary Non-tertiary Level,East,Yes,1.0,268,21026,0.88982,1.13007
126,126,2017,First Stage of Tertiary Education,West,Yes,0.96505,979,21026,0.8968,1.02221
127,127,2017,First Stage of Tertiary Education,West,No,0.03495,53,21026,0.02459,0.04529
128,128,2017,First Stage of Tertiary Education,East,Yes,1.0,383,21026,0.86667,1.12777
129,129,2017,Second Stage of Tertiary Education,West,Yes,0.94014,3740,21026,0.90915,0.96915
130,130,2017,Second Stage of Tertiary Education,West,No,0.05986,239,21026,0.05235,0.07009
131,131,2017,Second Stage of Tertiary Education,East,Yes,0.95844,1268,21026,0.89941,1.01102
132,132,2017,Second Stage of Tertiary Education,East,No,0.04156,54,21026,0.03148,0.0542
133,133,2018,Pre-primary Level,West,Yes,0.84559,179,20321,0.73095,1.04476
134,134,2018,Pre-primary Level,West,No,0.15441,61,20321,0.10387,0.20292
135,135,2018,Pre-primary Level,East,Yes,1.0,49,20321,0.69,1.37705
136,136,2018,Primary Level,West,Yes,1.0,132,20321,0.84735,1.19849
137,137,2018,Primary Level,East,Yes,1.0,40,20321,0.65319,1.55513
138,138,2018,Lower Secondary Level,West,Yes,0.91465,1337,20321,0.8651,0.96302
139,139,2018,Lower Secondary Level,West,No,0.08535,179,20321,0.07247,0.09935
140,140,2018,Lower Secondary Level,East,Yes,1.0,335,20321,0.89603,1.10849
141,141,2018,Upper Secondary Level,West,Yes,0.93039,6682,20321,0.90998,0.95909
142,142,2018,Upper Secondary Level,West,No,0.06961,627,20321,0.06431,0.07564
143,143,2018,Upper Secondary Level,East,Yes,0.97333,2580,20321,0.93157,1.02335
144,144,2018,Upper Secondary Level,East,No,0.02667,77,20321,0.02073,0.03386
145,145,2018,Post-secondary Non-tertiary Level,West,Yes,0.91797,1142,20321,0.86764,0.98484
146,146,2018,Post-secondary Non-tertiary Level,West,No,0.08203,100,20321,0.0614,0.10807
147,147,2018,Post-secondary Non-tertiary Level,East,Yes,1.0,262,20321,0.87679,1.16232
148,148,2018,First Stage of Tertiary Education,West,Yes,0.96422,928,20321,0.90881,1.03529
149,149,2018,First Stage of Tertiary Education,West,No,0.03578,54,20321,0.02804,0.04598
150,150,2018,First Stage of Tertiary Education,East,Yes,1.0,377,20321,0.86209,1.12676
151,151,2018,Second Stage of Tertiary Education,West,Yes,0.93693,3655,20321,0.89906,0.96739
152,152,2018,Second Stage of Tertiary Education,West,No,0.06307,244,20321,0.05489,0.07458
153,153,2018,Second Stage of Tertiary Education,East,Yes,0.9607,1230,20321,0.90141,1.02665
154,154,2018,Second Stage of Tertiary Education,East,No,0.0393,51,20321,0.02642,0.0531
155,155,2020,Pre-primary Level,West,Yes,0.82837,160,19508,0.68826,0.97646
156,156,2020,Pre-primary Level,West,No,0.17163,60,19508,0.1157,0.22562
157,157,2020,Pre-primary Level,East,Yes,1.0,48,19508,0.64766,1.50687
158,158,2020,Primary Level,West,Yes,1.0,103,19508,0.80889,1.20444
159,159,2020,Lower Secondary Level,West,Yes,0.9252,1156,19508,0.87278,0.97558
160,160,2020,Lower Secondary Level,West,No,0.0748,160,19508,0.05838,0.09047
161,161,2020,Lower Secondary Level,East,Yes,1.0,303,19508,0.8702,1.14502
162,162,2020,Upper Secondary Level,West,Yes,0.93483,6122,19508,0.90951,0.95928
163,163,2020,Upper Secondary Level,West,No,0.06517,546,19508,0.05815,0.07191
164,164,2020,Upper Secondary Level,East,Yes,0.96951,2243,19508,0.91911,1.01759
165,165,2020,Upper Secondary Level,East,No,0.03049,69,19508,0.02184,0.04169
166,166,2020,Post-secondary Non-tertiary Level,West,Yes,0.91533,1202,19508,0.84084,0.96699
167,167,2020,Post-secondary Non-tertiary Level,West,No,0.08467,111,19508,0.06572,0.10805
168,168,2020,Post-secondary Non-tertiary Level,East,Yes,1.0,252,19508,0.87842,1.14458
169,169,2020,First Stage of Tertiary Education,West,Yes,0.96074,948,19508,0.90013,1.02289
170,170,2020,First Stage of Tertiary Education,West,No,0.03926,42,19508,0.02454,0.05468
171,171,2020,First Stage of Tertiary Education,East,Yes,1.0,377,19508,0.86853,1.14362
172,172,2020,Second Stage of Tertiary Education,West,Yes,0.94086,3939,19508,0.90396,0.9799
173,173,2020,Second Stage of Tertiary Education,West,No,0.05914,282,19508,0.05127,0.06884
174,174,2020,Second Stage of Tertiary Education,East,Yes,0.96961,1337,19508,0.90836,1.03005
175,175,2020,Second Stage of Tertiary Education,East,No,0.03039,48,19508,0.02025,0.04227
176,176,2021,Pre-primary Level,West,Yes,1.0,87,13641,0.74809,1.30064
177,177,2021,Primary Level,West,Yes,1.0,65,13641,0.68008,1.48239
178,178,2021,Lower Secondary Level,West,Yes,0.91491,714,13641,0.84759,0.98701
179,179,2021,Lower Secondary Level,West,No,0.08509,90,13641,0.06189,0.1111
180,180,2021,Lower Secondary Level,East,Yes,1.0,188,13641,0.84178,1.19895
181,181,2021,Upper Secondary Level,West,Yes,0.92939,4152,13641,0.9046,0.96674
182,182,2021,Upper Secondary Level,West,No,0.07061,411,13641,0.06143,0.07941
183,183,2021,Upper Secondary Level,East,Yes,0.95583,1478,13641,0.8986,1.01615
184,184,2021,Upper Secondary Level,East,No,0.04417,71,13641,0.03343,0.05686
185,185,2021,Post-secondary Non-tertiary Level,West,Yes,0.89934,871,13641,0.83218,1.00135
186,186,2021,Post-secondary Non-tertiary Level,West,No,0.10066,86,13641,0.07653,0.12887
187,187,2021,Post-secondary Non-tertiary Level,East,Yes,1.0,175,13641,0.81809,1.23373
188,188,2021,First Stage of Tertiary Education,West,Yes,0.94675,643,13641,0.87878,1.02136
189,189,2021,First Stage of Tertiary Education,West,No,0.05325,34,13641,0.03077,0.07641
190,190,2021,First Stage of Tertiary Education,East,Yes,1.0,255,13641,0.83166,1.16626
191,191,2021,Second Stage of Tertiary Education,West,Yes,0.93511,3068,13641,0.89792,0.97628
192,192,2021,Second Stage of Tertiary Education,West,No,0.06489,226,13641,0.05475,0.07505
193,193,2021,Second Stage of Tertiary Education,East,Yes,0.96126,985,13641,0.88569,1.03713
194,194,2021,Second Stage of Tertiary Education,East,No,0.03874,42,13641,0.02117,0.06044
