year,migback,sampreg,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Indirect migration background,East,Yes,0.32733,34,89,0.22929,0.42537
2016,Indirect migration background,East,No,0.67267,55,89,0.57463,0.77071
2017,No migration background,West,Yes,0.97714,14594,14936,0.97474,0.97953
2017,No migration background,West,No,0.02286,342,14936,0.02047,0.02526
2017,No migration background,East,Yes,0.97661,4991,5091,0.97246,0.98077
2017,No migration background,East,No,0.02339,100,5091,0.01923,0.02754
2017,Direct migration background,West,Yes,0.43173,156,484,0.38756,0.47591
2017,Direct migration background,West,No,0.56827,328,484,0.52409,0.61244
2017,Direct migration background,East,No,0.39542,34,34,0.22860,0.56224
2017,Indirect migration background,West,Yes,0.26605,226,882,0.23687,0.29523
2017,Indirect migration background,West,No,0.73395,656,882,0.70477,0.76313
2017,Indirect migration background,East,Yes,0.37332,34,89,0.27226,0.47438
2017,Indirect migration background,East,No,0.62668,55,89,0.52562,0.72774
2018,No migration background,West,Yes,0.97542,14010,14352,0.97289,0.97795
2018,No migration background,West,No,0.02458,342,14352,0.02205,0.02711
2018,No migration background,East,Yes,0.98005,4887,4986,0.97617,0.98394
2018,No migration background,East,No,0.01995,99,4986,0.01606,0.02383
2018,Direct migration background,West,Yes,0.36572,141,469,0.32209,0.40936
2018,Direct migration background,West,No,0.63428,328,469,0.59064,0.67791
2018,Indirect migration background,West,Yes,0.29372,228,916,0.26421,0.32323
2018,Indirect migration background,West,No,0.70628,688,916,0.67677,0.73579
2018,Indirect migration background,East,Yes,0.44566,43,107,0.35104,0.54028
2018,Indirect migration background,East,No,0.55434,64,107,0.45972,0.64896
2020,No migration background,West,Yes,0.97775,13445,13745,0.97528,0.98021
2020,No migration background,West,No,0.02225,300,13745,0.01979,0.02472
2020,No migration background,East,Yes,0.98097,4599,4686,0.97705,0.98488
2020,No migration background,East,No,0.01903,87,4686,0.01512,0.02295
2020,Direct migration background,West,Yes,0.35229,146,439,0.30755,0.39703
2020,Direct migration background,West,No,0.64771,293,439,0.60297,0.69245
2020,Indirect migration background,West,Yes,0.30674,266,951,0.27741,0.33606
2020,Indirect migration background,West,No,0.69326,685,951,0.66394,0.72259
2020,Indirect migration background,East,Yes,0.47472,45,104,0.37828,0.57116
2020,Indirect migration background,East,No,0.52528,59,104,0.42884,0.62172
2021,No migration background,West,Yes,0.97572,9596,9823,0.97268,0.97877
2021,No migration background,West,No,0.02428,227,9823,0.02123,0.02732
2021,No migration background,East,Yes,0.97524,3163,3239,0.96989,0.98059
2021,No migration background,East,No,0.02476,76,3239,0.01941,0.03011
2021,Direct migration background,West,Yes,0.28767,84,342,0.23963,0.33572
2021,Direct migration background,West,No,0.71233,258,342,0.66428,0.76037
2021,Direct migration background,East,No,0.71704,37,37,0.56990,0.86418
2021,Indirect migration background,West,Yes,0.29688,167,602,0.26035,0.33341
2021,Indirect migration background,West,No,0.70312,435,602,0.66659,0.73965
2021,Indirect migration background,East,Yes,0.37599,31,76,0.26637,0.48562
2021,Indirect migration background,East,No,0.62401,45,76,0.51438,0.73363
2022,No migration background,West,Yes,0.97781,13288,13573,0.97533,0.98029
2022,No migration background,West,No,0.02219,285,13573,0.01971,0.02467
2022,No migration background,East,Yes,0.97772,4554,4645,0.97348,0.98197
2022,No migration background,East,No,0.02228,91,4645,0.01803,0.02652
2022,Direct migration background,West,Yes,0.23977,99,511,0.20271,0.27682
2022,Direct migration background,West,No,0.76023,412,511,0.72318,0.79729
2022,Direct migration background,East,No,0.73062,51,51,0.60764,0.85359
2022,Indirect migration background,West,Yes,0.34252,334,1005,0.31317,0.37188
2022,Indirect migration background,West,No,0.65748,671,1005,0.62812,0.68683
2022,Indirect migration background,East,Yes,0.43756,65,139,0.35479,0.52033
2022,Indirect migration background,East,No,0.56244,74,139,0.47967,0.64521
