year,migback,regtyp,plj0175,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2015,No migration background,Rural regions,Yes,0.9770130393870143,38036,0.9755069539547304,0.9785191248192983
2015,No migration background,Rural regions,No,0.022986960612985618,38036,0.02148087518070168,0.024493046045269556
2015,Direct migration background,Urban regions,No,0.6846846846846847,38036,0.6800151189708027,0.6893542503985667
2015,Direct migration background,Urban regions,Yes,0.3153153153153153,38036,0.3106457496014333,0.3199848810291973
2015,Direct migration background,Rural regions,No,0.6492146596858639,38036,0.6444187220325905,0.6540105973391372
2015,Direct migration background,Rural regions,Yes,0.3507853403141361,38036,0.3459894026608628,0.3555812779674094
2015,Indirect migration background,Urban regions,No,0.7985714285714286,38036,0.7945407694365835,0.8026020877062737
2015,Indirect migration background,Urban regions,Yes,0.20142857142857143,38036,0.19739791229372633,0.20545923056341653
2015,Indirect migration background,Rural regions,No,0.6616915422885572,38036,0.6569366260445892,0.6664464585325252
2015,Indirect migration background,Rural regions,Yes,0.3383084577114428,38036,0.33355354146747485,0.34306337395541076
2016,No migration background,Urban regions,Yes,0.9763094577086804,41132,0.9748396943808716,0.9777792210364892
2016,No migration background,Urban regions,No,0.023690542291319637,41132,0.02222077896351084,0.025160305619128433
2016,No migration background,Rural regions,Yes,0.9751049355912578,41132,0.9735992008798029,0.9766106703027126
2016,No migration background,Rural regions,No,0.02489506440874222,41132,0.023389329697287305,0.026400799120197133
2016,Direct migration background,Urban regions,No,0.6479750778816199,41132,0.6433594369651209,0.6525907187981189
2016,Direct migration background,Urban regions,Yes,0.35202492211838005,41132,0.3474092812018811,0.356640563034879
2016,Direct migration background,Rural regions,No,0.6586826347305389,41132,0.6541003353813792,0.6632649340796986
2016,Direct migration background,Rural regions,Yes,0.3413173652694611,41132,0.3367350659203015,0.3458996646186207
2016,Indirect migration background,Urban regions,No,0.7387387387387387,41132,0.7344930406904355,0.742984436787042
2016,Indirect migration background,Urban regions,Yes,0.26126126126126126,41132,0.2570155632129581,0.2655069593095644
2016,Indirect migration background,Rural regions,No,0.6617647058823529,41132,0.6571924827139696,0.6663369290507363
2016,Indirect migration background,Rural regions,Yes,0.3382352941176471,41132,0.3336630709492638,0.34280751728603037
2017,No migration background,Urban regions,Yes,0.9762099411379986,45410,0.9748082585074277,0.9776116237685696
2017,No migration background,Urban regions,No,0.023790058862001306,45410,0.022388376231430366,0.025191741492572247
2017,No migration background,Rural regions,Yes,0.9789567657186583,45410,0.977636630790783,0.9802769006465336
2017,No migration background,Rural regions,No,0.021043234281341666,45410,0.01972309935346635,0.02236336920921698
2017,Direct migration background,Urban regions,No,0.6835820895522388,45410,0.6793044302962278,0.6878597488082497
2017,Direct migration background,Urban regions,Yes,0.3164179104477612,45410,0.3121402511917502,0.32069556970377217
2017,Direct migration background,Rural regions,No,0.6623376623376623,45410,0.6579879417787886,0.6666873828965361
2017,Direct migration background,Rural regions,Yes,0.33766233766233766,45410,0.33331261710346394,0.3420120582212114
2017,Indirect migration background,Urban regions,No,0.759379042690815,45410,0.7554473791137677,0.7633107062678623
2017,Indirect migration background,Urban regions,Yes,0.240620957309185,45410,0.2366892937321377,0.2445526208862323
2017,Indirect migration background,Rural regions,No,0.6811594202898551,45410,0.6768730321061265,0.6854458084735837
2017,Indirect migration background,Rural regions,Yes,0.3188405797101449,45410,0.3145541915264163,0.3231269678938735
2018,No migration background,Urban regions,Yes,0.9763065031087212,43121,0.974870949776166,0.9777420564412765
2018,No migration background,Urban regions,No,0.023693496891278778,43121,0.022257943558723434,0.02512905022383412
2018,No migration background,Rural regions,Yes,0.9767441860465116,43121,0.9753216350341067,0.9781667370589164
2018,No migration background,Rural regions,No,0.023255813953488372,43121,0.02183326294108353,0.024678364965893214
2018,Direct migration background,Urban regions,No,0.7116564417177914,43121,0.707380793376712,0.7159320900588708
2018,Direct migration background,Urban regions,Yes,0.2883435582822086,43121,0.28406790994112924,0.29261920662328794
2018,Direct migration background,Rural regions,No,0.656934306569343,43121,0.6524534475913264,0.6614151655473597
2018,Direct migration background,Rural regions,Yes,0.34306569343065696,43121,0.33858483445264026,0.34754655240867366
2018,Indirect migration background,Urban regions,No,0.7669543773119606,43121,0.7629639730130976,0.7709447816108236
2018,Indirect migration background,Urban regions,Yes,0.23304562268803947,43121,0.2290552183891765,0.23703602698690243
2018,Indirect migration background,Rural regions,No,0.6756756756756757,43121,0.6712572193888807,0.6800941319624706
2018,Indirect migration background,Rural regions,Yes,0.32432432432432434,43121,0.31990586803752946,0.3287427806111192
2020,No migration background,Urban regions,Yes,0.9778258986574274,42741,0.9764298919216782,0.9792219053931767
2020,No migration background,Urban regions,No,0.02217410134257254,42741,0.02077809460682325,0.023570108078321834
2020,No migration background,Rural regions,Yes,0.9795477459311537,42741,0.9782058552831009,0.9808896365792065
2020,No migration background,Rural regions,No,0.02045225406884632,42741,0.019110363420793555,0.021794144716899087
2020,Direct migration background,Urban regions,No,0.6825938566552902,42741,0.6781809719221035,0.6870067413884768
2020,Direct migration background,Urban regions,Yes,0.3174061433447099,42741,0.3129932586115233,0.32181902807789653
2020,Direct migration background,Rural regions,No,0.6838235294117647,42741,0.679415235669967,0.6882318231535625
2020,Direct migration background,Rural regions,Yes,0.3161764705882353,42741,0.31176817684643754,0.320584764330033
2020,Indirect migration background,Urban regions,No,0.7160194174757282,42741,0.7117443747977095,0.7202944601537469
2020,Indirect migration background,Urban regions,Yes,0.28398058252427183,42741,0.2797055398462532,0.2882556252022905
2020,Indirect migration background,Rural regions,No,0.7292576419213974,42741,0.7250450214894397,0.7334702623533551
2020,Indirect migration background,Rural regions,Yes,0.27074235807860264,42741,0.266529737646645,0.2749549785105603
2021,No migration background,Urban regions,Yes,0.9753026634382567,27598,0.9734715635700784,0.977133763306435
2021,No migration background,Urban regions,No,0.024697336561743343,27598,0.022866236693565023,0.026528436429921663
2021,No migration background,Rural regions,Yes,0.9742427364516794,27598,0.9723737734016604,0.9761116995016983
2021,No migration background,Rural regions,No,0.025757263548320627,27598,0.023888300498301637,0.027626226598339618
2021,Direct migration background,Urban regions,No,0.7608695652173914,27598,0.7558369955082695,0.7659021349265132
2021,Direct migration background,Urban regions,Yes,0.2391304347826087,27598,0.23409786507348693,0.24416300449173048
2021,Direct migration background,Rural regions,No,0.73,27598,0.7247620592882116,0.7352379407117884
2021,Direct migration background,Rural regions,Yes,0.27,27598,0.2647620592882116,0.2752379407117884
2021,Indirect migration background,Urban regions,No,0.7523452157598499,27598,0.7472525026789253,0.7574379288407745
2021,Indirect migration background,Urban regions,Yes,0.24765478424015008,27598,0.24256207115922543,0.25274749732107477
2021,Indirect migration background,Rural regions,No,0.6666666666666666,27598,0.6611049224829216,0.6722284108504116
2021,Indirect migration background,Rural regions,Yes,0.3333333333333333,27598,0.32777158914958837,0.33889507751707826
