,Unnamed: 0,year,migback,sex,plj0175,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
67,67,2017,Direct migration background,female,No,0.61289,204,21542,0.50415,0.72834
68,68,2017,Indirect migration background,male,Yes,0.25749,115,21542,0.19706,0.32563
69,69,2017,Indirect migration background,male,No,0.74251,343,21542,0.6594,0.83115
70,70,2017,Indirect migration background,female,Yes,0.29557,137,21542,0.2339,0.3706
71,71,2017,Indirect migration background,female,No,0.70443,385,21542,0.62231,0.77801
72,72,2018,No migration background,male,Yes,0.97534,8778,20880,0.95332,0.99766
73,73,2018,No migration background,male,No,0.02466,224,20880,0.02098,0.02832
74,74,2018,No migration background,female,Yes,0.97622,10150,20880,0.95685,0.99576
75,75,2018,No migration background,female,No,0.02378,232,20880,0.02064,0.0273
76,76,2018,Direct migration background,male,Yes,0.41996,66,20880,0.28463,0.57248
77,77,2018,Direct migration background,male,No,0.58004,115,20880,0.47578,0.70216
78,78,2018,Direct migration background,female,Yes,0.32723,75,20880,0.24853,0.39539
79,79,2018,Direct migration background,female,No,0.67277,207,20880,0.55452,0.8065
80,80,2018,Indirect migration background,male,Yes,0.30252,118,20880,0.23625,0.3694
81,81,2018,Indirect migration background,male,No,0.69748,363,20880,0.62605,0.77084
82,82,2018,Indirect migration background,female,Yes,0.29323,143,20880,0.22765,0.34994
83,83,2018,Indirect migration background,female,No,0.70677,409,20880,0.62803,0.79968
84,84,2020,No migration background,male,Yes,0.97723,8569,19962,0.95055,0.99875
85,85,2020,No migration background,male,No,0.02277,200,19962,0.01891,0.02638
86,86,2020,No migration background,female,Yes,0.97846,9513,19962,0.95668,0.99891
87,87,2020,No migration background,female,No,0.02154,198,19962,0.01815,0.02527
88,88,2020,Direct migration background,male,Yes,0.42258,63,19962,0.24917,0.64724
89,89,2020,Direct migration background,male,No,0.57742,106,19962,0.40364,0.75585
90,90,2020,Direct migration background,female,Yes,0.28597,73,19962,0.20007,0.37215
91,91,2020,Direct migration background,female,No,0.71403,187,19962,0.5401,0.88257
92,92,2020,Indirect migration background,male,Yes,0.28054,141,19962,0.22978,0.34446
93,93,2020,Indirect migration background,male,No,0.71946,368,19962,0.62475,0.81595
94,94,2020,Indirect migration background,female,Yes,0.34674,155,19962,0.26073,0.42647
95,95,2020,Indirect migration background,female,No,0.65326,389,19962,0.56812,0.74442
96,96,2021,No migration background,male,Yes,0.97637,6032,14120,0.94879,1.00545
97,97,2021,No migration background,male,No,0.02363,157,14120,0.01918,0.02992
98,98,2021,No migration background,female,Yes,0.97219,6746,14120,0.9436,0.9974
99,99,2021,No migration background,female,No,0.02781,172,14120,0.02314,0.03115
100,100,2021,Direct migration background,male,Yes,0.33775,42,14120,0.19449,0.51987
101,101,2021,Direct migration background,male,No,0.66225,96,14120,0.491,0.86889
102,102,2021,Direct migration background,female,Yes,0.21338,40,14120,0.12816,0.31905
103,103,2021,Direct migration background,female,No,0.78662,152,14120,0.59859,0.99035
104,104,2021,Indirect migration background,male,Yes,0.30421,92,14120,0.2111,0.42601
105,105,2021,Indirect migration background,male,No,0.69579,237,14120,0.5853,0.81522
106,106,2021,Indirect migration background,female,Yes,0.28813,90,14120,0.20739,0.40249
107,107,2021,Indirect migration background,female,No,0.71187,264,14120,0.59813,0.81354
