,Unnamed: 0,year,quintil_oecd_hh,regtyp,hgreval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
82,82,1987,4th Quintile,Urban regions,Slightly Expensive,0.1596,79,2816,0.13588,0.18109
83,83,1987,5th Quintile,Urban regions,Very Inexpensive,0.11757,47,2816,0.10346,0.13085
84,84,1987,5th Quintile,Urban regions,Inexpensive,0.22015,88,2816,0.1948,0.24592
85,85,1987,5th Quintile,Urban regions,Reasonable,0.53376,186,2816,0.50055,0.57625
86,86,1987,5th Quintile,Urban regions,Slightly Expensive,0.12852,51,2816,0.10826,0.14675
87,87,1988,1st Quintile,Urban regions,Very Inexpensive,0.09754,44,2682,0.07967,0.11474
88,88,1988,1st Quintile,Urban regions,Inexpensive,0.24298,134,2682,0.21587,0.2733
89,89,1988,1st Quintile,Urban regions,Reasonable,0.43172,257,2682,0.38674,0.47483
90,90,1988,1st Quintile,Urban regions,Slightly Expensive,0.1865,119,2682,0.15769,0.21625
91,91,1988,1st Quintile,Urban regions,Too Expensive,0.04127,38,2682,0.02942,0.05468
92,92,1988,1st Quintile,Rural regions,Inexpensive,0.46077,43,2682,0.37602,0.54866
93,93,1988,1st Quintile,Rural regions,Reasonable,0.53923,46,2682,0.46222,0.6326
94,94,1988,2nd Quintile,Urban regions,Very Inexpensive,0.10122,51,2682,0.08379,0.12129
95,95,1988,2nd Quintile,Urban regions,Inexpensive,0.33363,158,2682,0.29921,0.36959
96,96,1988,2nd Quintile,Urban regions,Reasonable,0.43519,236,2682,0.39114,0.48328
97,97,1988,2nd Quintile,Urban regions,Slightly Expensive,0.12996,83,2682,0.10453,0.15655
98,98,1988,2nd Quintile,Rural regions,Inexpensive,0.51403,34,2682,0.42964,0.59416
99,99,1988,2nd Quintile,Rural regions,Reasonable,0.48597,40,2682,0.39333,0.58942
100,100,1988,3rd Quintile,Urban regions,Very Inexpensive,0.14171,62,2682,0.12047,0.16152
101,101,1988,3rd Quintile,Urban regions,Inexpensive,0.27409,143,2682,0.24715,0.30194
102,102,1988,3rd Quintile,Urban regions,Reasonable,0.41822,226,2682,0.37323,0.46418
103,103,1988,3rd Quintile,Urban regions,Slightly Expensive,0.16598,95,2682,0.13953,0.1972
104,104,1988,3rd Quintile,Rural regions,Reasonable,1.0,31,2682,0.7496,1.31817
105,105,1988,4th Quintile,Urban regions,Very Inexpensive,0.11774,46,2682,0.0977,0.13444
106,106,1988,4th Quintile,Urban regions,Inexpensive,0.27179,133,2682,0.24251,0.30154
107,107,1988,4th Quintile,Urban regions,Reasonable,0.45769,215,2682,0.42439,0.50382
108,108,1988,4th Quintile,Urban regions,Slightly Expensive,0.15278,66,2682,0.12837,0.17996
109,109,1988,4th Quintile,Rural regions,Reasonable,1.0,35,2682,0.71344,1.27828
110,110,1988,5th Quintile,Urban regions,Very Inexpensive,0.13084,47,2682,0.11125,0.14888
111,111,1988,5th Quintile,Urban regions,Inexpensive,0.25763,91,2682,0.23127,0.2879
112,112,1988,5th Quintile,Urban regions,Reasonable,0.47536,161,2682,0.43369,0.51626
113,113,1988,5th Quintile,Urban regions,Slightly Expensive,0.13617,48,2682,0.11509,0.15224
114,114,1989,1st Quintile,Urban regions,Very Inexpensive,0.08024,37,2518,0.0616,0.09724
115,115,1989,1st Quintile,Urban regions,Inexpensive,0.27161,146,2518,0.24032,0.30058
116,116,1989,1st Quintile,Urban regions,Reasonable,0.41738,240,2518,0.36371,0.45877
117,117,1989,1st Quintile,Urban regions,Slightly Expensive,0.1681,115,2518,0.13914,0.20058
118,118,1989,1st Quintile,Urban regions,Too Expensive,0.06266,36,2518,0.04252,0.08095
119,119,1989,1st Quintile,Rural regions,Reasonable,1.0,50,2518,0.8452,1.15471
120,120,1989,2nd Quintile,Urban regions,Very Inexpensive,0.13927,56,2518,0.1131,0.16659
121,121,1989,2nd Quintile,Urban regions,Inexpensive,0.31578,163,2518,0.27967,0.35264
122,122,1989,2nd Quintile,Urban regions,Reasonable,0.41168,223,2518,0.36987,0.4557
123,123,1989,2nd Quintile,Urban regions,Slightly Expensive,0.13327,97,2518,0.10857,0.15618
124,124,1989,2nd Quintile,Rural regions,Inexpensive,0.54756,40,2518,0.44841,0.65019
125,125,1989,2nd Quintile,Rural regions,Reasonable,0.45244,35,2518,0.35034,0.55511
126,126,1989,3rd Quintile,Urban regions,Very Inexpensive,0.12449,60,2518,0.10323,0.14589
127,127,1989,3rd Quintile,Urban regions,Inexpensive,0.28846,146,2518,0.25801,0.31632
128,128,1989,3rd Quintile,Urban regions,Reasonable,0.45769,209,2518,0.41754,0.50218
129,129,1989,3rd Quintile,Urban regions,Slightly Expensive,0.12937,78,2518,0.10374,0.15338
130,130,1989,4th Quintile,Urban regions,Very Inexpensive,0.14476,57,2518,0.12174,0.16522
131,131,1989,4th Quintile,Urban regions,Inexpensive,0.29863,146,2518,0.25992,0.3336
132,132,1989,4th Quintile,Urban regions,Reasonable,0.41606,189,2518,0.37821,0.45276
133,133,1989,4th Quintile,Urban regions,Slightly Expensive,0.14056,64,2518,0.11193,0.16801
134,134,1989,5th Quintile,Urban regions,Very Inexpensive,0.14744,48,2518,0.12618,0.16491
135,135,1989,5th Quintile,Urban regions,Inexpensive,0.29941,102,2518,0.26941,0.32711
136,136,1989,5th Quintile,Urban regions,Reasonable,0.46,146,2518,0.42314,0.49586
137,137,1989,5th Quintile,Urban regions,Slightly Expensive,0.09315,35,2518,0.07318,0.11728
138,138,1990,1st Quintile,Urban regions,Very Inexpensive,0.19126,136,3991,0.17235,0.20884
139,139,1990,1st Quintile,Urban regions,Inexpensive,0.32552,215,3991,0.3003,0.35362
140,140,1990,1st Quintile,Urban regions,Reasonable,0.40177,284,3991,0.37655,0.42711
141,141,1990,1st Quintile,Urban regions,Slightly Expensive,0.08144,42,3991,0.06423,0.10522
142,142,1990,1st Quintile,Rural regions,Very Inexpensive,0.25838,211,3991,0.23699,0.2768
143,143,1990,1st Quintile,Rural regions,Inexpensive,0.33553,269,3991,0.3155,0.3551
144,144,1990,1st Quintile,Rural regions,Reasonable,0.36256,283,3991,0.34004,0.38324
145,145,1990,1st Quintile,Rural regions,Slightly Expensive,0.04353,33,3991,0.03681,0.05107
146,146,1990,2nd Quintile,Urban regions,Very Inexpensive,0.09377,50,3991,0.07942,0.11296
147,147,1990,2nd Quintile,Urban regions,Inexpensive,0.30112,197,3991,0.2687,0.33193
148,148,1990,2nd Quintile,Urban regions,Reasonable,0.40426,284,3991,0.36214,0.4427
149,149,1990,2nd Quintile,Urban regions,Slightly Expensive,0.14848,122,3991,0.12268,0.17635
150,150,1990,2nd Quintile,Urban regions,Too Expensive,0.05237,48,3991,0.0372,0.06994
151,151,1990,2nd Quintile,Rural regions,Inexpensive,0.41733,42,3991,0.34881,0.49442
152,152,1990,2nd Quintile,Rural regions,Reasonable,0.58267,58,3991,0.4905,0.67243
153,153,1990,3rd Quintile,Urban regions,Very Inexpensive,0.11719,64,3991,0.10044,0.13228
154,154,1990,3rd Quintile,Urban regions,Inexpensive,0.32927,207,3991,0.30142,0.36302
155,155,1990,3rd Quintile,Urban regions,Reasonable,0.43573,279,3991,0.4037,0.47699
156,156,1990,3rd Quintile,Urban regions,Slightly Expensive,0.11781,91,3991,0.09337,0.1399
157,157,1990,3rd Quintile,Rural regions,Inexpensive,0.45878,43,3991,0.36352,0.56108
158,158,1990,3rd Quintile,Rural regions,Reasonable,0.54122,43,3991,0.4434,0.64188
159,159,1990,4th Quintile,Urban regions,Very Inexpensive,0.15312,77,3991,0.13228,0.17237
160,160,1990,4th Quintile,Urban regions,Inexpensive,0.30224,188,3991,0.26942,0.33965
161,161,1990,4th Quintile,Urban regions,Reasonable,0.429,222,3991,0.38706,0.47829
162,162,1990,4th Quintile,Urban regions,Slightly Expensive,0.11565,66,3991,0.09784,0.135
163,163,1990,4th Quintile,Rural regions,Reasonable,1.0,31,3991,0.75677,1.24852
164,164,1990,5th Quintile,Urban regions,Very Inexpensive,0.13256,59,3991,0.11136,0.15276
165,165,1990,5th Quintile,Urban regions,Inexpensive,0.33489,135,3991,0.30531,0.36552
166,166,1990,5th Quintile,Urban regions,Reasonable,0.4051,163,3991,0.36618,0.43871
167,167,1990,5th Quintile,Urban regions,Slightly Expensive,0.12745,49,3991,0.10451,0.14866
168,168,1991,1st Quintile,Urban regions,Very Inexpensive,0.22666,139,3911,0.20661,0.25255
169,169,1991,1st Quintile,Urban regions,Inexpensive,0.41656,230,3911,0.38307,0.44604
170,170,1991,1st Quintile,Urban regions,Reasonable,0.35678,205,3911,0.33091,0.38483
171,171,1991,1st Quintile,Rural regions,Very Inexpensive,0.2417,209,3911,0.22287,0.25997
172,172,1991,1st Quintile,Rural regions,Inexpensive,0.44131,310,3911,0.41671,0.47253
173,173,1991,1st Quintile,Rural regions,Reasonable,0.2709,207,3911,0.25397,0.29253
174,174,1991,1st Quintile,Rural regions,Slightly Expensive,0.04609,31,3911,0.03672,0.05869
175,175,1991,2nd Quintile,Urban regions,Very Inexpensive,0.14676,69,3911,0.12662,0.16523
176,176,1991,2nd Quintile,Urban regions,Inexpensive,0.27573,182,3911,0.24723,0.30542
177,177,1991,2nd Quintile,Urban regions,Reasonable,0.40929,296,3911,0.36704,0.44946
178,178,1991,2nd Quintile,Urban regions,Slightly Expensive,0.12865,112,3911,0.10192,0.15369
179,179,1991,2nd Quintile,Urban regions,Too Expensive,0.03957,40,3911,0.02623,0.05499
180,180,1991,2nd Quintile,Rural regions,Inexpensive,0.45376,51,3911,0.36077,0.53725
181,181,1991,2nd Quintile,Rural regions,Reasonable,0.54624,53,3911,0.45466,0.64456
182,182,1991,3rd Quintile,Urban regions,Very Inexpensive,0.12414,75,3911,0.10612,0.14017
183,183,1991,3rd Quintile,Urban regions,Inexpensive,0.355,210,3911,0.32043,0.38815
184,184,1991,3rd Quintile,Urban regions,Reasonable,0.42197,282,3911,0.38194,0.46798
185,185,1991,3rd Quintile,Urban regions,Slightly Expensive,0.09889,77,3911,0.0816,0.11846
186,186,1991,3rd Quintile,Rural regions,Inexpensive,0.51355,43,3911,0.40711,0.60772
187,187,1991,3rd Quintile,Rural regions,Reasonable,0.48645,42,3911,0.39438,0.60053
188,188,1991,4th Quintile,Urban regions,Very Inexpensive,0.14072,67,3911,0.12306,0.15899
189,189,1991,4th Quintile,Urban regions,Inexpensive,0.34436,196,3911,0.30836,0.37279
190,190,1991,4th Quintile,Urban regions,Reasonable,0.37375,200,3911,0.3414,0.40657
191,191,1991,4th Quintile,Urban regions,Slightly Expensive,0.14117,81,3911,0.11747,0.16627
192,192,1991,4th Quintile,Rural regions,Inexpensive,0.48029,33,3911,0.39049,0.59887
193,193,1991,4th Quintile,Rural regions,Reasonable,0.51971,34,3911,0.4083,0.63893
194,194,1991,5th Quintile,Urban regions,Very Inexpensive,0.1863,88,3911,0.16352,0.20888
195,195,1991,5th Quintile,Urban regions,Inexpensive,0.30478,146,3911,0.27633,0.33083
196,196,1991,5th Quintile,Urban regions,Reasonable,0.39082,152,3911,0.35854,0.42474
197,197,1991,5th Quintile,Urban regions,Slightly Expensive,0.11809,51,3911,0.09978,0.13681
198,198,1992,1st Quintile,Urban regions,Inexpensive,0.27739,135,3672,0.24542,0.309
199,199,1992,1st Quintile,Urban regions,Reasonable,0.47849,249,3672,0.4297,0.52497
200,200,1992,1st Quintile,Urban regions,Slightly Expensive,0.24413,149,3672,0.2151,0.27621
201,201,1992,1st Quintile,Rural regions,Inexpensive,0.21745,66,3672,0.18471,0.25801
202,202,1992,1st Quintile,Rural regions,Reasonable,0.49056,184,3672,0.44693,0.54224
203,203,1992,1st Quintile,Rural regions,Slightly Expensive,0.29199,115,3672,0.25468,0.32287
204,204,1992,2nd Quintile,Urban regions,Very Inexpensive,0.10759,44,3672,0.08769,0.12855
205,205,1992,2nd Quintile,Urban regions,Inexpensive,0.32297,183,3672,0.28884,0.35856
206,206,1992,2nd Quintile,Urban regions,Reasonable,0.41185,278,3672,0.37082,0.45381
207,207,1992,2nd Quintile,Urban regions,Slightly Expensive,0.1576,121,3672,0.13435,0.18258
208,208,1992,2nd Quintile,Rural regions,Inexpensive,0.31026,73,3672,0.25484,0.36369
209,209,1992,2nd Quintile,Rural regions,Reasonable,0.50943,161,3672,0.45536,0.57873
210,210,1992,2nd Quintile,Rural regions,Slightly Expensive,0.18031,55,3672,0.14785,0.22377
211,211,1992,3rd Quintile,Urban regions,Very Inexpensive,0.10033,51,3672,0.08558,0.12201
212,212,1992,3rd Quintile,Urban regions,Inexpensive,0.31942,200,3672,0.28803,0.34803
213,213,1992,3rd Quintile,Urban regions,Reasonable,0.46138,284,3672,0.41935,0.50344
214,214,1992,3rd Quintile,Urban regions,Slightly Expensive,0.11887,92,3672,0.09912,0.14241
215,215,1992,3rd Quintile,Rural regions,Inexpensive,0.3151,48,3672,0.25586,0.37796
216,216,1992,3rd Quintile,Rural regions,Reasonable,0.49923,84,3672,0.41379,0.59213
217,217,1992,3rd Quintile,Rural regions,Slightly Expensive,0.18567,35,3672,0.12821,0.24491
218,218,1992,4th Quintile,Urban regions,Very Inexpensive,0.12434,70,3672,0.10432,0.14481
219,219,1992,4th Quintile,Urban regions,Inexpensive,0.35018,188,3672,0.31798,0.38378
220,220,1992,4th Quintile,Urban regions,Reasonable,0.42556,241,3672,0.38305,0.46692
221,221,1992,4th Quintile,Urban regions,Slightly Expensive,0.09992,72,3672,0.08172,0.12362
222,222,1992,4th Quintile,Rural regions,Inexpensive,0.45031,41,3672,0.34402,0.55796
223,223,1992,4th Quintile,Rural regions,Reasonable,0.54969,54,3672,0.43794,0.66377
224,224,1992,5th Quintile,Urban regions,Very Inexpensive,0.18768,76,3672,0.16342,0.21717
225,225,1992,5th Quintile,Urban regions,Inexpensive,0.32073,137,3672,0.28901,0.35574
226,226,1992,5th Quintile,Urban regions,Reasonable,0.39779,141,3672,0.35977,0.4371
227,227,1992,5th Quintile,Urban regions,Slightly Expensive,0.0938,45,3672,0.07531,0.11436
228,228,1993,1st Quintile,Urban regions,Inexpensive,0.31909,146,3750,0.28189,0.3587
229,229,1993,1st Quintile,Urban regions,Reasonable,0.45062,234,3750,0.39815,0.496
230,230,1993,1st Quintile,Urban regions,Slightly Expensive,0.17331,131,3750,0.15139,0.19913
231,231,1993,1st Quintile,Urban regions,Too Expensive,0.05698,42,3750,0.04635,0.06888
232,232,1993,1st Quintile,Rural regions,Inexpensive,0.14921,41,3750,0.12407,0.18035
233,233,1993,1st Quintile,Rural regions,Reasonable,0.43332,152,3750,0.38852,0.47949
234,234,1993,1st Quintile,Rural regions,Slightly Expensive,0.34412,130,3750,0.30985,0.38154
235,235,1993,1st Quintile,Rural regions,Too Expensive,0.07335,40,3750,0.05961,0.08717
236,236,1993,2nd Quintile,Urban regions,Very Inexpensive,0.08438,39,3750,0.06887,0.10493
237,237,1993,2nd Quintile,Urban regions,Inexpensive,0.26388,146,3750,0.23132,0.29887
238,238,1993,2nd Quintile,Urban regions,Reasonable,0.4373,303,3750,0.39522,0.48083
239,239,1993,2nd Quintile,Urban regions,Slightly Expensive,0.17639,144,3750,0.14645,0.20673
240,240,1993,2nd Quintile,Urban regions,Too Expensive,0.03805,39,3750,0.02743,0.05138
241,241,1993,2nd Quintile,Rural regions,Inexpensive,0.28725,67,3750,0.25095,0.33674
242,242,1993,2nd Quintile,Rural regions,Reasonable,0.47973,138,3750,0.42022,0.54269
243,243,1993,2nd Quintile,Rural regions,Slightly Expensive,0.23302,86,3750,0.20355,0.26767
244,244,1993,3rd Quintile,Urban regions,Very Inexpensive,0.13526,72,3750,0.11143,0.16085
245,245,1993,3rd Quintile,Urban regions,Inexpensive,0.31363,185,3750,0.27252,0.35417
246,246,1993,3rd Quintile,Urban regions,Reasonable,0.40229,239,3750,0.35896,0.45782
247,247,1993,3rd Quintile,Urban regions,Slightly Expensive,0.11761,104,3750,0.09854,0.13916
248,248,1993,3rd Quintile,Urban regions,Too Expensive,0.03122,33,3750,0.02226,0.04086
249,249,1993,3rd Quintile,Rural regions,Inexpensive,0.40263,54,3750,0.31764,0.48809
250,250,1993,3rd Quintile,Rural regions,Reasonable,0.40654,78,3750,0.34078,0.50614
251,251,1993,3rd Quintile,Rural regions,Slightly Expensive,0.19082,46,3750,0.15297,0.2338
252,252,1993,4th Quintile,Urban regions,Very Inexpensive,0.1272,69,3750,0.11044,0.14514
253,253,1993,4th Quintile,Urban regions,Inexpensive,0.32484,176,3750,0.2916,0.35978
254,254,1993,4th Quintile,Urban regions,Reasonable,0.40974,227,3750,0.37566,0.44922
255,255,1993,4th Quintile,Urban regions,Slightly Expensive,0.13821,83,3750,0.11815,0.16357
256,256,1993,4th Quintile,Rural regions,Inexpensive,0.35225,34,3750,0.26729,0.42437
257,257,1993,4th Quintile,Rural regions,Reasonable,0.64775,68,3750,0.55007,0.77079
258,258,1993,5th Quintile,Urban regions,Very Inexpensive,0.16346,60,3750,0.14208,0.18616
259,259,1993,5th Quintile,Urban regions,Inexpensive,0.34276,133,3750,0.30961,0.37905
260,260,1993,5th Quintile,Urban regions,Reasonable,0.40022,164,3750,0.35375,0.43748
261,261,1993,5th Quintile,Urban regions,Slightly Expensive,0.09356,47,3750,0.07311,0.11257
262,262,1994,1st Quintile,Urban regions,Very Inexpensive,0.09512,48,3677,0.06957,0.11909
263,263,1994,1st Quintile,Urban regions,Inexpensive,0.24936,152,3677,0.21357,0.28342
264,264,1994,1st Quintile,Urban regions,Reasonable,0.47316,318,3677,0.43422,0.52113
265,265,1994,1st Quintile,Urban regions,Slightly Expensive,0.13878,136,3677,0.11826,0.1597
266,266,1994,1st Quintile,Urban regions,Too Expensive,0.04357,35,3677,0.03215,0.05955
267,267,1994,1st Quintile,Rural regions,Inexpensive,0.23327,58,3677,0.19288,0.27375
268,268,1994,1st Quintile,Rural regions,Reasonable,0.44601,134,3677,0.39113,0.4972
269,269,1994,1st Quintile,Rural regions,Slightly Expensive,0.32072,104,3677,0.28033,0.36144
270,270,1994,2nd Quintile,Urban regions,Very Inexpensive,0.10521,46,3677,0.08543,0.12715
271,271,1994,2nd Quintile,Urban regions,Inexpensive,0.29747,155,3677,0.25678,0.33364
272,272,1994,2nd Quintile,Urban regions,Reasonable,0.45868,293,3677,0.41479,0.50535
273,273,1994,2nd Quintile,Urban regions,Slightly Expensive,0.13865,110,3677,0.1121,0.16901
274,274,1994,2nd Quintile,Rural regions,Inexpensive,0.26951,60,3677,0.22093,0.31827
275,275,1994,2nd Quintile,Rural regions,Reasonable,0.54124,144,3677,0.47691,0.61315
276,276,1994,2nd Quintile,Rural regions,Slightly Expensive,0.18925,75,3677,0.16271,0.21759
277,277,1994,3rd Quintile,Urban regions,Very Inexpensive,0.11677,48,3677,0.09938,0.13435
278,278,1994,3rd Quintile,Urban regions,Inexpensive,0.3207,173,3677,0.28559,0.36011
279,279,1994,3rd Quintile,Urban regions,Reasonable,0.43412,237,3677,0.39224,0.47472
280,280,1994,3rd Quintile,Urban regions,Slightly Expensive,0.1284,91,3677,0.10776,0.14581
281,281,1994,3rd Quintile,Rural regions,Inexpensive,0.27917,51,3677,0.2219,0.33908
282,282,1994,3rd Quintile,Rural regions,Reasonable,0.5409,108,3677,0.46388,0.61681
283,283,1994,3rd Quintile,Rural regions,Slightly Expensive,0.17993,41,3677,0.14044,0.22593
284,284,1994,4th Quintile,Urban regions,Very Inexpensive,0.13383,65,3677,0.10763,0.15852
285,285,1994,4th Quintile,Urban regions,Inexpensive,0.314,159,3677,0.27603,0.34861
286,286,1994,4th Quintile,Urban regions,Reasonable,0.4254,225,3677,0.3776,0.4706
287,287,1994,4th Quintile,Urban regions,Slightly Expensive,0.12676,79,3677,0.10173,0.1494
288,288,1994,4th Quintile,Rural regions,Inexpensive,0.43349,47,3677,0.36346,0.50308
289,289,1994,4th Quintile,Rural regions,Reasonable,0.56651,59,3677,0.46407,0.69782
