year,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Very Inexpensive,0.04050,442,5936,0.03549,0.04552
2002,Inexpensive,0.13348,1501,5936,0.12482,0.14213
2002,Reasonable,0.24471,2732,5936,0.23377,0.25565
2002,Slightly Expensive,0.09732,1090,5936,0.08978,0.10486
2002,Too Expensive,0.01630,171,5936,0.01308,0.01953
2005,Very Inexpensive,0.03358,344,5393,0.02878,0.03839
2005,Inexpensive,0.12874,1269,5393,0.11980,0.13768
2005,Reasonable,0.25840,2622,5393,0.24671,0.27008
2005,Slightly Expensive,0.09736,1009,5393,0.08945,0.10528
2005,Too Expensive,0.01581,149,5393,0.01248,0.01914
2006,Very Inexpensive,0.03297,365,5822,0.02838,0.03755
2006,Inexpensive,0.13147,1422,5822,0.12278,0.14015
2006,Reasonable,0.25437,2756,5822,0.24318,0.26556
2006,Slightly Expensive,0.10483,1116,5822,0.09696,0.11270
2006,Too Expensive,0.01680,163,5822,0.01350,0.02010
2007,Very Inexpensive,0.03548,358,5394,0.03054,0.04042
2007,Inexpensive,0.12332,1282,5394,0.11454,0.13209
2007,Reasonable,0.25284,2572,5394,0.24124,0.26444
2007,Slightly Expensive,0.09862,1022,5394,0.09066,0.10658
2007,Too Expensive,0.01839,160,5394,0.01480,0.02197
2008,Very Inexpensive,0.03707,352,5046,0.03185,0.04228
2008,Inexpensive,0.12770,1238,5046,0.11849,0.13691
2008,Reasonable,0.24159,2371,5046,0.22977,0.25340
2008,Slightly Expensive,0.10018,941,5046,0.09189,0.10846
2008,Too Expensive,0.01559,144,5046,0.01217,0.01901
2009,Very Inexpensive,0.03508,334,4734,0.02984,0.04033
2009,Inexpensive,0.12321,1165,4734,0.11385,0.13257
2009,Reasonable,0.24185,2237,4734,0.22966,0.25405
2009,Slightly Expensive,0.09729,880,4734,0.08885,0.10574
2009,Too Expensive,0.01375,118,4734,0.01043,0.01707
2010,Very Inexpensive,0.03877,547,7020,0.03425,0.04328
2010,Inexpensive,0.11965,1764,7020,0.11206,0.12725
2010,Reasonable,0.23459,3160,7020,0.22468,0.24450
2010,Slightly Expensive,0.09964,1331,7020,0.09263,0.10664
2010,Too Expensive,0.01113,218,7020,0.00868,0.01359
2011,Very Inexpensive,0.03850,674,8353,0.03438,0.04263
2011,Inexpensive,0.12358,2071,8353,0.11652,0.13064
2011,Reasonable,0.23692,3812,8353,0.22780,0.24604
2011,Slightly Expensive,0.09104,1529,8353,0.08487,0.09721
2011,Too Expensive,0.01330,267,8353,0.01084,0.01576
2012,Very Inexpensive,0.03790,625,8194,0.03377,0.04204
2012,Inexpensive,0.12826,2188,8194,0.12102,0.13550
2012,Reasonable,0.23832,3748,8194,0.22910,0.24755
2012,Slightly Expensive,0.08816,1371,8194,0.08202,0.09430
2012,Too Expensive,0.01351,262,8194,0.01101,0.01601
2013,Very Inexpensive,0.03896,721,9664,0.03511,0.04282
2013,Inexpensive,0.13478,2478,9664,0.12797,0.14159
2013,Reasonable,0.23736,4452,9664,0.22888,0.24584
2013,Slightly Expensive,0.08367,1683,9664,0.07815,0.08919
2013,Too Expensive,0.01303,330,9664,0.01077,0.01529
2014,Very Inexpensive,0.04534,744,8499,0.04091,0.04976
2014,Inexpensive,0.14331,2249,8499,0.13586,0.15076
2014,Reasonable,0.23357,3765,8499,0.22457,0.24257
2014,Slightly Expensive,0.08784,1487,8499,0.08182,0.09386
2014,Too Expensive,0.01256,254,8499,0.01019,0.01493
