year,regtyp,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,Rural regions,Inexpensive,0.11063,355,1397,0.09418,0.12709
2008,Rural regions,Reasonable,0.18427,625,1397,0.16393,0.20460
2008,Rural regions,Slightly Expensive,0.08387,254,1397,0.06933,0.09842
2008,Rural regions,Too Expensive,0.01550,51,1397,0.00902,0.02198
2009,Urban regions,Very Inexpensive,0.03688,227,3394,0.03054,0.04322
2009,Urban regions,Inexpensive,0.13324,829,3394,0.12181,0.14468
2009,Urban regions,Reasonable,0.26324,1621,3394,0.24842,0.27806
2009,Urban regions,Slightly Expensive,0.10534,637,3394,0.09501,0.11567
2009,Urban regions,Too Expensive,0.01459,80,3394,0.01055,0.01862
2009,Rural regions,Very Inexpensive,0.03117,107,1340,0.02186,0.04047
2009,Rural regions,Inexpensive,0.10133,336,1340,0.08517,0.11749
2009,Rural regions,Reasonable,0.19521,616,1340,0.17398,0.21644
2009,Rural regions,Slightly Expensive,0.07975,243,1340,0.06524,0.09426
2009,Rural regions,Too Expensive,0.01192,38,1340,0.00610,0.01773
2010,Urban regions,Very Inexpensive,0.04063,386,5013,0.03516,0.04609
2010,Urban regions,Inexpensive,0.12465,1237,5013,0.11550,0.13379
2010,Urban regions,Reasonable,0.25827,2270,5013,0.24615,0.27039
2010,Urban regions,Slightly Expensive,0.10959,984,5013,0.10095,0.11824
2010,Urban regions,Too Expensive,0.01022,136,5013,0.00744,0.01301
2010,Rural regions,Very Inexpensive,0.03465,161,2007,0.02665,0.04265
2010,Rural regions,Inexpensive,0.10859,527,2007,0.09498,0.12221
2010,Rural regions,Reasonable,0.18213,890,2007,0.16524,0.19902
2010,Rural regions,Slightly Expensive,0.07758,347,2007,0.06587,0.08928
2010,Rural regions,Too Expensive,0.01315,82,2007,0.00816,0.01813
2011,Urban regions,Very Inexpensive,0.03974,461,5848,0.03473,0.04475
2011,Urban regions,Inexpensive,0.12828,1438,5848,0.11970,0.13685
2011,Urban regions,Reasonable,0.26291,2698,5848,0.25163,0.27420
2011,Urban regions,Slightly Expensive,0.09754,1075,5848,0.08994,0.10515
2011,Urban regions,Too Expensive,0.01269,176,5848,0.00982,0.01556
2011,Rural regions,Very Inexpensive,0.03583,213,2505,0.02855,0.04311
2011,Rural regions,Inexpensive,0.11342,633,2505,0.10100,0.12584
2011,Rural regions,Reasonable,0.18072,1114,2505,0.16565,0.19579
2011,Rural regions,Slightly Expensive,0.07698,454,2505,0.06654,0.08742
2011,Rural regions,Too Expensive,0.01461,91,2505,0.00991,0.01931
2012,Urban regions,Very Inexpensive,0.03960,438,5662,0.03452,0.04468
2012,Urban regions,Inexpensive,0.13412,1505,5662,0.12524,0.14299
2012,Urban regions,Reasonable,0.25884,2583,5662,0.24743,0.27025
2012,Urban regions,Slightly Expensive,0.09533,960,5662,0.08768,0.10298
2012,Urban regions,Too Expensive,0.01414,176,5662,0.01106,0.01721
2012,Rural regions,Very Inexpensive,0.03428,187,2532,0.02719,0.04137
2012,Rural regions,Inexpensive,0.11577,683,2532,0.10331,0.12824
2012,Rural regions,Reasonable,0.19457,1165,2532,0.17915,0.20999
2012,Rural regions,Slightly Expensive,0.07287,411,2532,0.06274,0.08299
2012,Rural regions,Too Expensive,0.01217,86,2532,0.00790,0.01645
2013,Urban regions,Very Inexpensive,0.04100,515,6888,0.03632,0.04568
2013,Urban regions,Inexpensive,0.13960,1752,6888,0.13141,0.14779
2013,Urban regions,Reasonable,0.25269,3141,6888,0.24242,0.26295
2013,Urban regions,Slightly Expensive,0.09285,1233,6888,0.08600,0.09970
2013,Urban regions,Too Expensive,0.01482,247,6888,0.01196,0.01767
2013,Rural regions,Very Inexpensive,0.03466,206,2776,0.02785,0.04147
2013,Rural regions,Inexpensive,0.12459,726,2776,0.11230,0.13687
2013,Rural regions,Reasonable,0.20495,1311,2776,0.18993,0.21997
2013,Rural regions,Slightly Expensive,0.06424,450,2776,0.05512,0.07337
2013,Rural regions,Too Expensive,0.00925,83,2776,0.00569,0.01281
2014,Urban regions,Very Inexpensive,0.04476,504,5952,0.03950,0.05001
2014,Urban regions,Inexpensive,0.14721,1543,5952,0.13821,0.15621
2014,Urban regions,Reasonable,0.24851,2641,5952,0.23753,0.25948
2014,Urban regions,Slightly Expensive,0.09609,1085,5952,0.08861,0.10358
2014,Urban regions,Too Expensive,0.01276,179,5952,0.00991,0.01561
2014,Rural regions,Very Inexpensive,0.04656,240,2547,0.03838,0.05475
2014,Rural regions,Inexpensive,0.13502,706,2547,0.12174,0.14829
2014,Rural regions,Reasonable,0.20179,1124,2547,0.18620,0.21738
2014,Rural regions,Slightly Expensive,0.07028,402,2547,0.06035,0.08021
2014,Rural regions,Too Expensive,0.01214,75,2547,0.00789,0.01640
