"ple0008","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Gut","1994","66","männlich","","","",""
"Gut","1994","66","weiblich","","","",""
"Zufriedenstellend","1994","17-29","männlich","302","0.200527220651082","0.181172554154398","0.219881887147766"
"Zufriedenstellend","1994","17-29","weiblich","347","0.218763721002939","0.199088753696985","0.238438688308893"
"Zufriedenstellend","1994","30-45","männlich","571","0.282973292816124","0.263368849890042","0.302577735742207"
"Zufriedenstellend","1994","30-45","weiblich","660","0.317857539526356","0.298003350936545","0.337711728116168"
"Zufriedenstellend","1994","46-65","männlich","776","0.392846233442744","0.371258006352972","0.414434460532516"
"Zufriedenstellend","1994","46-65","weiblich","783","0.421158810301306","0.399044858397256","0.443272762205356"
"Zufriedenstellend","1994","66","männlich","","","",""
"Zufriedenstellend","1994","66","weiblich","","","",""
"Weniger gut","1994","17-29","männlich","68","0.047606301418809","0.0373134035844073","0.0578991992532107"
"Weniger gut","1994","17-29","weiblich","111","0.0661348361445833","0.0543073514269369","0.0779623208622297"
"Weniger gut","1994","30-45","männlich","175","0.0910894860132717","0.0785664737733414","0.103612498253202"
"Weniger gut","1994","30-45","weiblich","258","0.11266320791283","0.0991818498514485","0.126144565974211"
"Weniger gut","1994","46-65","männlich","331","0.168289857781144","0.151752302660775","0.184827412901513"
"Weniger gut","1994","46-65","weiblich","428","0.217720113469253","0.199236194332338","0.236204032606167"
"Weniger gut","1994","66","männlich","","","",""
"Weniger gut","1994","66","weiblich","","","",""
"Schlecht","1994","17-29","männlich","13","","",""
"Schlecht","1994","17-29","weiblich","19","","",""
"Schlecht","1994","30-45","männlich","29","","",""
"Schlecht","1994","30-45","weiblich","41","0.02193071950366","0.0156860480807432","0.0281753909265767"
"Schlecht","1994","46-65","männlich","102","0.0481846953433844","0.0387182433931102","0.0576511472936585"
"Schlecht","1994","46-65","weiblich","90","0.0453363668828307","0.0360185912555066","0.0546541425101547"
"Schlecht","1994","66","männlich","","","",""
"Schlecht","1994","66","weiblich","","","",""
"Sehr gut","1995","17-29","männlich","390","0.223774559326682","0.203535662315443","0.24401345633792"
"Sehr gut","1995","17-29","weiblich","314","0.171701919600949","0.153837985270728","0.189565853931171"
"Sehr gut","1995","30-45","männlich","239","0.104578597605068","0.0916496820255447","0.117507513184591"
"Sehr gut","1995","30-45","weiblich","205","0.0811010567582921","0.0698981020291345","0.0923040114874497"
"Sehr gut","1995","46-65","männlich","71","0.035942439422662","0.0278268476827619","0.0440580311625622"
"Sehr gut","1995","46-65","weiblich","48","0.0284206284794604","0.0210128472950611","0.0358284096638598"
"Sehr gut","1995","66","männlich","","","",""
"Sehr gut","1995","66","weiblich","","","",""
"Gut","1995","17-29","männlich","871","0.542286722157027","0.518093217204761","0.566480227109293"
"Gut","1995","17-29","weiblich","917","0.546126118144017","0.522542508363695","0.569709727924339"
"Gut","1995","30-45","männlich","1067","0.485532428912923","0.464416262262872","0.506648595562974"
"Gut","1995","30-45","weiblich","1072","0.473845852633907","0.453354978328296","0.494336726939517"
"Gut","1995","46-65","männlich","695","0.343349478317332","0.32264805162522","0.364050905009444"
"Gut","1995","46-65","weiblich","548","0.28819029967595","0.267999487240514","0.308381112111386"
"Gut","1995","66","männlich","","","",""
"Gut","1995","66","weiblich","","","",""
"Zufriedenstellend","1995","17-29","männlich","279","0.177532896640249","0.158976816625221","0.196088976655278"
"Zufriedenstellend","1995","17-29","weiblich","355","0.204634320878442","0.185523960739578","0.223744681017306"
"Zufriedenstellend","1995","30-45","männlich","663","0.322057579916148","0.302315626410653","0.341799533421643"
"Zufriedenstellend","1995","30-45","weiblich","701","0.320877125213055","0.301720058708416","0.340034191717695"
"Zufriedenstellend","1995","46-65","männlich","802","0.405430966955145","0.38402550839896","0.426836425511329"
"Zufriedenstellend","1995","46-65","weiblich","796","0.408707806979776","0.386792896384475","0.430622717575077"
"Zufriedenstellend","1995","66","männlich","","","",""
"Zufriedenstellend","1995","66","weiblich","","","",""
"Weniger gut","1995","17-29","männlich","79","0.0515068546066652","0.0407734583766437","0.0622402508366868"
"Weniger gut","1995","17-29","weiblich","105","0.0659970383693836","0.0542363549112547","0.0777577218275125"
"Weniger gut","1995","30-45","männlich","161","0.078986792800879","0.0675911946389947","0.0903823909627632"
"Weniger gut","1995","30-45","weiblich","254","0.104435680135608","0.0918852592792664","0.11698610099195"
"Weniger gut","1995","46-65","männlich","352","0.163910780341025","0.147771097169823","0.180050463512227"
"Weniger gut","1995","46-65","weiblich","442","0.22583264123295","0.207192768232448","0.244472514233453"
"Weniger gut","1995","66","männlich","","","",""
"Weniger gut","1995","66","weiblich","","","",""
"Schlecht","1995","17-29","männlich","10","","",""
"Schlecht","1995","17-29","weiblich","21","","",""
"Schlecht","1995","30-45","männlich","22","","",""
"Schlecht","1995","30-45","weiblich","49","0.0197402852591377","0.014031644184834","0.0254489263334414"
"Schlecht","1995","46-65","männlich","101","0.051366334963836","0.0417423820298442","0.0609902878978279"
"Schlecht","1995","46-65","weiblich","99","0.0488486236318634","0.0392395139615862","0.0584577333021406"
"Schlecht","1995","66","männlich","","","",""
"Schlecht","1995","66","weiblich","","","",""
"Sehr gut","1996","17-29","männlich","357","0.20788060127287","0.18757397771728","0.22818722482846"
"Sehr gut","1996","17-29","weiblich","309","0.174528136591148","0.156084855818409","0.192971417363888"
"Sehr gut","1996","30-45","männlich","215","0.0905327416617364","0.0784764147327609","0.102589068590712"
"Sehr gut","1996","30-45","weiblich","230","0.121196799844776","0.107705887245086","0.134687712444466"
"Sehr gut","1996","46-65","männlich","77","0.0396091923873861","0.0309965390126011","0.0482218457621711"
"Sehr gut","1996","46-65","weiblich","67","0.0334499650882892","0.0254155260103944","0.0414844041661839"
"Sehr gut","1996","66","männlich","","","",""
"Sehr gut","1996","66","weiblich","","","",""
"Gut","1996","17-29","männlich","814","0.544189509789694","0.519266375813233","0.569112643766154"
"Gut","1996","17-29","weiblich","859","0.531551249579053","0.507304254256918","0.555798244901189"
"Gut","1996","30-45","männlich","1115","0.521099822396341","0.500110345887408","0.542089298905275"
"Gut","1996","30-45","weiblich","1021","0.445816593392045","0.425269291065574","0.466363895718515"
"Gut","1996","46-65","männlich","630","0.3214813290472","0.300857288356818","0.342105369737583"
"Gut","1996","46-65","weiblich","536","0.282808553417007","0.262684781885927","0.302932324948087"
"Gut","1996","66","männlich","","","",""
"Gut","1996","66","weiblich","","","",""
"Zufriedenstellend","1996","17-29","männlich","279","0.192234852766729","0.172515437571022","0.211954267962436"
"Zufriedenstellend","1996","17-29","weiblich","360","0.23068912073165","0.210219075209618","0.251159166253681"
"Zufriedenstellend","1996","30-45","männlich","659","0.295748952270284","0.276573571183433","0.314924333357135"
"Zufriedenstellend","1996","30-45","weiblich","714","0.317603095539633","0.298358409739666","0.3368477813396"
"Zufriedenstellend","1996","46-65","männlich","821","0.413169964805985","0.39142616121679","0.434913768395181"
"Zufriedenstellend","1996","46-65","weiblich","823","0.437318485735403","0.415153074215436","0.45948389725537"
"Zufriedenstellend","1996","66","männlich","","","",""
"Zufriedenstellend","1996","66","weiblich","","","",""
"Weniger gut","1996","17-29","männlich","74","0.049747802907317","0.0388674794899141","0.0606281263247198"
"Weniger gut","1996","17-29","weiblich","83","0.055064218018449","0.0439803792422602","0.0661480567946377"
"Weniger gut","1996","30-45","männlich","155","0.0789757782616455","0.0676439201360574","0.0903076363872337"
"Weniger gut","1996","30-45","weiblich","243","0.0951769967243341","0.0830459646091612","0.107308028839507"
"Weniger gut","1996","46-65","männlich","343","0.17747120039869","0.160599670034325","0.194342730763056"
"Weniger gut","1996","46-65","weiblich","406","0.197991624727337","0.180185950686441","0.215797298768232"
"Weniger gut","1996","66","männlich","","","",""
"Weniger gut","1996","66","weiblich","","","",""
"Schlecht","1996","17-29","männlich","10","","",""
"Schlecht","1996","17-29","weiblich","16","","",""
"Schlecht","1996","30-45","männlich","32","0.0136427054099931","0.00876869977909037","0.0185167110408958"
"Schlecht","1996","30-45","weiblich","40","0.0202065144992124","0.0143899986641522","0.0260230303342726"
"Schlecht","1996","46-65","männlich","99","0.0482683133607382","0.038803690698083","0.0577329360233934"
"Schlecht","1996","46-65","weiblich","92","0.0484313710319637","0.0388389331191358","0.0580238089447916"
"Schlecht","1996","66","männlich","","","",""
"Schlecht","1996","66","weiblich","","","",""
"Sehr gut","1997","17-29","männlich","356","0.23632247822115","0.214715582091064","0.257929374351236"
"Sehr gut","1997","17-29","weiblich","278","0.188098314715346","0.16858046793905","0.207616161491643"
"Sehr gut","1997","30-45","männlich","220","0.100267161230156","0.0875800653584533","0.112954257101858"
"Sehr gut","1997","30-45","weiblich","173","0.0944109487972551","0.0822174877357139","0.106604409858796"
"Sehr gut","1997","46-65","männlich","63","0.0328550132427857","0.0248919651276624","0.0408180613579089"
"Sehr gut","1997","46-65","weiblich","55","0.034566368439638","0.0263994261153078","0.0427333107639681"
"Sehr gut","1997","66","männlich","","","",""
"Sehr gut","1997","66","weiblich","","","",""
"Gut","1997","17-29","männlich","826","0.551714722504497","0.526420613322266","0.577008831686729"
"Gut","1997","17-29","weiblich","873","0.557099029601029","0.532290144513182","0.581907914688877"
"Gut","1997","30-45","männlich","1142","0.509815542263327","0.488699506920628","0.530931577606026"
"Gut","1997","30-45","weiblich","1099","0.480184257078376","0.459349957436046","0.501018556720705"
"Gut","1997","46-65","männlich","682","0.347771963379979","0.326496465139436","0.369047461620521"
"Gut","1997","46-65","weiblich","550","0.283968775588664","0.263809604326342","0.304127946850985"
"Gut","1997","66","männlich","","","",""
"Gut","1997","66","weiblich","","","",""
"Zufriedenstellend","1997","17-29","männlich","237","0.169397783324418","0.150319676834229","0.188475889814606"
"Zufriedenstellend","1997","17-29","weiblich","302","0.203451706605202","0.183345763238053","0.223557649972352"
"Zufriedenstellend","1997","30-45","männlich","605","0.300764413938515","0.281393457596021","0.32013537028101"
"Zufriedenstellend","1997","30-45","weiblich","697","0.311409467576612","0.292098827793204","0.330720107360019"
"Zufriedenstellend","1997","46-65","männlich","761","0.400008731887133","0.378124065781592","0.421893397992673"
"Zufriedenstellend","1997","46-65","weiblich","817","0.428847735831607","0.4067219394439","0.450973532219315"
"Zufriedenstellend","1997","66","männlich","","","",""
"Zufriedenstellend","1997","66","weiblich","","","",""
"Weniger gut","1997","17-29","männlich","52","0.0337688677980464","0.024581658140397","0.0429560774556957"
"Weniger gut","1997","17-29","weiblich","69","0.0412251145565528","0.0312956234565627","0.0511546056565428"
"Weniger gut","1997","30-45","männlich","158","0.0794014120994969","0.0679811691930984","0.0908216550058954"
"Weniger gut","1997","30-45","weiblich","214","0.103850994812666","0.0911292793692996","0.116572710256032"
"Weniger gut","1997","46-65","männlich","324","0.164774880423242","0.148202686740468","0.181347074106017"
"Weniger gut","1997","46-65","weiblich","385","0.199913718891375","0.18203398254954","0.217793455233211"
"Weniger gut","1997","66","männlich","","","",""
"Weniger gut","1997","66","weiblich","","","",""
"Schlecht","1997","17-29","männlich","14","","",""
"Schlecht","1997","17-29","weiblich","18","","",""
"Schlecht","1997","30-45","männlich","28","","",""
"Schlecht","1997","30-45","weiblich","26","","",""
"Schlecht","1997","46-65","männlich","95","0.0545894110668605","0.0444410208094112","0.0647378013243097"
"Schlecht","1997","46-65","weiblich","115","0.0527034012487157","0.0427141322076353","0.0626926702897962"
"Schlecht","1997","66","männlich","","","",""
"Schlecht","1997","66","weiblich","","","",""
"Sehr gut","1998","17-29","männlich","404","0.255020301047318","0.233411623037107","0.276628979057529"
"Sehr gut","1998","17-29","weiblich","349","0.231864550154613","0.21114692295855","0.252582177350676"
"Sehr gut","1998","30-45","männlich","274","0.124246815751982","0.110977722998744","0.137515908505219"
"Sehr gut","1998","30-45","weiblich","217","0.0990022668554727","0.0871687039196179","0.110835829791328"
"Sehr gut","1998","46-65","männlich","96","0.0466367813434975","0.0377914378155329","0.0554821248714621"
"Sehr gut","1998","46-65","weiblich","83","0.0453332747011608","0.036630349167657","0.0540362002346645"
"Sehr gut","1998","66","männlich","","","",""
"Sehr gut","1998","66","weiblich","","","",""
"Gut","1998","17-29","männlich","859","0.545405143357937","0.520719725931564","0.570090560784311"
"Gut","1998","17-29","weiblich","859","0.530526506722845","0.506026679896926","0.555026333548763"
"Gut","1998","30-45","männlich","1271","0.525339995387645","0.505252800819735","0.545427189955555"
"Gut","1998","30-45","weiblich","1293","0.516773411934072","0.496973803667645","0.5365730202005"
"Gut","1998","46-65","männlich","800","0.365119597897663","0.344922695999623","0.385316499795703"
"Gut","1998","46-65","weiblich","681","0.306743674983584","0.28745219453085","0.326035155436319"
"Gut","1998","66","männlich","","","",""
"Gut","1998","66","weiblich","","","",""
"Zufriedenstellend","1998","17-29","männlich","233","0.158883190144391","0.140759954643652","0.17700642564513"
"Zufriedenstellend","1998","17-29","weiblich","307","0.187224777857717","0.168074687732812","0.206374867982623"
"Zufriedenstellend","1998","30-45","männlich","642","0.272970799579212","0.2550506447856","0.290890954372824"
"Zufriedenstellend","1998","30-45","weiblich","690","0.285476500041992","0.267581794906","0.303371205177984"
"Zufriedenstellend","1998","46-65","männlich","830","0.373475570357993","0.353183735105746","0.393767405610239"
"Zufriedenstellend","1998","46-65","weiblich","878","0.399572412475378","0.379081613355043","0.420063211595713"
"Zufriedenstellend","1998","66","männlich","","","",""
"Zufriedenstellend","1998","66","weiblich","","","",""
"Weniger gut","1998","17-29","männlich","60","0.036418640855234","0.027131657571009","0.0457056241394591"
"Weniger gut","1998","17-29","weiblich","70","0.0443142859278472","0.034211681291048","0.0544168905646464"
"Weniger gut","1998","30-45","männlich","155","0.0664722086963775","0.0564516620464537","0.0764927553463013"
"Weniger gut","1998","30-45","weiblich","199","0.0790917633045338","0.0683986316475098","0.0897848949615577"
"Weniger gut","1998","46-65","männlich","358","0.168397817242249","0.152699711057103","0.184095923427394"
"Weniger gut","1998","46-65","weiblich","439","0.195544400066301","0.178952177678784","0.212136622453817"
"Weniger gut","1998","66","männlich","","","",""
"Weniger gut","1998","66","weiblich","","","",""
"Schlecht","1998","17-29","männlich","7","","",""
"Schlecht","1998","17-29","weiblich","9","","",""
"Schlecht","1998","30-45","männlich","32","0.010970180584784","0.00678012952779121","0.0151602316417767"
"Schlecht","1998","30-45","weiblich","48","0.019656057863929","0.0141559836182166","0.0251561321096414"
"Schlecht","1998","46-65","männlich","99","0.0463702331585985","0.0375489703231167","0.0551914959940802"
"Schlecht","1998","46-65","weiblich","114","0.052806237773576","0.0434501808200119","0.0621622947271401"
"Schlecht","1998","66","männlich","","","",""
"Schlecht","1998","66","weiblich","","","",""
"Sehr gut","1999","17-29","männlich","341","0.247643878068894","0.225395955091541","0.269891801046247"
"Sehr gut","1999","17-29","weiblich","295","0.209767326236712","0.189319622133447","0.230215030339977"
"Sehr gut","1999","30-45","männlich","235","0.0962730907669338","0.0842937088466092","0.108252472687258"
"Sehr gut","1999","30-45","weiblich","236","0.106750639824363","0.0943472614160754","0.119154018232651"
"Sehr gut","1999","46-65","männlich","83","0.0425647702895074","0.0338725031642131","0.0512570374148017"
"Sehr gut","1999","46-65","weiblich","72","0.0441056397536748","0.035327878833877","0.0528834006734727"
"Sehr gut","1999","66","männlich","","","",""
"Sehr gut","1999","66","weiblich","","","",""
"Gut","1999","17-29","männlich","764","0.518841084201904","0.493088228617195","0.544593939786614"
"Gut","1999","17-29","weiblich","841","0.531666563612662","0.506605736747961","0.556727390477364"
"Gut","1999","30-45","männlich","1241","0.54548850782724","0.525266299328397","0.565710716326083"
"Gut","1999","30-45","weiblich","1187","0.502379522077184","0.48229629588943","0.522462748264937"
"Gut","1999","46-65","männlich","712","0.33703211764391","0.316678804953687","0.357385430334134"
"Gut","1999","46-65","weiblich","625","0.299384527870969","0.279805718707971","0.318963337033967"
"Gut","1999","66","männlich","","","",""
"Gut","1999","66","weiblich","","","",""
"Zufriedenstellend","1999","17-29","männlich","286","0.197759086998518","0.177229293924723","0.218288880072313"
"Zufriedenstellend","1999","17-29","weiblich","295","0.191988533042873","0.172207701403954","0.211769364681793"
"Zufriedenstellend","1999","30-45","männlich","657","0.272380491507336","0.254300279708908","0.290460703305764"
"Zufriedenstellend","1999","30-45","weiblich","700","0.283650954801441","0.265544940403135","0.301756969199747"
"Zufriedenstellend","1999","46-65","männlich","846","0.416011041581201","0.394787983517165","0.437234099645237"
"Zufriedenstellend","1999","46-65","weiblich","877","0.406068626395122","0.385074413988326","0.427062838801919"
"Zufriedenstellend","1999","66","männlich","","","",""
"Zufriedenstellend","1999","66","weiblich","","","",""
"Weniger gut","1999","17-29","männlich","50","0.0310826553641735","0.0221379432726371","0.04002736745571"
"Weniger gut","1999","17-29","weiblich","82","0.0595795435250065","0.0476915719258772","0.0714675151241357"
"Weniger gut","1999","30-45","männlich","160","0.0708330304296857","0.0604139800149972","0.0812520808443741"
"Weniger gut","1999","30-45","weiblich","225","0.0951570328978129","0.0833707883782209","0.106943277417405"
"Weniger gut","1999","46-65","männlich","331","0.160601052728602","0.144791789907415","0.17641031554979"
"Weniger gut","1999","46-65","weiblich","425","0.204764452405719","0.187513744966981","0.222015159844457"
"Weniger gut","1999","66","männlich","","","",""
"Weniger gut","1999","66","weiblich","","","",""
"Schlecht","1999","17-29","männlich","5","","",""
"Schlecht","1999","17-29","weiblich","10","","",""
"Schlecht","1999","30-45","männlich","36","0.0150248794688045","0.0100842592023721","0.0199654997352369"
"Schlecht","1999","30-45","weiblich","33","0.0120618503991994","0.00767714680638629","0.0164465539920124"
"Schlecht","1999","46-65","männlich","100","0.0437910177567793","0.0349800797742401","0.0526019557393184"
"Schlecht","1999","46-65","weiblich","103","0.045676753574515","0.0367513656424711","0.0546021415065589"
"Schlecht","1999","66","männlich","","","",""
"Schlecht","1999","66","weiblich","","","",""
"Sehr gut","2000","17-29","männlich","613","0.286890409515515","0.268062530528423","0.305718288502607"
"Sehr gut","2000","17-29","weiblich","544","0.248298387496961","0.230823727468613","0.26577304752531"
"Sehr gut","2000","30-45","männlich","503","0.134370870333575","0.123783260217416","0.144958480449733"
"Sehr gut","2000","30-45","weiblich","525","0.131579207011589","0.1213157166253","0.141842697397877"
"Sehr gut","2000","46-65","männlich","207","0.0574164145982492","0.0500420617675836","0.0647907674289149"
"Sehr gut","2000","46-65","weiblich","202","0.0552043681142602","0.0480660319476498","0.0623427042808706"
"Sehr gut","2000","66","männlich","","","",""
"Sehr gut","2000","66","weiblich","","","",""
"Gut","2000","17-29","männlich","1169","0.508683484962132","0.487873596868058","0.529493373056206"
"Gut","2000","17-29","weiblich","1206","0.495890352988377","0.475666943353013","0.51611376262374"
"Gut","2000","30-45","männlich","2093","0.516741829949342","0.501228470484612","0.532255189414072"
"Gut","2000","30-45","weiblich","2068","0.478889070100354","0.463721399289745","0.494056740910964"
"Gut","2000","46-65","männlich","1310","0.346902048649098","0.331813810333438","0.361990286964758"
"Gut","2000","46-65","weiblich","1255","0.322752323884199","0.30813897384756","0.337365673920837"
"Gut","2000","66","männlich","","","",""
"Gut","2000","66","weiblich","","","",""
"Zufriedenstellend","2000","17-29","männlich","336","0.159602026261582","0.144357043306315","0.174847009216848"
"Zufriedenstellend","2000","17-29","weiblich","457","0.193825214615809","0.177836307233375","0.209814121998243"
"Zufriedenstellend","2000","30-45","männlich","1061","0.264569160815673","0.25087548719848","0.278262834432866"
"Zufriedenstellend","2000","30-45","weiblich","1183","0.293788735860084","0.279958766077595","0.307618705642573"
"Zufriedenstellend","2000","46-65","männlich","1530","0.396271064603945","0.38076637349703","0.411775755710861"
"Zufriedenstellend","2000","46-65","weiblich","1590","0.404986187246858","0.389642668587665","0.420329705906052"
"Zufriedenstellend","2000","66","männlich","","","",""
"Zufriedenstellend","2000","66","weiblich","","","",""
"Weniger gut","2000","17-29","männlich","84","0.0383290330791678","0.0303372731625933","0.0463207929957423"
"Weniger gut","2000","17-29","weiblich","127","0.0551274728305093","0.045896027596693","0.0643589180643257"
"Weniger gut","2000","30-45","männlich","277","0.0705307335676469","0.062582215581706","0.0784792515535877"
"Weniger gut","2000","30-45","weiblich","337","0.0814364872848397","0.0731322365779263","0.089740737991753"
"Weniger gut","2000","46-65","männlich","605","0.155183574611562","0.143706003497594","0.166661145725531"
"Weniger gut","2000","46-65","weiblich","697","0.169800505269616","0.158064992835808","0.181536017703423"
"Weniger gut","2000","66","männlich","","","",""
"Weniger gut","2000","66","weiblich","","","",""
"Schlecht","2000","17-29","männlich","15","","",""
"Schlecht","2000","17-29","weiblich","14","","",""
"Schlecht","2000","30-45","männlich","52","0.0137874053337635","0.0101674268612829","0.0174073838062441"
"Schlecht","2000","30-45","weiblich","54","0.0143064997431337","0.0107009293169189","0.0179120701693486"
"Schlecht","2000","46-65","männlich","171","0.0442268975371456","0.0377096145067996","0.0507441805674916"
"Schlecht","2000","46-65","weiblich","188","0.0472566154850672","0.0406243696677157","0.0538888613024187"
"Schlecht","2000","66","männlich","","","",""
"Schlecht","2000","66","weiblich","","","",""
"Sehr gut","2001","17-29","männlich","583","0.310846777187259","0.290434304281751","0.331259250092767"
"Sehr gut","2001","17-29","weiblich","506","0.238859913064469","0.220692453926909","0.257027372202029"
"Sehr gut","2001","30-45","männlich","446","0.1336623371325","0.122449453897997","0.144875220367003"
"Sehr gut","2001","30-45","weiblich","444","0.123060006541517","0.112590390999742","0.133529622083292"
"Sehr gut","2001","46-65","männlich","183","0.0575942273819575","0.0498934936868003","0.0652949610771146"
