"year","sampreg","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1996","Ostdeutschland","männlich","6.49","6.5","1755","4","5","8","9","10","6.39","6.59","0","10","7","7"
"1996","Ostdeutschland","weiblich","6.12","5.5","1925","3","5","8","9","10","6.02","6.22","0","10","6","7"
"1996","Westdeutschland","männlich","6.59","6.5","4533","3","5","8","9","10","6.52","6.66","0","10","7","7"
"1996","Westdeutschland","weiblich","6.38","6.5","4822","3","5","8","9","10","6.31","6.45","0","10","7","7"
"1997","Ostdeutschland","männlich","6.33","6.5","1740","3","5","8","9","10","6.23","6.43","0","10","7","7"
"1997","Ostdeutschland","weiblich","6.08","5.5","1885","3","5","8","9","10","5.98","6.18","0","10","6","7"
"1997","Westdeutschland","männlich","6.6","6.5","4450","3","5","8","9","10","6.54","6.66","0","10","7","7"
"1997","Westdeutschland","weiblich","6.4","6.5","4721","3","5","8","9","10","6.34","6.46","0","10","7","7"
"1998","Ostdeutschland","männlich","6.39","6.5","1862","4","5","8","9","10","6.3","6.48","0","10","7","7"
"1998","Ostdeutschland","weiblich","6.18","5.5","1992","3","5","8","9","10","6.08","6.28","0","10","6","7"
"1998","Westdeutschland","männlich","6.76","6.5","5001","4","5","8","9","10","6.7","6.82","0","10","7","7"
"1998","Westdeutschland","weiblich","6.48","6.5","5330","3","5","8","9","10","6.42","6.54","0","10","7","7"
"1999","Ostdeutschland","männlich","6.32","6.5","1816","3","5","8","9","10","6.22","6.42","0","10","7","7"
"1999","Ostdeutschland","weiblich","6.14","5.5","1962","3","5","8","9","10","6.04","6.24","0","10","6","7"
"1999","Westdeutschland","männlich","6.71","6.5","4779","3","5","8","9","10","6.65","6.77","0","10","7","7"
"1999","Westdeutschland","weiblich","6.43","6.5","5078","3","5","8","9","10","6.37","6.49","0","10","7","7"
"2000","Ostdeutschland","männlich","6.53","6.5","2794","3","5","8","9","10","6.45","6.61","0","10","7","7"
"2000","Ostdeutschland","weiblich","6.24","6.5","3041","3","5","8","9","10","6.16","6.32","0","10","7","7"
"2000","Westdeutschland","männlich","6.88","6.5","8772","4","5","8","10","10","6.83","6.93","0","10","7","7"
"2000","Westdeutschland","weiblich","6.67","6.5","9458","3","5","8","10","10","6.62","6.72","0","10","7","7"
"2001","Ostdeutschland","männlich","6.55","6.5","2616","3","5","8","9","10","6.47","6.63","0","10","7","7"
"2001","Ostdeutschland","weiblich","6.22","6.5","2802","3","5","8","9","10","6.14","6.3","0","10","7","7"
"2001","Westdeutschland","männlich","6.88","6.5","7872","4","5","8","10","10","6.83","6.93","0","10","7","7"
"2001","Westdeutschland","weiblich","6.68","6.5","8552","3","5","8","9","10","6.63","6.73","0","10","7","7"
"2002","Ostdeutschland","männlich","6.41","6.5","2623","3","5","8","9","10","6.33","6.49","0","10","7","7"
"2002","Ostdeutschland","weiblich","6.21","6.5","2791","3","5","8","9","10","6.13","6.29","0","10","7","7"
"2002","Westdeutschland","männlich","6.77","6.5","8475","4","5","8","9","10","6.72","6.82","0","10","7","7"
"2002","Westdeutschland","weiblich","6.56","6.5","9084","3","5","8","9","10","6.51","6.61","0","10","7","7"
"2003","Ostdeutschland","männlich","6.36","6.5","2579","3","5","8","9","10","6.28","6.44","0","10","7","7"
"2003","Ostdeutschland","weiblich","6.21","6.5","2756","3","5","8","9","10","6.13","6.29","0","10","7","7"
"2003","Westdeutschland","männlich","6.79","6.5","8079","4","5","8","9","10","6.74","6.84","0","10","7","7"
"2003","Westdeutschland","weiblich","6.55","6.5","8712","3","5","8","9","10","6.5","6.6","0","10","7","7"
"2004","Ostdeutschland","männlich","6.2","6.5","2492","3","5","8","9","10","6.11","6.29","0","10","7","7"
"2004","Ostdeutschland","weiblich","5.99","5.5","2709","3","5","8","9","10","5.91","6.07","0","10","6","7"
"2004","Westdeutschland","männlich","6.65","6.5","7852","3","5","8","9","10","6.6","6.7","0","10","7","7"
"2004","Westdeutschland","weiblich","6.44","6.5","8480","3","5","8","9","10","6.39","6.49","0","10","7","7"
"2005","Ostdeutschland","männlich","6.32","6.5","2415","3","5","8","9","10","6.23","6.41","0","10","7","7"
"2005","Ostdeutschland","weiblich","6.16","6.5","2606","3","5","8","9","10","6.07","6.25","0","10","7","7"
"2005","Westdeutschland","männlich","6.65","6.5","7455","3","5","8","9","10","6.6","6.7","0","10","7","7"
"2005","Westdeutschland","weiblich","6.48","6.5","8158","3","5","8","9","10","6.43","6.53","0","10","7","7"
"2006","Ostdeutschland","männlich","6.31","6.5","2524","3","5","8","9","10","6.22","6.4","0","10","7","7"
"2006","Ostdeutschland","weiblich","6.12","6.5","2739","3","5","8","9","10","6.04","6.2","0","10","7","7"
"2006","Westdeutschland","männlich","6.65","6.5","7931","3","5","8","9","10","6.6","6.7","0","10","7","7"
"2006","Westdeutschland","weiblich","6.53","6.5","8723","3","5","8","9","10","6.48","6.58","0","10","7","7"
"2007","Ostdeutschland","männlich","6.33","6.5","2411","3","5","8","9","10","6.24","6.42","0","10","7","7"
"2007","Ostdeutschland","weiblich","6.18","6.5","2591","3","5","8","9","10","6.1","6.26","0","10","7","7"
"2007","Westdeutschland","männlich","6.62","6.5","7344","3","5","8","9","10","6.57","6.67","0","10","7","7"
"2007","Westdeutschland","weiblich","6.46","6.5","8120","3","5","8","9","10","6.41","6.51","0","10","7","7"
"2008","Ostdeutschland","männlich","6.35","6.5","2301","3","5","8","9","10","6.26","6.44","0","10","7","7"
"2008","Ostdeutschland","weiblich","6.22","6.5","2461","3","5","8","9","10","6.14","6.3","0","10","7","7"
"2008","Westdeutschland","männlich","6.59","6.5","6889","3","5","8","9","10","6.54","6.64","0","10","7","7"
"2008","Westdeutschland","weiblich","6.45","6.5","7637","3","5","8","9","10","6.4","6.5","0","10","7","7"
"2009","Ostdeutschland","männlich","6.23","6.5","2184","3","5","8","9","10","6.14","6.32","0","10","7","7"
"2009","Ostdeutschland","weiblich","6.14","6.5","2345","3","5","8","9","10","6.05","6.23","0","10","6","7"
"2009","Westdeutschland","männlich","6.52","6.5","6404","3","5","8","9","10","6.47","6.57","0","10","7","7"
"2009","Westdeutschland","weiblich","6.41","6.5","7054","3","5","8","9","10","6.36","6.46","0","10","7","7"
"2010","Ostdeutschland","männlich","6.21","6.5","2506","3","5","8","9","10","6.12","6.3","0","10","7","7"
"2010","Ostdeutschland","weiblich","6.14","6.5","2958","3","5","8","9","10","6.06","6.22","0","10","7","7"
"2010","Westdeutschland","männlich","6.63","6.5","8387","3","5","8","9","10","6.58","6.68","0","10","7","7"
"2010","Westdeutschland","weiblich","6.48","6.5","10075","3","5","8","9","10","6.44","6.52","0","10","7","7"
"2011","Ostdeutschland","männlich","6.35","6.5","2623","3","5","8","9","10","6.26","6.44","0","10","7","7"
"2011","Ostdeutschland","weiblich","6.09","5.5","3162","3","5","8","9","10","6.01","6.17","0","10","7","7"
"2011","Westdeutschland","männlich","6.66","6.5","9002","3","5","8","9","10","6.61","6.71","0","10","7","7"
"2011","Westdeutschland","weiblich","6.47","6.5","10985","3","5","8","9","10","6.43","6.51","0","10","7","7"
"2012","Ostdeutschland","männlich","6.34","6.5","2704","3","5","8","9","10","6.26","6.42","0","10","7","7"
"2012","Ostdeutschland","weiblich","6.13","5.5","3238","3","5","8","9","10","6.05","6.21","0","10","7","7"
"2012","Westdeutschland","männlich","6.74","6.5","9268","3","5","8","9","10","6.7","6.78","0","10","7","7"
"2012","Westdeutschland","weiblich","6.57","6.5","11196","3","5","8","9","10","6.53","6.61","0","10","7","7"
"2013","Ostdeutschland","männlich","6.33","6.5","2786","3","5","8","9","10","6.25","6.41","0","10","7","7"
"2013","Ostdeutschland","weiblich","6.2","6.5","3312","3","5","8","9","10","6.12","6.28","0","10","7","7"
"2013","Westdeutschland","männlich","6.77","6.5","11184","3","5","8","9","10","6.73","6.81","0","10","7","8"
"2013","Westdeutschland","weiblich","6.57","6.5","13307","3","5","8","9","10","6.53","6.61","0","10","7","7"
"2014","Ostdeutschland","männlich","6.42","6.5","2541","3","5","8","9","10","6.34","6.5","0","10","7","7"
"2014","Ostdeutschland","weiblich","6.23","6.5","3035","3","5","8","9","10","6.15","6.31","0","10","7","7"
"2014","Westdeutschland","männlich","6.79","6.5","9879","4","5","8","9","10","6.75","6.83","0","10","7","7"
"2014","Westdeutschland","weiblich","6.52","6.5","11601","3","5","8","9","10","6.48","6.56","0","10","7","7"
"2015","Ostdeutschland","männlich","6.34","6.5","2390","3","5","8","9","10","6.25","6.43","0","10","7","7"
"2015","Ostdeutschland","weiblich","6.18","6.5","2850","3","5","8","9","10","6.1","6.26","0","10","7","7"
"2015","Westdeutschland","männlich","6.77","6.5","9047","4","5","8","9","10","6.73","6.81","0","10","7","7"
"2015","Westdeutschland","weiblich","6.55","6.5","10713","3","5","8","9","10","6.51","6.59","0","10","7","7"
"2016","Ostdeutschland","männlich","6.4","6.5","2577","3","5","8","9","10","6.31","6.49","0","10","7","7"
"2016","Ostdeutschland","weiblich","6.23","6.5","2945","3","5","8","9","10","6.15","6.31","0","10","7","7"
"2016","Westdeutschland","männlich","6.79","6.5","10205","4","5","8","9","10","6.75","6.83","0","10","7","8"
"2016","Westdeutschland","weiblich","6.56","6.5","11363","3","5","8","9","10","6.52","6.6","0","10","7","7"
"2017","Ostdeutschland","männlich","6.33","6.5","2894","3","5","8","9","10","6.25","6.41","0","10","7","7"
"2017","Ostdeutschland","weiblich","6.27","6.5","3263","3","5","8","9","10","6.19","6.35","0","10","7","7"
"2017","Westdeutschland","männlich","6.75","6.5","11569","3","5","8","9","10","6.71","6.79","0","10","7","8"
"2017","Westdeutschland","weiblich","6.51","6.5","12650","3","5","8","9","10","6.47","6.55","0","10","7","7"
"2018","Ostdeutschland","männlich","6.43","6.5","2819","3","5","8","9","10","6.35","6.51","0","10","7","7"
"2018","Ostdeutschland","weiblich","6.2","6.5","3180","3","5","8","9","10","6.12","6.28","0","10","7","7"
"2018","Westdeutschland","männlich","6.7","6.5","11010","4","5","8","9","10","6.66","6.74","0","10","7","8"
"2018","Westdeutschland","weiblich","6.48","6.5","12114","3","5","8","9","10","6.44","6.52","0","10","7","7"
"2019","Ostdeutschland","männlich","6.46","6.5","2906","3","5","8","9","10","6.38","6.54","0","10","7","7"
"2019","Ostdeutschland","weiblich","6.34","6.5","3112","3","5","8","9","10","6.26","6.42","0","10","7","7"
"2019","Westdeutschland","männlich","6.83","6.5","11348","4","5","8","9","10","6.79","6.87","0","10","8","8"
"2019","Westdeutschland","weiblich","6.57","6.5","11723","3","5","8","9","10","6.53","6.61","0","10","7","7"
"2020","Ostdeutschland","männlich","6.52","6.5","2853","3","5","8","9","10","6.44","6.6","0","10","7","7"
"2020","Ostdeutschland","weiblich","6.41","6.5","2991","3","5","8","9","10","6.33","6.49","0","10","7","7"
"2020","Westdeutschland","männlich","6.77","6.5","11793","4","5","8","9","10","6.73","6.81","0","10","8","8"
"2020","Westdeutschland","weiblich","6.55","6.5","11837","3","5","8","9","10","6.51","6.59","0","10","7","7"
