"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2006","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","Laendlicher Raum","7.61","7.5","405","5","7","9","10","10","7.42","7.8","1","10","8","8"
"2007","direkter Migrationshintergrund","Staedtischer Raum","7.15","7.5","1710","4","6","9","10","10","7.05","7.25","1","10","8","8"
"2007","indirekter Migrationshintergrund","Laendlicher Raum","7.52","7.5","112","5","6","9","10","10","7.15","7.89","1","10","8","8"
"2007","indirekter Migrationshintergrund","Staedtischer Raum","7.05","6.5","659","4","6","9","10","10","6.88","7.22","0","10","7","8"
"2007","kein Migrationshintergrund","Laendlicher Raum","7.75","7.5","6535","5","7","9","10","10","7.71","7.79","0","10","8","8"
"2007","kein Migrationshintergrund","Staedtischer Raum","7.8","7.5","10968","5","7","9","10","10","7.77","7.83","0","10","8","8"
"2007","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","Laendlicher Raum","7.59","7.5","358","5","7","9","10","10","7.39","7.79","0","10","8","8"
"2008","direkter Migrationshintergrund","Staedtischer Raum","7.32","7.5","1545","4","6","9","10","10","7.22","7.42","0","10","8","8"
"2008","indirekter Migrationshintergrund","Laendlicher Raum","7.76","7.5","113","5","7","9","10","10","7.42","8.1","3","10","8","9"
"2008","indirekter Migrationshintergrund","Staedtischer Raum","7.15","7.5","653","4","6","9","10","10","6.99","7.31","0","10","8","8"
"2008","kein Migrationshintergrund","Laendlicher Raum","7.92","7.5","6175","5","7","9","10","10","7.88","7.96","0","10","8","8"
"2008","kein Migrationshintergrund","Staedtischer Raum","7.91","7.5","10388","5","7","9","10","10","7.88","7.94","0","10","8","8"
"2008","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","Laendlicher Raum","7.64","7.5","324","5","7","9","10","10","7.43","7.85","2","10","8","8"
"2009","direkter Migrationshintergrund","Staedtischer Raum","7.32","7.5","1334","5","6","9","10","10","7.21","7.43","0","10","8","8"
"2009","indirekter Migrationshintergrund","Laendlicher Raum","7.45","7.5","117","4","7","9","10","10","7.06","7.84","1","10","8","8"
"2009","indirekter Migrationshintergrund","Staedtischer Raum","7.14","7.5","585","4","6","9","10","10","6.96","7.32","0","10","8","8"
"2009","kein Migrationshintergrund","Laendlicher Raum","7.8","7.5","5894","5","7","9","10","10","7.75","7.85","0","10","8","8"
"2009","kein Migrationshintergrund","Staedtischer Raum","7.81","7.5","9676","5","7","9","10","10","7.78","7.84","0","10","8","8"
"2009","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","Laendlicher Raum","7.4","7.5","624","5","6","9","10","10","7.22","7.58","0","10","8","8"
"2010","direkter Migrationshintergrund","Staedtischer Raum","7.37","7.5","2272","5","6","9","10","10","7.28","7.46","0","10","8","8"
"2010","indirekter Migrationshintergrund","Laendlicher Raum","7.21","7.5","202","4","6","9","10","10","6.89","7.53","0","10","8","9"
"2010","indirekter Migrationshintergrund","Staedtischer Raum","7.25","7.5","934","4","6","9","10","10","7.1","7.4","0","10","8","8"
"2010","kein Migrationshintergrund","Laendlicher Raum","7.8","7.5","7518","5","7","9","10","10","7.76","7.84","0","10","8","8"
"2010","kein Migrationshintergrund","Staedtischer Raum","7.79","7.5","12325","5","7","9","10","10","7.76","7.82","0","10","8","8"
"2010","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2010","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","Laendlicher Raum","7.41","7.5","687","4","6","9","10","10","7.23","7.59","0","10","8","8"
"2011","direkter Migrationshintergrund","Staedtischer Raum","7.38","7.5","2216","4","6","9","10","10","7.29","7.47","0","10","8","8"
"2011","indirekter Migrationshintergrund","Laendlicher Raum","7.67","7.5","229","5","7","9","10","10","7.38","7.96","0","10","8","9"
"2011","indirekter Migrationshintergrund","Staedtischer Raum","7.41","7.5","972","5","6","9","10","10","7.27","7.55","0","10","8","8"
"2011","kein Migrationshintergrund","Laendlicher Raum","7.85","7.5","8321","5","7","9","10","10","7.81","7.89","0","10","8","8"
"2011","kein Migrationshintergrund","Staedtischer Raum","7.81","7.5","13296","5","7","9","10","10","7.78","7.84","0","10","8","8"
"2011","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","Laendlicher Raum","7.77","7.5","732","5","7","9","10","10","7.61","7.93","0","10","8","8"
"2012","direkter Migrationshintergrund","Staedtischer Raum","7.42","7.5","2167","5","6","9","10","10","7.33","7.51","0","10","8","8"
"2012","indirekter Migrationshintergrund","Laendlicher Raum","7.62","7.5","236","5","6","9","10","10","7.34","7.9","0","10","8","9"
"2012","indirekter Migrationshintergrund","Staedtischer Raum","7.42","7.5","978","5","6","9","10","10","7.28","7.56","0","10","8","8"
"2012","kein Migrationshintergrund","Laendlicher Raum","7.87","7.5","8669","5","7","9","10","10","7.83","7.91","0","10","8","8"
"2012","kein Migrationshintergrund","Staedtischer Raum","7.84","7.5","13572","5","7","9","10","10","7.81","7.87","0","10","8","8"
"2012","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","Laendlicher Raum","7.57","7.5","1564","5","7","9","10","10","7.46","7.68","0","10","8","8"
"2013","direkter Migrationshintergrund","Staedtischer Raum","7.39","7.5","4815","4","6","9","10","10","7.32","7.46","0","10","8","8"
"2013","indirekter Migrationshintergrund","Laendlicher Raum","7.64","7.5","362","5","7","9","10","10","7.39","7.89","0","10","8","9"
"2013","indirekter Migrationshintergrund","Staedtischer Raum","7.45","7.5","1761","5","6","9","10","10","7.35","7.55","0","10","8","8"
