,Unnamed: 0,year,age_gr,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
46,46,1995,30-45 y.,Poor,0.09166,415,13243,0.0838,0.09894
47,47,1995,30-45 y.,Bad,0.01425,71,13243,0.0116,0.01726
48,48,1995,46-65 y.,Very good,0.03219,119,13243,0.02866,0.03586
49,49,1995,46-65 y.,Good,0.31585,1243,13243,0.30485,0.32851
50,50,1995,46-65 y.,Satisfactory,0.40708,1598,13243,0.393,0.42163
51,51,1995,46-65 y.,Poor,0.19478,794,13243,0.18472,0.20501
52,52,1995,46-65 y.,Bad,0.05011,200,13243,0.04381,0.05676
53,53,1995,66 and older,Very good,0.02758,36,13243,0.0239,0.03218
54,54,1995,66 and older,Good,0.18473,289,13243,0.17361,0.19465
55,55,1995,66 and older,Satisfactory,0.4104,624,13243,0.39217,0.42808
56,56,1995,66 and older,Poor,0.26472,396,13243,0.25075,0.28064
57,57,1995,66 and older,Bad,0.11258,170,13243,0.10378,0.12196
58,58,1996,17-29 y.,Very good,0.19274,666,12995,0.18061,0.20476
59,59,1996,17-29 y.,Good,0.54181,1673,12995,0.52094,0.56533
60,60,1996,17-29 y.,Satisfactory,0.21273,639,12995,0.19938,0.22627
61,61,1996,17-29 y.,Poor,0.05272,157,12995,0.04644,0.05958
62,62,1996,30-45 y.,Very good,0.10558,445,12995,0.0979,0.11281
63,63,1996,30-45 y.,Good,0.48418,2137,12995,0.46753,0.4997
64,64,1996,30-45 y.,Satisfactory,0.30644,1373,12995,0.29539,0.32119
65,65,1996,30-45 y.,Poor,0.08693,398,12995,0.07963,0.0944
66,66,1996,30-45 y.,Bad,0.01687,72,12995,0.01415,0.01946
67,67,1996,46-65 y.,Very good,0.03657,144,12995,0.03271,0.04101
68,68,1996,46-65 y.,Good,0.30208,1165,12995,0.28746,0.31413
69,69,1996,46-65 y.,Satisfactory,0.42528,1644,12995,0.41012,0.4426
70,70,1996,46-65 y.,Poor,0.18771,749,12995,0.17807,0.19824
71,71,1996,46-65 y.,Bad,0.04835,191,12995,0.04252,0.05455
72,72,1996,66 and older,Very good,0.02198,33,12995,0.01911,0.02526
73,73,1996,66 and older,Good,0.16707,261,12995,0.15607,0.17859
74,74,1996,66 and older,Satisfactory,0.44394,696,12995,0.42606,0.46191
75,75,1996,66 and older,Poor,0.25849,387,12995,0.24552,0.27192
76,76,1996,66 and older,Bad,0.10852,165,12995,0.10028,0.11697
77,77,1997,17-29 y.,Very good,0.21236,634,12783,0.19801,0.22879
78,78,1997,17-29 y.,Good,0.55434,1699,12783,0.53123,0.57765
79,79,1997,17-29 y.,Satisfactory,0.18641,539,12783,0.17578,0.19862
80,80,1997,17-29 y.,Poor,0.03746,121,12783,0.03355,0.04192
81,81,1997,17-29 y.,Bad,0.00943,32,12783,0.00741,0.01203
82,82,1997,30-45 y.,Very good,0.09739,393,12783,0.09012,0.1042
83,83,1997,30-45 y.,Good,0.49547,2242,12783,0.48032,0.51278
84,84,1997,30-45 y.,Satisfactory,0.30579,1302,12783,0.29137,0.32055
85,85,1997,30-45 y.,Poor,0.09141,372,12783,0.08477,0.09857
86,86,1997,30-45 y.,Bad,0.00994,54,12783,0.00821,0.01137
87,87,1997,46-65 y.,Very good,0.03372,118,12783,0.03015,0.03837
88,88,1997,46-65 y.,Good,0.3157,1231,12783,0.30292,0.33152
89,89,1997,46-65 y.,Satisfactory,0.41454,1578,12783,0.39827,0.4292
90,90,1997,46-65 y.,Poor,0.18236,709,12783,0.17316,0.19125
91,91,1997,46-65 y.,Bad,0.05368,210,12783,0.04741,0.05907
92,92,1997,66 and older,Good,0.15749,258,12783,0.14638,0.16716
93,93,1997,66 and older,Satisfactory,0.47878,741,12783,0.45623,0.49838
94,94,1997,66 and older,Poor,0.25293,393,12783,0.2393,0.26919
95,95,1997,66 and older,Bad,0.11079,157,12783,0.09993,0.12061
96,96,1998,17-29 y.,Very good,0.245,753,14190,0.23166,0.26041
97,97,1998,17-29 y.,Good,0.54082,1718,14190,0.52288,0.55927
98,98,1998,17-29 y.,Satisfactory,0.1737,540,14190,0.16292,0.18425
99,99,1998,17-29 y.,Poor,0.04048,130,14190,0.0351,0.04671
100,100,1998,30-45 y.,Very good,0.11187,491,14190,0.10498,0.11747
101,101,1998,30-45 y.,Good,0.52119,2565,14190,0.5058,0.53502
102,102,1998,30-45 y.,Satisfactory,0.27903,1332,14190,0.26676,0.2892
103,103,1998,30-45 y.,Poor,0.07267,354,14190,0.06758,0.07839
104,104,1998,30-45 y.,Bad,0.01524,80,14190,0.01278,0.01789
105,105,1998,46-65 y.,Very good,0.04597,179,14190,0.04184,0.05018
106,106,1998,46-65 y.,Good,0.33601,1480,14190,0.32447,0.34649
107,107,1998,46-65 y.,Satisfactory,0.38648,1708,14190,0.37389,0.3982
108,108,1998,46-65 y.,Poor,0.18191,797,14190,0.1723,0.18996
109,109,1998,46-65 y.,Bad,0.04962,213,14190,0.04491,0.05616
110,110,1998,66 and older,Very good,0.02991,51,14190,0.02628,0.03362
111,111,1998,66 and older,Good,0.17908,334,14190,0.16977,0.18943
112,112,1998,66 and older,Satisfactory,0.42954,812,14190,0.41373,0.44672
113,113,1998,66 and older,Poor,0.2456,448,14190,0.23401,0.25942
114,114,1998,66 and older,Bad,0.11587,205,14190,0.10729,0.12406
115,115,1999,17-29 y.,Very good,0.23061,636,13629,0.21672,0.24468
116,116,1999,17-29 y.,Good,0.52806,1605,13629,0.50987,0.54801
117,117,1999,17-29 y.,Satisfactory,0.19612,581,13629,0.18433,0.20915
118,118,1999,17-29 y.,Poor,0.04522,132,13629,0.03969,0.05259
119,119,1999,30-45 y.,Very good,0.10148,471,13629,0.0952,0.10968
120,120,1999,30-45 y.,Good,0.52429,2429,13629,0.50693,0.5452
121,121,1999,30-45 y.,Satisfactory,0.27792,1357,13629,0.26766,0.289
122,122,1999,30-45 y.,Poor,0.08274,385,13629,0.07651,0.08904
123,123,1999,30-45 y.,Bad,0.01357,69,13629,0.01131,0.01602
124,124,1999,46-65 y.,Very good,0.04333,155,13629,0.03973,0.04724
125,125,1999,46-65 y.,Good,0.31804,1336,13629,0.30678,0.33182
126,126,1999,46-65 y.,Satisfactory,0.41111,1723,13629,0.39814,0.4276
127,127,1999,46-65 y.,Poor,0.18279,756,13629,0.17306,0.19327
128,128,1999,46-65 y.,Bad,0.04473,203,13629,0.04088,0.04929
129,129,1999,66 and older,Very good,0.02206,35,13629,0.01829,0.0261
130,130,1999,66 and older,Good,0.17429,317,13629,0.16482,0.18295
131,131,1999,66 and older,Satisfactory,0.4329,799,13629,0.41743,0.45212
132,132,1999,66 and older,Poor,0.24629,435,13629,0.23244,0.26144
133,133,1999,66 and older,Bad,0.12447,205,13629,0.11456,0.1343
134,134,2000,17-29 y.,Very good,0.26964,1156,24037,0.25839,0.28141
135,135,2000,17-29 y.,Good,0.50594,2375,24037,0.49326,0.51889
136,136,2000,17-29 y.,Satisfactory,0.17755,793,24037,0.1712,0.18506
137,137,2000,17-29 y.,Poor,0.04687,211,24037,0.04366,0.05074
138,138,2000,30-45 y.,Very good,0.13312,1029,24037,0.12899,0.13747
139,139,2000,30-45 y.,Good,0.49812,4162,24037,0.48714,0.50849
140,140,2000,30-45 y.,Satisfactory,0.27884,2244,24037,0.27243,0.2873
141,141,2000,30-45 y.,Poor,0.07589,614,24037,0.07218,0.07941
142,142,2000,30-45 y.,Bad,0.01404,106,24037,0.01255,0.01517
143,143,2000,46-65 y.,Very good,0.05633,409,24037,0.05397,0.05872
144,144,2000,46-65 y.,Good,0.33468,2564,24037,0.328,0.34161
145,145,2000,46-65 y.,Satisfactory,0.40069,3120,24037,0.39324,0.4091
146,146,2000,46-65 y.,Poor,0.16254,1302,24037,0.15638,0.1662
147,147,2000,46-65 y.,Bad,0.04575,359,24037,0.04344,0.04818
148,148,2000,66 and older,Very good,0.02236,79,24037,0.02021,0.02466
149,149,2000,66 and older,Good,0.17534,651,24037,0.16932,0.18089
150,150,2000,66 and older,Satisfactory,0.45956,1650,24037,0.44909,0.46903
151,151,2000,66 and older,Poor,0.24325,861,24037,0.23613,0.25062
152,152,2000,66 and older,Bad,0.09949,352,24037,0.09587,0.1045
153,153,2001,17-29 y.,Very good,0.27722,1089,21866,0.2663,0.2882
154,154,2001,17-29 y.,Good,0.49852,2069,21866,0.48356,0.51377
155,155,2001,17-29 y.,Satisfactory,0.1729,709,21866,0.16438,0.18081
156,156,2001,17-29 y.,Poor,0.05136,200,21866,0.04543,0.05684
157,157,2001,30-45 y.,Very good,0.12846,890,21866,0.12414,0.13472
158,158,2001,30-45 y.,Good,0.49867,3722,21866,0.48783,0.50841
159,159,2001,30-45 y.,Satisfactory,0.28236,2058,21866,0.27451,0.29218
160,160,2001,30-45 y.,Poor,0.07475,544,21866,0.07029,0.07869
161,161,2001,30-45 y.,Bad,0.01576,107,21866,0.0137,0.01783
162,162,2001,46-65 y.,Very good,0.05797,366,21866,0.05504,0.06139
163,163,2001,46-65 y.,Good,0.3385,2389,21866,0.33053,0.34538
164,164,2001,46-65 y.,Satisfactory,0.38556,2794,21866,0.37601,0.39473
165,165,2001,46-65 y.,Poor,0.17038,1200,21866,0.16456,0.17738
166,166,2001,46-65 y.,Bad,0.04759,331,21866,0.04467,0.05103
167,167,2001,66 and older,Very good,0.02308,74,21866,0.02042,0.02584
168,168,2001,66 and older,Good,0.17442,620,21866,0.1679,0.18063
169,169,2001,66 and older,Satisfactory,0.46364,1577,21866,0.45303,0.47442
170,170,2001,66 and older,Poor,0.24679,815,21866,0.2387,0.25453
171,171,2001,66 and older,Bad,0.09207,312,21866,0.08753,0.09765
172,172,2002,17-29 y.,Very good,0.25091,1037,22957,0.23683,0.26335
173,173,2002,17-29 y.,Good,0.51705,2169,22957,0.49753,0.53485
174,174,2002,17-29 y.,Satisfactory,0.19048,727,22957,0.17933,0.20154
175,175,2002,17-29 y.,Poor,0.04156,170,22957,0.03655,0.04617
176,176,2002,30-45 y.,Very good,0.10916,832,22957,0.10283,0.11521
177,177,2002,30-45 y.,Good,0.49632,3803,22957,0.48458,0.50782
178,178,2002,30-45 y.,Satisfactory,0.29781,2092,22957,0.2876,0.3077
179,179,2002,30-45 y.,Poor,0.08199,595,22957,0.07696,0.08655
180,180,2002,30-45 y.,Bad,0.01473,105,22957,0.01267,0.01713
181,181,2002,46-65 y.,Very good,0.04476,400,22957,0.0405,0.04792
182,182,2002,46-65 y.,Good,0.3374,2817,22957,0.3253,0.34865
183,183,2002,46-65 y.,Satisfactory,0.39883,3075,22957,0.38767,0.40992
184,184,2002,46-65 y.,Poor,0.16992,1244,22957,0.16286,0.17667
185,185,2002,46-65 y.,Bad,0.04909,309,22957,0.04497,0.05357
186,186,2002,66 and older,Very good,0.01999,77,22957,0.01751,0.02244
187,187,2002,66 and older,Good,0.17708,673,22957,0.169,0.18642
188,188,2002,66 and older,Satisfactory,0.45688,1633,22957,0.44606,0.46972
189,189,2002,66 and older,Poor,0.2517,880,22957,0.24164,0.26119
190,190,2002,66 and older,Bad,0.09435,319,22957,0.08892,0.09914
191,191,2003,17-29 y.,Very good,0.22999,938,22103,0.21667,0.24281
192,192,2003,17-29 y.,Good,0.53109,2134,22103,0.51348,0.55018
193,193,2003,17-29 y.,Satisfactory,0.18663,705,22103,0.17292,0.19872
194,194,2003,17-29 y.,Poor,0.05229,195,22103,0.04571,0.05884
195,195,2003,30-45 y.,Very good,0.10957,792,22103,0.10361,0.11593
196,196,2003,30-45 y.,Good,0.51496,3607,22103,0.50007,0.52873
197,197,2003,30-45 y.,Satisfactory,0.28227,1892,22103,0.27342,0.2928
198,198,2003,30-45 y.,Poor,0.07703,526,22103,0.07198,0.08273
199,199,2003,30-45 y.,Bad,0.01618,109,22103,0.01371,0.01872
200,200,2003,46-65 y.,Very good,0.05228,430,22103,0.04762,0.05657
201,201,2003,46-65 y.,Good,0.34365,2766,22103,0.33375,0.35656
202,202,2003,46-65 y.,Satisfactory,0.38064,2851,22103,0.36895,0.39061
203,203,2003,46-65 y.,Poor,0.17406,1220,22103,0.16681,0.18133
204,204,2003,46-65 y.,Bad,0.04938,295,22103,0.04547,0.05306
205,205,2003,66 and older,Very good,0.02288,83,22103,0.02051,0.02619
206,206,2003,66 and older,Good,0.19876,764,22103,0.19143,0.20693
207,207,2003,66 and older,Satisfactory,0.4298,1571,22103,0.41739,0.44175
208,208,2003,66 and older,Poor,0.24914,890,22103,0.24082,0.25813
209,209,2003,66 and older,Bad,0.09942,335,22103,0.09313,0.10574
210,210,2004,17-29 y.,Very good,0.25088,979,21544,0.2375,0.26563
211,211,2004,17-29 y.,Good,0.51793,2117,21544,0.50005,0.53922
212,212,2004,17-29 y.,Satisfactory,0.18335,661,21544,0.16868,0.19821
213,213,2004,17-29 y.,Poor,0.04785,168,21544,0.04157,0.05516
214,214,2004,30-45 y.,Very good,0.12081,752,21544,0.11356,0.13002
215,215,2004,30-45 y.,Good,0.48787,3365,21544,0.47224,0.5005
216,216,2004,30-45 y.,Satisfactory,0.27387,1747,21544,0.26425,0.28482
217,217,2004,30-45 y.,Poor,0.10008,566,21544,0.09419,0.10609
218,218,2004,30-45 y.,Bad,0.01737,93,21544,0.01436,0.02067
219,219,2004,46-65 y.,Very good,0.0504,385,21544,0.04684,0.0552
220,220,2004,46-65 y.,Good,0.34761,2725,21544,0.33499,0.35767
221,221,2004,46-65 y.,Satisfactory,0.3765,2784,21544,0.36424,0.38856
222,222,2004,46-65 y.,Poor,0.1771,1160,21544,0.16823,0.18422
223,223,2004,46-65 y.,Bad,0.04839,300,21544,0.04406,0.05347
224,224,2004,66 and older,Very good,0.02101,81,21544,0.0183,0.02406
225,225,2004,66 and older,Good,0.18643,745,21544,0.1784,0.19673
226,226,2004,66 and older,Satisfactory,0.41561,1593,21544,0.40412,0.42774
227,227,2004,66 and older,Poor,0.2643,938,21544,0.2557,0.27467
228,228,2004,66 and older,Bad,0.11266,385,21544,0.10662,0.12045
229,229,2005,17-29 y.,Very good,0.22887,926,20603,0.21531,0.24385
230,230,2005,17-29 y.,Good,0.51395,1978,20603,0.48767,0.53484
231,231,2005,17-29 y.,Satisfactory,0.20535,719,20603,0.19233,0.22104
232,232,2005,17-29 y.,Poor,0.05182,170,20603,0.04392,0.05916
233,233,2005,30-45 y.,Very good,0.10372,633,20603,0.097,0.11076
234,234,2005,30-45 y.,Good,0.48843,3096,20603,0.47425,0.50456
235,235,2005,30-45 y.,Satisfactory,0.28876,1694,20603,0.27872,0.29968
236,236,2005,30-45 y.,Poor,0.09881,543,20603,0.09133,0.10542
237,237,2005,30-45 y.,Bad,0.02028,100,20603,0.01741,0.02397
238,238,2005,46-65 y.,Very good,0.0431,321,20603,0.03893,0.04751
239,239,2005,46-65 y.,Good,0.33273,2497,20603,0.32001,0.34346
240,240,2005,46-65 y.,Satisfactory,0.39569,2739,20603,0.38223,0.40911
241,241,2005,46-65 y.,Poor,0.182,1147,20603,0.17382,0.19109
242,242,2005,46-65 y.,Bad,0.04648,286,20603,0.04247,0.05033
243,243,2005,66 and older,Very good,0.01795,65,20603,0.01544,0.02033
244,244,2005,66 and older,Good,0.18032,734,20603,0.17086,0.18945
245,245,2005,66 and older,Satisfactory,0.42255,1612,20603,0.40963,0.43734
246,246,2005,66 and older,Poor,0.27054,974,20603,0.26102,0.27975
247,247,2005,66 and older,Bad,0.10864,369,20603,0.10238,0.11538
248,248,2006,17-29 y.,Very good,0.23534,951,22214,0.2214,0.25058
249,249,2006,17-29 y.,Good,0.52121,2114,22214,0.49929,0.54252
250,250,2006,17-29 y.,Satisfactory,0.19255,717,22214,0.17866,0.20728
251,251,2006,17-29 y.,Poor,0.0509,171,22214,0.04445,0.05851
252,252,2006,30-45 y.,Very good,0.10778,657,22214,0.10129,0.11474
253,253,2006,30-45 y.,Good,0.47357,3188,22214,0.46165,0.48999
254,254,2006,30-45 y.,Satisfactory,0.31215,1831,22214,0.30192,0.3264
255,255,2006,30-45 y.,Poor,0.08535,504,22214,0.07987,0.09184
256,256,2006,30-45 y.,Bad,0.02114,93,22214,0.01838,0.0248
257,257,2006,46-65 y.,Very good,0.05211,401,22214,0.04791,0.05653
258,258,2006,46-65 y.,Good,0.34165,2744,22214,0.33051,0.35405
259,259,2006,46-65 y.,Satisfactory,0.38565,2915,22214,0.37222,0.39779
260,260,2006,46-65 y.,Poor,0.169,1177,22214,0.16166,0.17772
261,261,2006,46-65 y.,Bad,0.05158,331,22214,0.04641,0.05581
262,262,2006,66 and older,Very good,0.02246,105,22214,0.02027,0.02488
263,263,2006,66 and older,Good,0.19828,926,22214,0.19065,0.20598
264,264,2006,66 and older,Satisfactory,0.41156,1841,22214,0.39978,0.42466
265,265,2006,66 and older,Poor,0.25551,1099,22214,0.24696,0.26568
266,266,2006,66 and older,Bad,0.11219,449,22214,0.10544,0.1183
267,267,2007,17-29 y.,Very good,0.23649,894,20775,0.2212,0.25214
268,268,2007,17-29 y.,Good,0.5223,1947,20775,0.50028,0.54341
269,269,2007,17-29 y.,Satisfactory,0.20012,704,20775,0.18884,0.21671
270,270,2007,17-29 y.,Poor,0.04109,157,20775,0.03543,0.04729
271,271,2007,30-45 y.,Very good,0.10414,582,20775,0.09749,0.11086
272,272,2007,30-45 y.,Good,0.49549,2960,20775,0.47694,0.5111
273,273,2007,30-45 y.,Satisfactory,0.29206,1596,20775,0.27905,0.3046
274,274,2007,30-45 y.,Poor,0.09173,479,20775,0.08523,0.09805
275,275,2007,30-45 y.,Bad,0.01659,82,20775,0.01402,0.02009
276,276,2007,46-65 y.,Very good,0.03701,311,20775,0.03316,0.04085
277,277,2007,46-65 y.,Good,0.33727,2601,20775,0.32628,0.3499
278,278,2007,46-65 y.,Satisfactory,0.39687,2734,20775,0.38424,0.40947
279,279,2007,46-65 y.,Poor,0.17939,1099,20775,0.17127,0.18782
280,280,2007,46-65 y.,Bad,0.04945,301,20775,0.04473,0.05505
281,281,2007,66 and older,Very good,0.02012,86,20775,0.01758,0.02294
282,282,2007,66 and older,Good,0.19541,923,20775,0.1862,0.20368
283,283,2007,66 and older,Satisfactory,0.42857,1835,20775,0.41373,0.44323
284,284,2007,66 and older,Poor,0.26285,1112,20775,0.25293,0.27318
285,285,2007,66 and older,Bad,0.09305,372,20775,0.0883,0.09779
286,286,2008,17-29 y.,Very good,0.24915,843,19524,0.22927,0.26718
287,287,2008,17-29 y.,Good,0.52176,1754,19524,0.49986,0.54407
288,288,2008,17-29 y.,Satisfactory,0.17275,584,19524,0.15877,0.18956
289,289,2008,17-29 y.,Poor,0.05634,205,19524,0.04766,0.06561
290,290,2008,30-45 y.,Very good,0.10557,538,19524,0.09816,0.11394
291,291,2008,30-45 y.,Good,0.49295,2633,19524,0.47645,0.5104
292,292,2008,30-45 y.,Satisfactory,0.28805,1458,19524,0.27458,0.30116
293,293,2008,30-45 y.,Poor,0.09717,460,19524,0.09018,0.10512
294,294,2008,30-45 y.,Bad,0.01627,79,19524,0.01319,0.01946
295,295,2008,46-65 y.,Very good,0.0452,336,19524,0.04108,0.04942
296,296,2008,46-65 y.,Good,0.34379,2502,19524,0.33214,0.35585
297,297,2008,46-65 y.,Satisfactory,0.38555,2493,19524,0.3726,0.39839
298,298,2008,46-65 y.,Poor,0.17636,1077,19524,0.16861,0.18462
299,299,2008,46-65 y.,Bad,0.04911,276,19524,0.04374,0.05394
300,300,2008,66 and older,Very good,0.01962,78,19524,0.0165,0.02314
301,301,2008,66 and older,Good,0.19844,946,19524,0.18872,0.20793
302,302,2008,66 and older,Satisfactory,0.44601,1870,19524,0.43491,0.46218
303,303,2008,66 and older,Poor,0.24606,1036,19524,0.23658,0.25752
304,304,2008,66 and older,Bad,0.08987,356,19524,0.08409,0.09569
305,305,2009,17-29 y.,Very good,0.22406,725,18193,0.20595,0.24034
306,306,2009,17-29 y.,Good,0.53281,1631,18193,0.50817,0.56055
307,307,2009,17-29 y.,Satisfactory,0.19017,553,18193,0.17524,0.20716
308,308,2009,17-29 y.,Poor,0.05296,157,18193,0.04408,0.0641
309,309,2009,30-45 y.,Very good,0.10385,446,18193,0.09352,0.11321
310,310,2009,30-45 y.,Good,0.48091,2395,18193,0.45785,0.49767
311,311,2009,30-45 y.,Satisfactory,0.31288,1389,18193,0.29775,0.32935
312,312,2009,30-45 y.,Poor,0.08963,381,18193,0.08088,0.09945
313,313,2009,30-45 y.,Bad,0.01273,58,18193,0.01025,0.01581
314,314,2009,46-65 y.,Very good,0.04596,300,18193,0.04081,0.05263
315,315,2009,46-65 y.,Good,0.32369,2253,18193,0.31051,0.34009
316,316,2009,46-65 y.,Satisfactory,0.40615,2476,18193,0.39053,0.42122
317,317,2009,46-65 y.,Poor,0.17586,1026,18193,0.16585,0.18419
318,318,2009,46-65 y.,Bad,0.04834,255,18193,0.04349,0.05444
319,319,2009,66 and older,Very good,0.01831,89,18193,0.01467,0.02209
320,320,2009,66 and older,Good,0.19524,867,18193,0.18693,0.20606
321,321,2009,66 and older,Satisfactory,0.44939,1844,18193,0.43476,0.46365
322,322,2009,66 and older,Poor,0.24607,989,18193,0.23424,0.25587
323,323,2009,66 and older,Bad,0.09099,359,18193,0.08603,0.09684
324,324,2010,17-29 y.,Very good,0.24692,1095,24306,0.22954,0.26904
325,325,2010,17-29 y.,Good,0.49799,2055,24306,0.47362,0.53085
326,326,2010,17-29 y.,Satisfactory,0.19835,830,24306,0.1794,0.21473
327,327,2010,17-29 y.,Poor,0.05026,257,24306,0.04289,0.0601
328,328,2010,17-29 y.,Bad,0.00648,40,24306,0.00466,0.00903
329,329,2010,30-45 y.,Very good,0.12837,1382,24306,0.1178,0.1425
330,330,2010,30-45 y.,Good,0.46558,4388,24306,0.44591,0.48535
331,331,2010,30-45 y.,Satisfactory,0.2902,2331,24306,0.27387,0.3087
332,332,2010,30-45 y.,Poor,0.09718,812,24306,0.08846,0.10871
333,333,2010,30-45 y.,Bad,0.01866,154,24306,0.01397,0.0244
334,334,2010,46-65 y.,Very good,0.04666,404,24306,0.04108,0.05199
335,335,2010,46-65 y.,Good,0.3522,2609,24306,0.33898,0.3691
336,336,2010,46-65 y.,Satisfactory,0.37123,2528,24306,0.35755,0.38541
337,337,2010,46-65 y.,Poor,0.17499,1099,24306,0.16544,0.18565
338,338,2010,46-65 y.,Bad,0.05492,303,24306,0.04805,0.06211
339,339,2010,66 and older,Very good,0.02398,94,24306,0.01969,0.02783
340,340,2010,66 and older,Good,0.19864,876,24306,0.1869,0.21155
341,341,2010,66 and older,Satisfactory,0.43717,1761,24306,0.41968,0.45291
342,342,2010,66 and older,Poor,0.25211,956,24306,0.23799,0.26277
343,343,2010,66 and older,Bad,0.0881,332,24306,0.0813,0.09366
344,344,2011,17-29 y.,Very good,0.26389,1234,28868,0.24821,0.2844
345,345,2011,17-29 y.,Good,0.4822,2274,28868,0.45538,0.50721
346,346,2011,17-29 y.,Satisfactory,0.19466,876,28868,0.17938,0.21065
347,347,2011,17-29 y.,Poor,0.05258,268,28868,0.04659,0.05988
348,348,2011,17-29 y.,Bad,0.00667,42,28868,0.00491,0.00899
349,349,2011,30-45 y.,Very good,0.13687,1354,28868,0.12831,0.1468
350,350,2011,30-45 y.,Good,0.48311,4859,28868,0.4619,0.50051
351,351,2011,30-45 y.,Satisfactory,0.26723,2556,28868,0.25084,0.28205
352,352,2011,30-45 y.,Poor,0.0916,958,28868,0.08317,0.09954
353,353,2011,30-45 y.,Bad,0.0212,196,28868,0.01773,0.02552
354,354,2011,46-65 y.,Very good,0.05256,570,28868,0.04822,0.05651
355,355,2011,46-65 y.,Good,0.34917,3379,28868,0.33659,0.3629
356,356,2011,46-65 y.,Satisfactory,0.37471,3320,28868,0.36289,0.38817
357,357,2011,46-65 y.,Poor,0.1767,1446,28868,0.16623,0.18602
358,358,2011,46-65 y.,Bad,0.04686,404,28868,0.04298,0.05156
359,359,2011,66 and older,Very good,0.02434,150,28868,0.02131,0.02714
360,360,2011,66 and older,Good,0.23178,1279,28868,0.22252,0.24113
361,361,2011,66 and older,Satisfactory,0.40922,2125,28868,0.39756,0.42097
362,362,2011,66 and older,Poor,0.24824,1179,28868,0.23782,0.25931
