,Unnamed: 0,year,pgisced97,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
89,89,1995,Second Stage of Tertiary Education,Bad,0.01695,36,12912,0.01407,0.02034
90,90,1996,Pre-primary Level,Very good,0.34726,96,12708,0.30292,0.3999
91,91,1996,Pre-primary Level,Good,0.47318,133,12708,0.42427,0.51786
92,92,1996,Pre-primary Level,Satisfactory,0.17955,48,12708,0.15057,0.20533
93,93,1996,Primary Level,Very good,0.07694,36,12708,0.05733,0.09911
94,94,1996,Primary Level,Good,0.30823,149,12708,0.26951,0.3579
95,95,1996,Primary Level,Satisfactory,0.34596,172,12708,0.30348,0.40242
96,96,1996,Primary Level,Poor,0.17218,97,12708,0.14362,0.19963
97,97,1996,Primary Level,Bad,0.09669,36,12708,0.06639,0.13747
98,98,1996,Lower Secondary Level,Very good,0.06203,209,12708,0.05492,0.07027
99,99,1996,Lower Secondary Level,Good,0.2915,808,12708,0.27537,0.30756
100,100,1996,Lower Secondary Level,Satisfactory,0.37121,817,12708,0.35187,0.39173
101,101,1996,Lower Secondary Level,Poor,0.20491,412,12708,0.18963,0.21947
102,102,1996,Lower Secondary Level,Bad,0.07034,135,12708,0.06084,0.07872
103,103,1996,Upper Secondary Level,Very good,0.07789,613,12708,0.07352,0.08328
104,104,1996,Upper Secondary Level,Good,0.36863,2637,12708,0.35558,0.38112
105,105,1996,Upper Secondary Level,Satisfactory,0.37429,2318,12708,0.36431,0.3857
106,106,1996,Upper Secondary Level,Poor,0.14076,829,12708,0.13438,0.14759
107,107,1996,Upper Secondary Level,Bad,0.03844,205,12708,0.03447,0.04211
108,108,1996,Post-secondary Non-tertiary Level,Very good,0.11981,56,12708,0.09479,0.14199
109,109,1996,Post-secondary Non-tertiary Level,Good,0.53797,243,12708,0.48823,0.58991
110,110,1996,Post-secondary Non-tertiary Level,Satisfactory,0.25309,123,12708,0.21482,0.29005
111,111,1996,Post-secondary Non-tertiary Level,Poor,0.08912,38,12708,0.06836,0.11281
112,112,1996,First Stage of Tertiary Education,Very good,0.09011,78,12708,0.07663,0.1068
113,113,1996,First Stage of Tertiary Education,Good,0.38784,314,12708,0.35677,0.41971
114,114,1996,First Stage of Tertiary Education,Satisfactory,0.36995,259,12708,0.34002,0.4021
115,115,1996,First Stage of Tertiary Education,Poor,0.1521,85,12708,0.12826,0.17375
116,116,1996,Second Stage of Tertiary Education,Very good,0.09137,159,12708,0.08033,0.1027
117,117,1996,Second Stage of Tertiary Education,Good,0.47487,834,12708,0.45186,0.50241
118,118,1996,Second Stage of Tertiary Education,Satisfactory,0.30712,552,12708,0.29083,0.32773
119,119,1996,Second Stage of Tertiary Education,Poor,0.10402,183,12708,0.09458,0.11347
120,120,1996,Second Stage of Tertiary Education,Bad,0.02263,34,12708,0.01813,0.02807
121,121,1997,Pre-primary Level,Very good,0.36374,107,12450,0.31256,0.42274
122,122,1997,Pre-primary Level,Good,0.48612,149,12450,0.43064,0.53792
123,123,1997,Pre-primary Level,Satisfactory,0.15013,45,12450,0.12142,0.17749
124,124,1997,Primary Level,Good,0.37495,159,12450,0.33016,0.43518
125,125,1997,Primary Level,Satisfactory,0.32308,153,12450,0.2764,0.37461
126,126,1997,Primary Level,Poor,0.22779,92,12450,0.18299,0.26991
127,127,1997,Primary Level,Bad,0.07418,35,12450,0.05869,0.09635
128,128,1997,Lower Secondary Level,Very good,0.06212,195,12450,0.05438,0.07063
129,129,1997,Lower Secondary Level,Good,0.28396,814,12450,0.26882,0.29867
130,130,1997,Lower Secondary Level,Satisfactory,0.3775,790,12450,0.35316,0.39579
131,131,1997,Lower Secondary Level,Poor,0.21037,405,12450,0.19658,0.22616
132,132,1997,Lower Secondary Level,Bad,0.06605,117,12450,0.05798,0.07586
133,133,1997,Upper Secondary Level,Very good,0.07786,546,12450,0.07272,0.08314
134,134,1997,Upper Secondary Level,Good,0.3815,2759,12450,0.37062,0.393
135,135,1997,Upper Secondary Level,Satisfactory,0.36151,2161,12450,0.34934,0.37432
136,136,1997,Upper Secondary Level,Poor,0.13421,770,12450,0.12711,0.14127
137,137,1997,Upper Secondary Level,Bad,0.04492,238,12450,0.04083,0.04942
138,138,1997,Post-secondary Non-tertiary Level,Very good,0.13124,50,12450,0.10262,0.16003
139,139,1997,Post-secondary Non-tertiary Level,Good,0.50878,233,12450,0.45769,0.56578
140,140,1997,Post-secondary Non-tertiary Level,Satisfactory,0.28562,126,12450,0.2487,0.32501
141,141,1997,Post-secondary Non-tertiary Level,Poor,0.07436,35,12450,0.06184,0.08964
142,142,1997,First Stage of Tertiary Education,Very good,0.07297,60,12450,0.0585,0.0891
143,143,1997,First Stage of Tertiary Education,Good,0.39649,318,12450,0.36437,0.4386
144,144,1997,First Stage of Tertiary Education,Satisfactory,0.3985,268,12450,0.35941,0.43209
145,145,1997,First Stage of Tertiary Education,Poor,0.13204,88,12450,0.1147,0.14862
146,146,1997,Second Stage of Tertiary Education,Very good,0.08873,143,12450,0.07715,0.10019
147,147,1997,Second Stage of Tertiary Education,Good,0.48312,867,12450,0.45809,0.50995
148,148,1997,Second Stage of Tertiary Education,Satisfactory,0.32248,558,12450,0.30407,0.33971
149,149,1997,Second Stage of Tertiary Education,Poor,0.10568,169,12450,0.09313,0.11699
150,150,1998,Pre-primary Level,Very good,0.41035,117,13538,0.35777,0.46227
151,151,1998,Pre-primary Level,Good,0.47243,164,13538,0.42414,0.51641
152,152,1998,Pre-primary Level,Satisfactory,0.11721,35,13538,0.09216,0.14678
153,153,1998,Primary Level,Good,0.35264,159,13538,0.31096,0.39774
154,154,1998,Primary Level,Satisfactory,0.34724,141,13538,0.30054,0.40605
155,155,1998,Primary Level,Poor,0.19868,90,13538,0.17197,0.23263
156,156,1998,Primary Level,Bad,0.10144,35,13538,0.07695,0.13577
157,157,1998,Lower Secondary Level,Very good,0.08578,268,13538,0.07861,0.09484
158,158,1998,Lower Secondary Level,Good,0.30993,907,13538,0.29478,0.32319
159,159,1998,Lower Secondary Level,Satisfactory,0.3588,833,13538,0.34216,0.37446
160,160,1998,Lower Secondary Level,Poor,0.1753,387,13538,0.16434,0.18644
161,161,1998,Lower Secondary Level,Bad,0.07019,137,13538,0.0619,0.07751
162,162,1998,Upper Secondary Level,Very good,0.08457,651,13538,0.07997,0.08917
163,163,1998,Upper Secondary Level,Good,0.40043,3012,13538,0.38907,0.41119
164,164,1998,Upper Secondary Level,Satisfactory,0.33766,2266,13538,0.32938,0.34713
165,165,1998,Upper Secondary Level,Poor,0.13779,846,13538,0.13206,0.14403
166,166,1998,Upper Secondary Level,Bad,0.03956,234,13538,0.03587,0.04348
167,167,1998,Post-secondary Non-tertiary Level,Very good,0.10732,55,13538,0.0905,0.12545
168,168,1998,Post-secondary Non-tertiary Level,Good,0.5596,282,13538,0.50948,0.60898
169,169,1998,Post-secondary Non-tertiary Level,Satisfactory,0.25616,119,13538,0.22245,0.29405
170,170,1998,Post-secondary Non-tertiary Level,Poor,0.07692,41,13538,0.06163,0.09395
171,171,1998,First Stage of Tertiary Education,Very good,0.1116,82,13538,0.09696,0.12772
172,172,1998,First Stage of Tertiary Education,Good,0.40448,347,13538,0.37063,0.4357
173,173,1998,First Stage of Tertiary Education,Satisfactory,0.35657,274,13538,0.32571,0.38568
174,174,1998,First Stage of Tertiary Education,Poor,0.12734,93,13538,0.11133,0.14403
175,175,1998,Second Stage of Tertiary Education,Very good,0.11477,195,13538,0.10418,0.12695
176,176,1998,Second Stage of Tertiary Education,Good,0.46759,956,13538,0.4451,0.49238
177,177,1998,Second Stage of Tertiary Education,Satisfactory,0.28631,580,13538,0.26936,0.30289
178,178,1998,Second Stage of Tertiary Education,Poor,0.10406,185,13538,0.09329,0.11483
179,179,1998,Second Stage of Tertiary Education,Bad,0.02726,47,13538,0.02301,0.03267
180,180,1999,Pre-primary Level,Very good,0.34898,95,13287,0.30515,0.39867
181,181,1999,Pre-primary Level,Good,0.49873,161,13287,0.437,0.5483
182,182,1999,Pre-primary Level,Satisfactory,0.15229,46,13287,0.12298,0.17409
183,183,1999,Primary Level,Good,0.34453,145,13287,0.3036,0.40762
184,184,1999,Primary Level,Satisfactory,0.35969,138,13287,0.31209,0.40256
185,185,1999,Primary Level,Poor,0.21089,79,13287,0.16518,0.26007
186,186,1999,Primary Level,Bad,0.08488,36,13287,0.06586,0.10277
187,187,1999,Lower Secondary Level,Very good,0.08006,239,13287,0.07263,0.08942
188,188,1999,Lower Secondary Level,Good,0.29485,848,13287,0.28071,0.30949
189,189,1999,Lower Secondary Level,Satisfactory,0.36391,812,13287,0.34705,0.3804
190,190,1999,Lower Secondary Level,Poor,0.18875,405,13287,0.17638,0.20171
191,191,1999,Lower Secondary Level,Bad,0.07244,127,13287,0.06447,0.08024
192,192,1999,Upper Secondary Level,Very good,0.07555,560,13287,0.07072,0.08068
193,193,1999,Upper Secondary Level,Good,0.3924,2909,13287,0.38245,0.40454
194,194,1999,Upper Secondary Level,Satisfactory,0.34904,2348,13287,0.33936,0.35763
195,195,1999,Upper Secondary Level,Poor,0.14295,870,13287,0.13581,0.1502
196,196,1999,Upper Secondary Level,Bad,0.04008,231,13287,0.03669,0.0437
197,197,1999,Post-secondary Non-tertiary Level,Very good,0.16125,70,13287,0.13502,0.18921
198,198,1999,Post-secondary Non-tertiary Level,Good,0.49012,251,13287,0.44734,0.54036
199,199,1999,Post-secondary Non-tertiary Level,Satisfactory,0.25269,131,13287,0.218,0.2894
200,200,1999,Post-secondary Non-tertiary Level,Poor,0.09595,41,13287,0.07305,0.11795
201,201,1999,First Stage of Tertiary Education,Very good,0.09077,67,13287,0.07345,0.1091
202,202,1999,First Stage of Tertiary Education,Good,0.41408,340,13287,0.38449,0.44754
203,203,1999,First Stage of Tertiary Education,Satisfactory,0.34957,289,13287,0.32296,0.38286
204,204,1999,First Stage of Tertiary Education,Poor,0.14558,95,13287,0.12655,0.16572
205,205,1999,Second Stage of Tertiary Education,Very good,0.09759,188,13287,0.08742,0.10849
206,206,1999,Second Stage of Tertiary Education,Good,0.45868,904,13287,0.43669,0.48274
207,207,1999,Second Stage of Tertiary Education,Satisfactory,0.31418,626,13287,0.29567,0.33472
208,208,1999,Second Stage of Tertiary Education,Poor,0.09603,181,13287,0.0857,0.10575
209,209,1999,Second Stage of Tertiary Education,Bad,0.03351,55,13287,0.02838,0.03888
210,210,2000,Pre-primary Level,Very good,0.39419,187,23971,0.36721,0.42667
211,211,2000,Pre-primary Level,Good,0.47118,219,23971,0.43733,0.51379
212,212,2000,Pre-primary Level,Satisfactory,0.13463,69,23971,0.11586,0.15321
213,213,2000,Primary Level,Good,0.33207,129,23971,0.30564,0.35855
214,214,2000,Primary Level,Satisfactory,0.35002,134,23971,0.31877,0.38115
215,215,2000,Primary Level,Poor,0.22134,89,23971,0.19442,0.24901
216,216,2000,Primary Level,Bad,0.09656,31,23971,0.07835,0.11564
217,217,2000,Lower Secondary Level,Very good,0.09078,348,23971,0.08489,0.09603
218,218,2000,Lower Secondary Level,Good,0.2918,1169,23971,0.28207,0.30254
219,219,2000,Lower Secondary Level,Satisfactory,0.35728,1192,23971,0.34441,0.36892
220,220,2000,Lower Secondary Level,Poor,0.18987,615,23971,0.1804,0.19731
221,221,2000,Lower Secondary Level,Bad,0.07027,223,23971,0.06596,0.07501
222,222,2000,Upper Secondary Level,Very good,0.10012,1283,23971,0.09676,0.10286
223,223,2000,Upper Secondary Level,Good,0.37909,5129,23971,0.37362,0.38596
224,224,2000,Upper Secondary Level,Satisfactory,0.35078,4336,23971,0.34488,0.35643
225,225,2000,Upper Secondary Level,Poor,0.13126,1589,23971,0.12757,0.13502
226,226,2000,Upper Secondary Level,Bad,0.03876,438,23971,0.03719,0.04068
227,227,2000,Post-secondary Non-tertiary Level,Very good,0.14743,160,23971,0.13496,0.16004
228,228,2000,Post-secondary Non-tertiary Level,Good,0.46367,530,23971,0.44362,0.49027
229,229,2000,Post-secondary Non-tertiary Level,Satisfactory,0.26571,283,23971,0.24743,0.28284
230,230,2000,Post-secondary Non-tertiary Level,Poor,0.12319,123,23971,0.11138,0.13939
231,231,2000,First Stage of Tertiary Education,Very good,0.09117,185,23971,0.08452,0.09912
232,232,2000,First Stage of Tertiary Education,Good,0.39845,785,23971,0.38244,0.41706
233,233,2000,First Stage of Tertiary Education,Satisfactory,0.35677,652,23971,0.34308,0.3731
234,234,2000,First Stage of Tertiary Education,Poor,0.12012,206,23971,0.1115,0.13072
235,235,2000,First Stage of Tertiary Education,Bad,0.03349,55,23971,0.02825,0.03801
236,236,2000,Second Stage of Tertiary Education,Very good,0.13493,489,23971,0.1283,0.14179
237,237,2000,Second Stage of Tertiary Education,Good,0.44763,1780,23971,0.43543,0.461
238,238,2000,Second Stage of Tertiary Education,Satisfactory,0.30483,1131,23971,0.29389,0.31723
239,239,2000,Second Stage of Tertiary Education,Poor,0.09113,340,23971,0.08521,0.09718
240,240,2000,Second Stage of Tertiary Education,Bad,0.02149,72,23971,0.01873,0.02427
241,241,2001,Pre-primary Level,Very good,0.42353,217,21689,0.39751,0.45241
242,242,2001,Pre-primary Level,Good,0.4559,235,21689,0.41794,0.49652
243,243,2001,Pre-primary Level,Satisfactory,0.12057,65,21689,0.10689,0.13654
244,244,2001,Primary Level,Good,0.30281,86,21689,0.2605,0.3538
245,245,2001,Primary Level,Satisfactory,0.35932,101,21689,0.3255,0.40552
246,246,2001,Primary Level,Poor,0.33788,84,21689,0.27812,0.40052
247,247,2001,Lower Secondary Level,Very good,0.09863,338,21689,0.0921,0.10538
248,248,2001,Lower Secondary Level,Good,0.29397,1007,21689,0.28196,0.3059
249,249,2001,Lower Secondary Level,Satisfactory,0.36154,1055,21689,0.34742,0.37441
250,250,2001,Lower Secondary Level,Poor,0.18488,515,21689,0.17542,0.19394
251,251,2001,Lower Secondary Level,Bad,0.06098,162,21689,0.05595,0.06685
252,252,2001,Upper Secondary Level,Very good,0.0946,1114,21689,0.09054,0.09832
253,253,2001,Upper Secondary Level,Good,0.38273,4641,21689,0.37558,0.38998
254,254,2001,Upper Secondary Level,Satisfactory,0.34481,3896,21689,0.33831,0.35121
255,255,2001,Upper Secondary Level,Poor,0.1363,1478,21689,0.13161,0.14102
256,256,2001,Upper Secondary Level,Bad,0.04156,432,21689,0.03928,0.04396
257,257,2001,Post-secondary Non-tertiary Level,Very good,0.14489,144,21689,0.13085,0.16026
258,258,2001,Post-secondary Non-tertiary Level,Good,0.42568,478,21689,0.40086,0.45047
259,259,2001,Post-secondary Non-tertiary Level,Satisfactory,0.32004,322,21689,0.29638,0.34304
260,260,2001,Post-secondary Non-tertiary Level,Poor,0.10938,102,21689,0.09619,0.12158
261,261,2001,First Stage of Tertiary Education,Very good,0.08436,156,21689,0.07697,0.09317
262,262,2001,First Stage of Tertiary Education,Good,0.38274,680,21689,0.36536,0.4027
263,263,2001,First Stage of Tertiary Education,Satisfactory,0.36307,589,21689,0.34477,0.38482
264,264,2001,First Stage of Tertiary Education,Poor,0.1317,194,21689,0.12107,0.14403
265,265,2001,First Stage of Tertiary Education,Bad,0.03813,55,21689,0.03228,0.04512
266,266,2001,Second Stage of Tertiary Education,Very good,0.12899,401,21689,0.12035,0.13643
267,267,2001,Second Stage of Tertiary Education,Good,0.43782,1620,21689,0.42535,0.45241
268,268,2001,Second Stage of Tertiary Education,Satisfactory,0.30089,1093,21689,0.29054,0.31328
269,269,2001,Second Stage of Tertiary Education,Poor,0.10654,348,21689,0.09854,0.11271
270,270,2001,Second Stage of Tertiary Education,Bad,0.02576,81,21689,0.0225,0.02946
271,271,2002,Pre-primary Level,Very good,0.39633,226,22719,0.36444,0.43302
272,272,2002,Pre-primary Level,Good,0.45169,288,22719,0.40445,0.4976
273,273,2002,Pre-primary Level,Satisfactory,0.15198,81,22719,0.12775,0.18476
274,274,2002,Primary Level,Good,0.28776,73,22719,0.24491,0.33665
275,275,2002,Primary Level,Satisfactory,0.43178,96,22719,0.378,0.49606
276,276,2002,Primary Level,Poor,0.28047,75,22719,0.23521,0.33084
277,277,2002,Lower Secondary Level,Very good,0.08205,266,22719,0.07426,0.08909
278,278,2002,Lower Secondary Level,Good,0.30385,964,22719,0.28943,0.31802
279,279,2002,Lower Secondary Level,Satisfactory,0.36036,967,22719,0.34634,0.37381
280,280,2002,Lower Secondary Level,Poor,0.18718,517,22719,0.17693,0.19762
281,281,2002,Lower Secondary Level,Bad,0.06655,170,22719,0.06069,0.07271
282,282,2002,Upper Secondary Level,Very good,0.08159,1024,22719,0.07762,0.08551
283,283,2002,Upper Secondary Level,Good,0.37554,4604,22719,0.36706,0.38448
284,284,2002,Upper Secondary Level,Satisfactory,0.35987,3997,22719,0.35319,0.3669
285,285,2002,Upper Secondary Level,Poor,0.13986,1516,22719,0.13543,0.14478
286,286,2002,Upper Secondary Level,Bad,0.04313,420,22719,0.04117,0.04535
287,287,2002,Post-secondary Non-tertiary Level,Very good,0.14258,153,22719,0.12626,0.15852
288,288,2002,Post-secondary Non-tertiary Level,Good,0.43236,541,22719,0.40186,0.46037
289,289,2002,Post-secondary Non-tertiary Level,Satisfactory,0.29987,338,22719,0.2737,0.32183
290,290,2002,Post-secondary Non-tertiary Level,Poor,0.12519,110,22719,0.10881,0.13775
291,291,2002,First Stage of Tertiary Education,Very good,0.0657,133,22719,0.05704,0.07554
292,292,2002,First Stage of Tertiary Education,Good,0.39565,740,22719,0.36658,0.42012
293,293,2002,First Stage of Tertiary Education,Satisfactory,0.35795,599,22719,0.33622,0.38267
294,294,2002,First Stage of Tertiary Education,Poor,0.1447,221,22719,0.13031,0.15862
295,295,2002,First Stage of Tertiary Education,Bad,0.036,50,22719,0.0291,0.04373
296,296,2002,Second Stage of Tertiary Education,Very good,0.09599,483,22719,0.08697,0.10373
297,297,2002,Second Stage of Tertiary Education,Good,0.45233,2171,22719,0.43238,0.47009
298,298,2002,Second Stage of Tertiary Education,Satisfactory,0.32629,1407,22719,0.31429,0.33983
299,299,2002,Second Stage of Tertiary Education,Poor,0.10267,418,22719,0.09417,0.11067
300,300,2002,Second Stage of Tertiary Education,Bad,0.02273,71,22719,0.01874,0.02674
301,301,2003,Pre-primary Level,Very good,0.37126,214,21808,0.33082,0.41438
302,302,2003,Pre-primary Level,Good,0.51213,293,21808,0.46388,0.57151
303,303,2003,Pre-primary Level,Satisfactory,0.1166,87,21808,0.09829,0.13919
304,304,2003,Primary Level,Good,0.25995,67,21808,0.21376,0.29885
305,305,2003,Primary Level,Satisfactory,0.43319,95,21808,0.37094,0.49792
306,306,2003,Primary Level,Poor,0.30686,67,21808,0.24422,0.35896
307,307,2003,Lower Secondary Level,Very good,0.08492,247,21808,0.07715,0.0923
308,308,2003,Lower Secondary Level,Good,0.30986,924,21808,0.29592,0.32426
309,309,2003,Lower Secondary Level,Satisfactory,0.33545,898,21808,0.32202,0.35084
310,310,2003,Lower Secondary Level,Poor,0.20309,500,21808,0.19231,0.21537
311,311,2003,Lower Secondary Level,Bad,0.06668,163,21808,0.06022,0.07122
312,312,2003,Upper Secondary Level,Very good,0.07806,935,21808,0.07446,0.08246
313,313,2003,Upper Secondary Level,Good,0.39087,4542,21808,0.38157,0.4004
314,314,2003,Upper Secondary Level,Satisfactory,0.3448,3711,21808,0.33691,0.35183
315,315,2003,Upper Secondary Level,Poor,0.14153,1488,21808,0.13679,0.14591
316,316,2003,Upper Secondary Level,Bad,0.04474,409,21808,0.04188,0.04724
317,317,2003,Post-secondary Non-tertiary Level,Very good,0.11436,137,21808,0.09721,0.13028
318,318,2003,Post-secondary Non-tertiary Level,Good,0.47177,564,21808,0.44012,0.50061
319,319,2003,Post-secondary Non-tertiary Level,Satisfactory,0.29445,312,21808,0.26956,0.32309
320,320,2003,Post-secondary Non-tertiary Level,Poor,0.11943,124,21808,0.10263,0.13419
321,321,2003,First Stage of Tertiary Education,Very good,0.07204,132,21808,0.06225,0.08263
322,322,2003,First Stage of Tertiary Education,Good,0.39145,700,21808,0.3687,0.41507
323,323,2003,First Stage of Tertiary Education,Satisfactory,0.36771,611,21808,0.34483,0.38986
324,324,2003,First Stage of Tertiary Education,Poor,0.12517,183,21808,0.11337,0.1385
