year,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,Poor,0.15336,2834,20628,0.15328,0.15345
2005,Bad,0.04525,780,20628,0.04520,0.04530
2006,Very good,0.09417,2114,22235,0.09410,0.09424
2006,Good,0.37906,8972,22235,0.37895,0.37918
2006,Satisfactory,0.33544,7304,22235,0.33533,0.33555
2006,Poor,0.14313,2951,22235,0.14305,0.14322
2006,Bad,0.04819,894,22235,0.04814,0.04824
2007,Very good,0.08765,1873,20798,0.08759,0.08772
2007,Good,0.38167,8431,20798,0.38156,0.38179
2007,Satisfactory,0.33905,6869,20798,0.33894,0.33916
2007,Poor,0.14897,2847,20798,0.14888,0.14905
2007,Bad,0.04266,778,20798,0.04261,0.04270
2008,Very good,0.09227,1795,19542,0.09220,0.09234
2008,Good,0.38247,7835,19542,0.38235,0.38258
2008,Satisfactory,0.33459,6405,19542,0.33448,0.33470
2008,Poor,0.14930,2778,19542,0.14921,0.14938
2008,Bad,0.04138,729,19542,0.04133,0.04142
2009,Very good,0.08667,1560,18212,0.08661,0.08674
2009,Good,0.37242,7146,18212,0.37230,0.37253
2009,Satisfactory,0.35214,6262,18212,0.35203,0.35225
2009,Poor,0.14704,2553,18212,0.14695,0.14712
2009,Bad,0.04174,691,18212,0.04169,0.04178
2010,Very good,0.09769,2975,24306,0.09762,0.09776
2010,Good,0.37101,9928,24306,0.37089,0.37112
2010,Satisfactory,0.33540,7450,24306,0.33529,0.33551
2010,Poor,0.15108,3124,24306,0.15100,0.15116
2010,Bad,0.04482,829,24306,0.04477,0.04487
2011,Very good,0.10373,3308,28868,0.10366,0.10381
2011,Good,0.37823,11791,28868,0.37811,0.37834
2011,Satisfactory,0.32454,8877,28868,0.32442,0.32465
2011,Poor,0.15068,3851,28868,0.15060,0.15077
2011,Bad,0.04282,1041,28868,0.04277,0.04287
2012,Very good,0.10205,3059,28140,0.10198,0.10212
2012,Good,0.38285,11651,28140,0.38274,0.38297
2012,Satisfactory,0.33348,8846,28140,0.33337,0.33359
2012,Poor,0.14278,3628,28140,0.14269,0.14286
2012,Bad,0.03884,956,28140,0.03879,0.03888
2013,Very good,0.10821,3987,31155,0.10814,0.10829
2013,Good,0.37186,12486,31155,0.37175,0.37198
2013,Satisfactory,0.32858,9450,31155,0.32847,0.32869
2013,Poor,0.14820,4141,31155,0.14811,0.14828
2013,Bad,0.04314,1091,31155,0.04310,0.04319
2014,Very good,0.10294,3040,27627,0.10287,0.10301
2014,Good,0.37377,11117,27627,0.37365,0.37388
2014,Satisfactory,0.32880,8688,27627,0.32869,0.32891
2014,Poor,0.15509,3841,27627,0.15500,0.15517
2014,Bad,0.03941,941,27627,0.03936,0.03945
2015,Very good,0.10401,3228,27304,0.10394,0.10409
2015,Good,0.37634,11016,27304,0.37623,0.37646
2015,Satisfactory,0.32641,8459,27304,0.32629,0.32652
2015,Poor,0.15179,3717,27304,0.15171,0.15188
2015,Bad,0.04144,884,27304,0.04140,0.04149
2016,Very good,0.09706,3859,27758,0.09699,0.09713
2016,Good,0.38372,10890,27758,0.38361,0.38384
2016,Satisfactory,0.32538,8272,27758,0.32527,0.32549
2016,Poor,0.15375,3765,27758,0.15367,0.15384
2016,Bad,0.04009,972,27758,0.04004,0.04013
2017,Very good,0.10383,4587,31098,0.10376,0.10390
2017,Good,0.37686,12225,31098,0.37674,0.37697
2017,Satisfactory,0.33071,9268,31098,0.33060,0.33082
2017,Poor,0.15180,4048,31098,0.15171,0.15188
2017,Bad,0.03680,970,31098,0.03676,0.03685
2018,Very good,0.10708,4554,29749,0.10701,0.10715
2018,Good,0.37837,11509,29749,0.37825,0.37848
2018,Satisfactory,0.33194,8920,29749,0.33183,0.33205
2018,Poor,0.14557,3800,29749,0.14549,0.14566
2018,Bad,0.03704,966,29749,0.03700,0.03709
2019,Very good,0.10433,4385,29537,0.10426,0.10440
2019,Good,0.38973,11928,29537,0.38961,0.38984
2019,Satisfactory,0.32291,8641,29537,0.32280,0.32302
2019,Poor,0.14764,3697,29537,0.14755,0.14772
2019,Bad,0.03540,886,29537,0.03535,0.03544
2020,Very good,0.11392,5174,29855,0.11384,0.11399
2020,Good,0.38476,12250,29855,0.38465,0.38488
2020,Satisfactory,0.32339,8149,29855,0.32328,0.32350
2020,Poor,0.14316,3456,29855,0.14308,0.14324
2020,Bad,0.03476,826,29855,0.03472,0.03481
2021,Very good,0.12467,3219,19911,0.12459,0.12474
2021,Good,0.37331,7932,19911,0.37319,0.37342
2021,Satisfactory,0.31357,5528,19911,0.31347,0.31368
2021,Poor,0.14873,2548,19911,0.14864,0.14881
2021,Bad,0.03973,684,19911,0.03968,0.03977
