,Unnamed: 0,year,regtyp,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
105,105,2003,Rural regions,Very good,0.08136,633,22127,0.07598,0.08757
106,106,2003,Rural regions,Good,0.39183,3092,22127,0.38025,0.4018
107,107,2003,Rural regions,Satisfactory,0.34909,2503,22127,0.33895,0.35899
108,108,2003,Rural regions,Poor,0.13479,923,22127,0.12898,0.14058
109,109,2003,Rural regions,Bad,0.04295,268,22127,0.03975,0.04633
110,110,2004,Urban regions,Very good,0.1019,1557,21571,0.0981,0.10706
111,111,2004,Urban regions,Good,0.37969,5966,21571,0.37154,0.38799
112,112,2004,Urban regions,Satisfactory,0.31311,4349,21571,0.30488,0.32038
113,113,2004,Urban regions,Poor,0.15512,1900,21571,0.1494,0.16027
114,114,2004,Urban regions,Bad,0.05018,552,21571,0.0475,0.05328
115,115,2004,Rural regions,Very good,0.08885,640,21571,0.08158,0.09547
116,116,2004,Rural regions,Good,0.38262,2986,21571,0.37098,0.39329
117,117,2004,Rural regions,Satisfactory,0.3427,2436,21571,0.33219,0.35459
118,118,2004,Rural regions,Poor,0.14564,932,21571,0.13867,0.15325
119,119,2004,Rural regions,Bad,0.04019,253,21571,0.03689,0.04316
120,120,2005,Urban regions,Very good,0.08771,1323,20628,0.08282,0.09144
121,121,2005,Urban regions,Good,0.37647,5567,20628,0.36889,0.38601
122,122,2005,Urban regions,Satisfactory,0.33431,4421,20628,0.32627,0.34255
123,123,2005,Urban regions,Poor,0.1542,1884,20628,0.1487,0.15935
124,124,2005,Urban regions,Bad,0.0473,521,20628,0.04443,0.05055
125,125,2005,Rural regions,Very good,0.09034,622,20628,0.08463,0.09596
126,126,2005,Rural regions,Good,0.37862,2738,20628,0.36785,0.38918
127,127,2005,Rural regions,Satisfactory,0.33867,2343,20628,0.32568,0.34949
128,128,2005,Rural regions,Poor,0.15155,950,20628,0.14497,0.15887
129,129,2005,Rural regions,Bad,0.04081,259,20628,0.03748,0.04431
130,130,2006,Urban regions,Very good,0.09611,1425,22235,0.0913,0.10022
131,131,2006,Urban regions,Good,0.37991,5945,22235,0.37186,0.38855
132,132,2006,Urban regions,Satisfactory,0.3345,4728,22235,0.32724,0.34175
133,133,2006,Urban regions,Poor,0.14244,1935,22235,0.13759,0.14669
134,134,2006,Urban regions,Bad,0.04703,570,22235,0.04427,0.0497
135,135,2006,Rural regions,Very good,0.0901,689,22235,0.08444,0.09663
136,136,2006,Rural regions,Good,0.37728,3027,22235,0.36584,0.38878
137,137,2006,Rural regions,Satisfactory,0.33741,2576,22235,0.32815,0.34829
138,138,2006,Rural regions,Poor,0.14459,1016,22235,0.13768,0.15152
139,139,2006,Rural regions,Bad,0.05062,324,22235,0.04706,0.05413
140,140,2007,Urban regions,Very good,0.08883,1253,20798,0.08339,0.09262
141,141,2007,Urban regions,Good,0.38361,5617,20798,0.37612,0.39201
142,142,2007,Urban regions,Satisfactory,0.33552,4383,20798,0.32807,0.34327
143,143,2007,Urban regions,Poor,0.14705,1854,20798,0.14214,0.15217
144,144,2007,Urban regions,Bad,0.04499,518,20798,0.04216,0.04783
145,145,2007,Rural regions,Very good,0.0852,620,20798,0.07905,0.09123
146,146,2007,Rural regions,Good,0.37762,2814,20798,0.36487,0.39066
147,147,2007,Rural regions,Satisfactory,0.34642,2486,20798,0.33495,0.35704
148,148,2007,Rural regions,Poor,0.15299,993,20798,0.14611,0.15913
149,149,2007,Rural regions,Bad,0.03777,260,20798,0.03432,0.04065
150,150,2008,Urban regions,Very good,0.09458,1240,19542,0.0893,0.09958
151,151,2008,Urban regions,Good,0.3833,5183,19542,0.37371,0.39233
152,152,2008,Urban regions,Satisfactory,0.32915,4086,19542,0.32082,0.33921
153,153,2008,Urban regions,Poor,0.15128,1844,19542,0.14536,0.15646
154,154,2008,Urban regions,Bad,0.04169,463,19542,0.03882,0.04439
155,155,2008,Rural regions,Very good,0.08739,555,19542,0.07965,0.09483
156,156,2008,Rural regions,Good,0.38069,2652,19542,0.36934,0.39429
157,157,2008,Rural regions,Satisfactory,0.3461,2319,19542,0.33484,0.36139
158,158,2008,Rural regions,Poor,0.14509,934,19542,0.13901,0.15243
159,159,2008,Rural regions,Bad,0.04072,266,19542,0.03698,0.04439
160,160,2009,Urban regions,Very good,0.09104,1081,18212,0.0865,0.09717
161,161,2009,Urban regions,Good,0.37342,4712,18212,0.36207,0.38362
162,162,2009,Urban regions,Satisfactory,0.34512,3919,18212,0.33379,0.35568
163,163,2009,Urban regions,Poor,0.14859,1657,18212,0.14236,0.15573
164,164,2009,Urban regions,Bad,0.04183,453,18212,0.03907,0.04454
165,165,2009,Rural regions,Very good,0.07755,479,18212,0.07024,0.0842
166,166,2009,Rural regions,Good,0.37031,2434,18212,0.35443,0.38784
167,167,2009,Rural regions,Satisfactory,0.3668,2343,18212,0.35268,0.38177
168,168,2009,Rural regions,Poor,0.1438,896,18212,0.13462,0.1537
169,169,2009,Rural regions,Bad,0.04154,238,18212,0.03748,0.04589
170,170,2010,Urban regions,Very good,0.10455,2060,24306,0.09796,0.11089
171,171,2010,Urban regions,Good,0.3715,6449,24306,0.35864,0.38373
172,172,2010,Urban regions,Satisfactory,0.3265,4719,24306,0.31577,0.33588
173,173,2010,Urban regions,Poor,0.15231,2078,24306,0.1462,0.15872
174,174,2010,Urban regions,Bad,0.04514,534,24306,0.04152,0.04888
175,175,2010,Rural regions,Very good,0.08306,915,24306,0.07389,0.09304
176,176,2010,Rural regions,Good,0.36996,3479,24306,0.35472,0.38639
177,177,2010,Rural regions,Satisfactory,0.35439,2731,24306,0.33973,0.37083
178,178,2010,Rural regions,Poor,0.14845,1046,24306,0.13914,0.15994
179,179,2010,Rural regions,Bad,0.04414,295,24306,0.03912,0.04954
180,180,2011,Urban regions,Very good,0.11252,2252,28868,0.10689,0.1188
181,181,2011,Urban regions,Good,0.38419,7583,28868,0.375,0.39281
182,182,2011,Urban regions,Satisfactory,0.30874,5505,28868,0.3011,0.31847
183,183,2011,Urban regions,Poor,0.15172,2462,28868,0.14661,0.15662
184,184,2011,Urban regions,Bad,0.04282,663,28868,0.03983,0.04563
185,185,2011,Rural regions,Very good,0.08565,1056,28868,0.07914,0.09128
186,186,2011,Rural regions,Good,0.36595,4208,28868,0.35326,0.3797
187,187,2011,Rural regions,Satisfactory,0.35704,3372,28868,0.34468,0.37276
188,188,2011,Rural regions,Poor,0.14854,1389,28868,0.1423,0.15725
189,189,2011,Rural regions,Bad,0.04282,378,28868,0.03891,0.04774
190,190,2012,Urban regions,Very good,0.10598,2035,28140,0.1009,0.11167
191,191,2012,Urban regions,Good,0.38828,7436,28140,0.37515,0.3977
192,192,2012,Urban regions,Satisfactory,0.32734,5483,28140,0.31828,0.33759
193,193,2012,Urban regions,Poor,0.14105,2290,28140,0.13554,0.14757
194,194,2012,Urban regions,Bad,0.03734,588,28140,0.03465,0.03988
195,195,2012,Rural regions,Very good,0.09401,1024,28140,0.08616,0.10078
196,196,2012,Rural regions,Good,0.37176,4215,28140,0.35922,0.3838
197,197,2012,Rural regions,Satisfactory,0.34603,3363,28140,0.33259,0.35874
198,198,2012,Rural regions,Poor,0.14631,1338,28140,0.13899,0.1554
199,199,2012,Rural regions,Bad,0.0419,368,28140,0.03812,0.0457
200,200,2013,Urban regions,Very good,0.11438,2777,31155,0.10895,0.11886
201,201,2013,Urban regions,Good,0.37343,8230,31155,0.36437,0.38537
202,202,2013,Urban regions,Satisfactory,0.32004,6019,31155,0.31125,0.3292
203,203,2013,Urban regions,Poor,0.14899,2693,31155,0.14249,0.15462
204,204,2013,Urban regions,Bad,0.04315,728,31155,0.04069,0.04658
205,205,2013,Rural regions,Very good,0.09567,1210,31155,0.08811,0.10396
206,206,2013,Rural regions,Good,0.36868,4256,31155,0.35702,0.38436
207,207,2013,Rural regions,Satisfactory,0.34595,3431,31155,0.33237,0.3564
208,208,2013,Rural regions,Poor,0.14658,1448,31155,0.13892,0.15417
209,209,2013,Rural regions,Bad,0.04314,363,31155,0.03801,0.04905
210,210,2014,Urban regions,Very good,0.10759,2095,27627,0.10348,0.11391
211,211,2014,Urban regions,Good,0.37696,7282,27627,0.36629,0.38654
212,212,2014,Urban regions,Satisfactory,0.32141,5478,27627,0.31162,0.33154
213,213,2014,Urban regions,Poor,0.15493,2523,27627,0.14986,0.16093
214,214,2014,Urban regions,Bad,0.03912,613,27627,0.03592,0.04168
215,215,2014,Rural regions,Very good,0.09332,945,27627,0.08473,0.10212
216,216,2014,Rural regions,Good,0.36716,3835,27627,0.35317,0.38081
217,217,2014,Rural regions,Satisfactory,0.3441,3210,27627,0.3328,0.3588
218,218,2014,Rural regions,Poor,0.15542,1318,27627,0.14698,0.16524
219,219,2014,Rural regions,Bad,0.04001,328,27627,0.03594,0.04483
220,220,2015,Urban regions,Very good,0.11256,2243,27304,0.10652,0.11948
221,221,2015,Urban regions,Good,0.37599,7229,27304,0.3641,0.38887
222,222,2015,Urban regions,Satisfactory,0.32173,5355,27304,0.31333,0.33191
223,223,2015,Urban regions,Poor,0.1499,2438,27304,0.1435,0.15513
224,224,2015,Urban regions,Bad,0.03983,552,27304,0.03654,0.04322
225,225,2015,Rural regions,Very good,0.086,985,27304,0.07796,0.09487
226,226,2015,Rural regions,Good,0.3771,3787,27304,0.36327,0.39113
227,227,2015,Rural regions,Satisfactory,0.33626,3104,27304,0.32388,0.35071
228,228,2015,Rural regions,Poor,0.15579,1279,27304,0.14695,0.1641
229,229,2015,Rural regions,Bad,0.04484,332,27304,0.03995,0.05057
230,230,2016,Urban regions,Very good,0.10416,2723,27758,0.09672,0.11083
231,231,2016,Urban regions,Good,0.3842,7070,27758,0.37281,0.39589
232,232,2016,Urban regions,Satisfactory,0.31854,5269,27758,0.30919,0.32839
233,233,2016,Urban regions,Poor,0.15362,2481,27758,0.1464,0.16044
234,234,2016,Urban regions,Bad,0.03948,624,27758,0.03558,0.04254
235,235,2016,Rural regions,Very good,0.08206,1136,27758,0.07384,0.08894
236,236,2016,Rural regions,Good,0.3827,3820,27758,0.36735,0.39955
237,237,2016,Rural regions,Satisfactory,0.33984,3003,27758,0.3259,0.35292
238,238,2016,Rural regions,Poor,0.15403,1284,27758,0.14447,0.16525
239,239,2016,Rural regions,Bad,0.04137,348,27758,0.03691,0.04619
240,240,2017,Urban regions,Very good,0.11535,3201,31098,0.10948,0.12163
241,241,2017,Urban regions,Good,0.37385,7931,31098,0.36278,0.38384
242,242,2017,Urban regions,Satisfactory,0.32472,5897,31098,0.31402,0.33411
243,243,2017,Urban regions,Poor,0.15026,2653,31098,0.14351,0.15622
244,244,2017,Urban regions,Bad,0.03582,615,31098,0.03245,0.03941
245,245,2017,Rural regions,Very good,0.07864,1386,31098,0.07216,0.08408
246,246,2017,Rural regions,Good,0.38344,4294,31098,0.36968,0.40166
247,247,2017,Rural regions,Satisfactory,0.34381,3371,31098,0.33173,0.35682
248,248,2017,Rural regions,Poor,0.15516,1395,31098,0.14497,0.16322
249,249,2017,Rural regions,Bad,0.03895,355,31098,0.03461,0.0437
250,250,2018,Urban regions,Very good,0.11779,3223,29749,0.11217,0.12408
251,251,2018,Urban regions,Good,0.37878,7570,29749,0.36933,0.38852
252,252,2018,Urban regions,Satisfactory,0.31945,5673,29749,0.30898,0.33033
253,253,2018,Urban regions,Poor,0.14814,2491,29749,0.14209,0.15487
254,254,2018,Urban regions,Bad,0.03584,618,29749,0.03274,0.03903
255,255,2018,Rural regions,Very good,0.08353,1331,29749,0.07698,0.09153
256,256,2018,Rural regions,Good,0.37744,3939,29749,0.36463,0.39439
257,257,2018,Rural regions,Satisfactory,0.35939,3247,29749,0.34612,0.37525
258,258,2018,Rural regions,Poor,0.13993,1309,29749,0.13184,0.14774
259,259,2018,Rural regions,Bad,0.03969,348,29749,0.03481,0.04403
260,260,2019,Urban regions,Very good,0.11333,3042,28981,0.10699,0.11982
261,261,2019,Urban regions,Good,0.39381,7731,28981,0.38304,0.40486
262,262,2019,Urban regions,Satisfactory,0.31216,5404,28981,0.29937,0.32071
263,263,2019,Urban regions,Poor,0.14431,2336,28981,0.13725,0.15278
264,264,2019,Urban regions,Bad,0.03639,578,28981,0.03276,0.03972
265,265,2019,Rural regions,Very good,0.07957,1240,28981,0.07223,0.08839
266,266,2019,Rural regions,Good,0.38121,3987,28981,0.36502,0.39963
267,267,2019,Rural regions,Satisfactory,0.35009,3095,28981,0.33635,0.36741
268,268,2019,Rural regions,Poor,0.15506,1279,28981,0.14343,0.16538
269,269,2019,Rural regions,Bad,0.03406,289,28981,0.02927,0.03891
270,270,2020,Urban regions,Very good,0.12431,3822,29855,0.11763,0.13366
271,271,2020,Urban regions,Good,0.38819,8304,29855,0.3752,0.40111
272,272,2020,Urban regions,Satisfactory,0.31171,5259,29855,0.30228,0.32442
273,273,2020,Urban regions,Poor,0.1418,2289,29855,0.13442,0.14856
274,274,2020,Urban regions,Bad,0.03399,535,29855,0.03099,0.03784
275,275,2020,Rural regions,Very good,0.09162,1352,29855,0.08357,0.09948
276,276,2020,Rural regions,Good,0.37741,3946,29855,0.36106,0.39495
277,277,2020,Rural regions,Satisfactory,0.34847,2890,29855,0.33423,0.36424
278,278,2020,Rural regions,Poor,0.14607,1167,29855,0.13759,0.15467
279,279,2020,Rural regions,Bad,0.03643,291,29855,0.03133,0.04213
280,280,2021,Urban regions,Very good,0.13416,2382,19910,0.12563,0.14352
281,281,2021,Urban regions,Good,0.3749,5376,19910,0.35941,0.39274
282,282,2021,Urban regions,Satisfactory,0.30458,3617,19910,0.29127,0.31826
283,283,2021,Urban regions,Poor,0.14731,1701,19910,0.13898,0.15652
284,284,2021,Urban regions,Bad,0.03904,455,19910,0.03418,0.04527
285,285,2021,Rural regions,Very good,0.10462,837,19910,0.09377,0.11776
286,286,2021,Rural regions,Good,0.37021,2556,19910,0.35121,0.38994
287,287,2021,Rural regions,Satisfactory,0.33211,1910,19910,0.31556,0.3518
288,288,2021,Rural regions,Poor,0.15186,847,19910,0.14081,0.16692
289,289,2021,Rural regions,Bad,0.0412,229,19910,0.03476,0.04923
