"year","age_gr","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2012","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2012","66 +","Westdeutschland","5.13","5.5","73","0","0","8","10","10","4.24","6.02","0","10","5","7"
"2013","17-34","Ostdeutschland","6.96","7.5","514","3","5","9","10","10","6.76","7.16","0","10","8","8"
"2013","17-34","Westdeutschland","6.81","7.5","1323","2","5","9","10","10","6.68","6.94","0","10","8","8"
"2013","35-65","Ostdeutschland","7.52","7.5","842","5","7","9","10","10","7.38","7.66","0","10","8","8"
"2013","35-65","Westdeutschland","7.29","7.5","3351","5","6","9","10","10","7.22","7.36","0","10","8","8"
"2013","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2013","66 +","Westdeutschland","5.6","5.5","65","0","4","8","10","10","4.75","6.45","0","10","5","8"
"2014","17-34","Ostdeutschland","7.45","7.5","438","4","7","9","10","10","7.23","7.67","0","10","8","8"
"2014","17-34","Westdeutschland","7.06","7.5","1469","3","5","9","10","10","6.94","7.18","0","10","8","8"
"2014","35-65","Ostdeutschland","7.23","7.5","819","4","6","9","10","10","7.09","7.37","0","10","8","8"
"2014","35-65","Westdeutschland","7.19","7.5","3540","4","6","9","10","10","7.12","7.26","0","10","8","8"
"2014","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2014","66 +","Westdeutschland","4.99","4.5","71","0","0","8","10","10","4.16","5.82","0","10","5","8"
"2015","17-34","Ostdeutschland","7.69","7.5","355","5","7","9","10","10","7.49","7.89","0","10","8","8"
"2015","17-34","Westdeutschland","7.32","7.5","1103","4","6","9","10","10","7.18","7.46","0","10","8","8"
"2015","35-65","Ostdeutschland","7.2","7.5","717","3","7","9","10","10","7.05","7.35","0","10","8","8"
"2015","35-65","Westdeutschland","7.3","7.5","3012","4","6","9","10","10","7.22","7.38","0","10","8","8"
"2015","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2015","66 +","Westdeutschland","6.56","7.5","72","0","5","9","10","10","5.8","7.32","0","10","8","9"
"2016","17-34","Ostdeutschland","7.46","7.5","290","5","6","9","10","10","7.2","7.72","0","10","8","8"
"2016","17-34","Westdeutschland","7.26","7.5","1080","4","6","9","10","10","7.12","7.4","0","10","8","8"
"2016","35-65","Ostdeutschland","7.45","7.5","686","5","7","9","10","10","7.3","7.6","0","10","8","8"
"2016","35-65","Westdeutschland","7.4","7.5","2709","5","6","9","10","10","7.32","7.48","0","10","8","8"
"2016","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2016","66 +","Westdeutschland","6.13","7.5","61","0","5","8","9","10","5.41","6.85","0","10","7","8"
"2017","17-34","Ostdeutschland","7.59","7.5","271","5","7","9","10","10","7.33","7.85","0","10","8","8"
"2017","17-34","Westdeutschland","7.22","7.5","971","4","6","9","10","10","7.07","7.37","0","10","8","8"
"2017","35-65","Ostdeutschland","7.36","7.5","664","5","7","9","10","10","7.2","7.52","0","10","8","8"
"2017","35-65","Westdeutschland","7.29","7.5","2466","4","6","9","10","10","7.21","7.37","0","10","8","8"
"2017","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2017","66 +","Westdeutschland","6.49","7.5","66","0","5","10","10","10","5.74","7.24","0","10","7","9"
"2018","17-34","Ostdeutschland","6.99","7.5","268","4","5","9","10","10","6.73","7.25","0","10","8","8"
"2018","17-34","Westdeutschland","6.94","7.5","928","3","6","9","10","10","6.78","7.1","0","10","8","8"
"2018","35-65","Ostdeutschland","7.36","7.5","624","5","6","9","9","10","7.2","7.52","0","10","8","8"
"2018","35-65","Westdeutschland","7.18","7.5","2335","4","6","9","10","10","7.09","7.27","0","10","8","8"
"2018","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2018","66 +","Westdeutschland","6","7.5","56","0","1","9","10","10","5.07","6.93","0","10","6","9"
"2019","17-34","Ostdeutschland","7.71","7.5","212","5","7","9","10","10","7.39","8.03","0","10","8","8"
"2019","17-34","Westdeutschland","6.99","7.5","818","3","6","9","10","10","6.82","7.16","0","10","8","8"
"2019","35-65","Ostdeutschland","7.54","7.5","649","5","7","9","10","10","7.39","7.69","0","10","8","8"
"2019","35-65","Westdeutschland","7.41","7.5","2250","5","6","9","10","10","7.32","7.5","0","10","8","8"
"2019","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2019","66 +","Westdeutschland","5.54","6.5","78","0","0","8","10","10","4.7","6.38","0","10","7","9"
"2020","17-34","Ostdeutschland","7.43","7.5","216","4","7","9","10","10","7.07","7.79","0","10","8","8"
"2020","17-34","Westdeutschland","6.69","6.5","988","3","5","8","10","10","6.51","6.87","0","10","7","8"
"2020","35-65","Ostdeutschland","7.28","7.5","627","5","6","9","10","10","7.1","7.46","0","10","8","8"
"2020","35-65","Westdeutschland","6.97","7.5","2516","3","5","9","10","10","6.87","7.07","0","10","8","8"
"2020","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2020","66 +","Westdeutschland","6.36","6.5","65","0","5","9","10","10","5.55","7.17","0","10","7","8"
