"year","regtyp","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1996","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1996","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1997","Laendlicher Raum","maennlich","6.52","6.5","558","3","5","8","10","10","6.32","6.72","0","10","7","7"
"1997","Laendlicher Raum","weiblich","6.69","6.5","630","3","5","9","10","10","6.51","6.87","0","10","7","7"
"1997","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1997","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1998","Laendlicher Raum","maennlich","6.54","6.5","613","3","5","8","9","10","6.35","6.73","0","10","7","7"
"1998","Laendlicher Raum","weiblich","6.78","6.5","676","3","5","9","10","10","6.6","6.96","0","10","7","8"
"1998","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1998","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1999","Laendlicher Raum","maennlich","6.37","6.5","610","3","5","8","10","10","6.18","6.56","0","10","7","7"
"1999","Laendlicher Raum","weiblich","6.62","6.5","685","3","5","8","10","10","6.43","6.81","0","10","7","7"
"1999","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1999","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2000","Laendlicher Raum","maennlich","6.49","6.5","956","3","5","8","10","10","6.32","6.66","0","10","7","7"
"2000","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2000","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2000","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2001","Laendlicher Raum","maennlich","6.33","6.5","745","2","5","8","10","10","6.13","6.53","0","10","7","7"
"2001","Laendlicher Raum","weiblich","6.6","6.5","783","2","5","9","10","10","6.4","6.8","0","10","7","7"
"2001","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2001","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2002","Laendlicher Raum","maennlich","6.43","6.5","645","3","5","8","10","10","6.23","6.63","0","10","7","7"
"2002","Laendlicher Raum","weiblich","6.48","6.5","686","2","5","9","10","10","6.28","6.68","0","10","7","7"
"2002","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2002","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2003","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2003","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2003","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2003","Staedtischer Raum","weiblich","6.23","6.5","3057","3","5","8","10","10","6.14","6.32","0","10","6","7"
"2004","Laendlicher Raum","maennlich","6.31","6.5","620","3","5","8","9","10","6.11","6.51","0","10","7","7"
"2004","Laendlicher Raum","weiblich","6.32","6.5","667","2","5","8","10","10","6.12","6.52","0","10","7","7"
"2004","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2004","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2005","Laendlicher Raum","maennlich","6.12","6.5","608","1","5","8","9","10","5.9","6.34","0","10","7","7"
"2005","Laendlicher Raum","weiblich","6.25","6.5","657","2","5","9","10","10","6.03","6.47","0","10","7","7"
"2005","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2005","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2006","Laendlicher Raum","maennlich","6.21","6.5","616","2","5","8","9","10","6.01","6.41","0","10","7","7"
"2006","Laendlicher Raum","weiblich","6.29","6.5","659","2","5","8","9","10","6.08","6.5","0","10","7","8"
"2006","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2006","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2007","Laendlicher Raum","maennlich","6.34","6.5","581","2","5","8","9","10","6.13","6.55","0","10","7","7"
"2007","Laendlicher Raum","weiblich","6.29","6.5","631","2","5","8","9","10","6.09","6.49","0","10","7","8"
"2007","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2007","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","maennlich","6.56","6.5","484","3","5","8","9","10","6.34","6.78","0","10","7","8"
"2008","Laendlicher Raum","weiblich","6.77","7.5","536","3","5","9","10","10","6.55","6.99","0","10","7","8"
"2008","Staedtischer Raum","maennlich","6.61","6.5","895","3","5","8","10","10","6.45","6.77","0","10","7","8"
"2008","Staedtischer Raum","weiblich","6.63","6.5","948","3","5","8","10","10","6.47","6.79","0","10","7","8"
"2009","Laendlicher Raum","maennlich","6.57","6.5","489","3","5","8","10","10","6.34","6.8","0","10","7","8"
"2009","Laendlicher Raum","weiblich","6.79","7.5","543","3","5","9","10","10","6.56","7.02","0","10","8","8"
"2009","Staedtischer Raum","maennlich","6.49","6.5","788","3","5","8","9","10","6.32","6.66","0","10","7","8"
"2009","Staedtischer Raum","weiblich","6.71","6.5","859","2","5","9","10","10","6.53","6.89","0","10","7","8"
"2010","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2010","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2010","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2010","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2011","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2011","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2012","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2012","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2015","Laendlicher Raum","maennlich","7.06","7.5","837","3","6","9","10","10","6.92","7.2","0","10","8","8"
"2015","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2015","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2015","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2016","Laendlicher Raum","maennlich","7.3","7.5","790","4","6","9","10","10","7.15","7.45","0","10","8","8"
"2016","Laendlicher Raum","weiblich","7.46","7.5","929","5","7","9","10","10","7.31","7.61","0","10","8","8"
"2016","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2016","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2017","Laendlicher Raum","maennlich","7.42","7.5","755","5","6","9","10","10","7.27","7.57","0","10","8","8"
"2017","Laendlicher Raum","weiblich","7.43","7.5","841","5","6","9","10","10","7.28","7.58","0","10","8","8"
"2017","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2017","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2018","Laendlicher Raum","maennlich","6.98","7.5","697","3","6","9","9","10","6.81","7.15","0","10","8","8"
"2018","Laendlicher Raum","weiblich","7.16","7.5","796","4","6","9","10","10","7.01","7.31","0","10","8","8"
"2018","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2018","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2019","Laendlicher Raum","maennlich","7.49","7.5","690","5","7","9","10","10","7.34","7.64","0","10","8","8"
"2019","Laendlicher Raum","weiblich","7.31","7.5","727","4","7","9","10","10","7.14","7.48","0","10","8","8"
"2019","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2019","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2020","Laendlicher Raum","maennlich","7.09","7.5","732","4","6","9","10","10","6.92","7.26","0","10","8","8"
"2020","Laendlicher Raum","weiblich","7.14","7.5","758","3","6","9","10","10","6.96","7.32","0","10","8","8"
"2020","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2020","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
