year,pgisced97,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1989,middle vocational,Westdeutschland,,,,,,,,,,,,
1989,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1989,higher vocational,Westdeutschland,,,,,,,,,,,,
1989,higher education,Westdeutschland,,,,,,,,,,,,
1990,-5,Westdeutschland,,,,,,,,,,,,
1990,-5,Ostdeutschland,,,,,,,,,,,,
1990,-1,Westdeutschland,,,,,,,,,,,,
1990,-1,Ostdeutschland,,,,,,,,,,,,
1990,in school,Westdeutschland,,,,,,,,,,,,
1990,in school,Ostdeutschland,,,,,,,,,,,,
1990,inadequately,Westdeutschland,,,,,,,,,,,,
1990,inadequately,Ostdeutschland,,,,,,,,,,,,
1990,general elemantary,Westdeutschland,,,,,,,,,,,,
1990,general elemantary,Ostdeutschland,6.212375549561218,5.739454078798149,6.6852970203242865,3.0,7.0,10.0,0.0,10.0,7.0,6.0,9.0,52.0
1990,middle vocational,Westdeutschland,,,,,,,,,,,,
1990,middle vocational,Ostdeutschland,7.568864959819531,7.479404352827878,7.658325566811184,6.0,8.0,10.0,0.0,10.0,8.0,7.974999999999994,8.0,872.0
1990,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1990,vocational + Abi,Ostdeutschland,7.672633491735566,7.226631947279604,8.118635036191527,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0,35.0
1990,higher vocational,Westdeutschland,,,,,,,,,,,,
1990,higher vocational,Ostdeutschland,8.05972524635345,7.786386490269968,8.333064002436933,7.0,9.0,10.0,2.5,10.0,9.0,8.0,10.0,80.0
1990,higher education,Westdeutschland,,,,,,,,,,,,
1990,higher education,Ostdeutschland,7.513049352145304,7.402690802451424,7.623407901839183,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,432.0
1991,-5,Westdeutschland,,,,,,,,,,,,
1991,-5,Ostdeutschland,,,,,,,,,,,,
1991,-1,Westdeutschland,,,,,,,,,,,,
1991,-1,Ostdeutschland,,,,,,,,,,,,
1991,in school,Westdeutschland,,,,,,,,,,,,
1991,in school,Ostdeutschland,,,,,,,,,,,,
1991,inadequately,Westdeutschland,,,,,,,,,,,,
1991,inadequately,Ostdeutschland,,,,,,,,,,,,
1991,general elemantary,Westdeutschland,,,,,,,,,,,,
1991,general elemantary,Ostdeutschland,,,,,,,,,,,,
1991,middle vocational,Westdeutschland,,,,,,,,,,,,
1991,middle vocational,Ostdeutschland,,,,,,,,,,,,
1991,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1991,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1991,higher vocational,Westdeutschland,,,,,,,,,,,,
1991,higher vocational,Ostdeutschland,,,,,,,,,,,,
1991,higher education,Westdeutschland,,,,,,,,,,,,
1991,higher education,Ostdeutschland,,,,,,,,,,,,
1992,-5,Westdeutschland,,,,,,,,,,,,
1992,-5,Ostdeutschland,,,,,,,,,,,,
1992,-1,Westdeutschland,,,,,,,,,,,,
1992,-1,Ostdeutschland,,,,,,,,,,,,
1992,in school,Westdeutschland,,,,,,,,,,,,
1992,in school,Ostdeutschland,,,,,,,,,,,,
1992,inadequately,Westdeutschland,,,,,,,,,,,,
1992,inadequately,Ostdeutschland,,,,,,,,,,,,
1992,general elemantary,Westdeutschland,,,,,,,,,,,,
1992,general elemantary,Ostdeutschland,,,,,,,,,,,,
1992,middle vocational,Westdeutschland,,,,,,,,,,,,
1992,middle vocational,Ostdeutschland,,,,,,,,,,,,
1992,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1992,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1992,higher vocational,Westdeutschland,,,,,,,,,,,,
1992,higher vocational,Ostdeutschland,,,,,,,,,,,,
1992,higher education,Westdeutschland,,,,,,,,,,,,
1992,higher education,Ostdeutschland,,,,,,,,,,,,
1993,-5,Westdeutschland,,,,,,,,,,,,
1993,-5,Ostdeutschland,,,,,,,,,,,,
1993,-1,Westdeutschland,,,,,,,,,,,,
1993,-1,Ostdeutschland,,,,,,,,,,,,
1993,in school,Westdeutschland,,,,,,,,,,,,
1993,in school,Ostdeutschland,,,,,,,,,,,,
1993,inadequately,Westdeutschland,,,,,,,,,,,,
1993,inadequately,Ostdeutschland,,,,,,,,,,,,
1993,general elemantary,Westdeutschland,,,,,,,,,,,,
1993,general elemantary,Ostdeutschland,,,,,,,,,,,,
1993,middle vocational,Westdeutschland,,,,,,,,,,,,
1993,middle vocational,Ostdeutschland,,,,,,,,,,,,
1993,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1993,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1993,higher vocational,Westdeutschland,,,,,,,,,,,,
1993,higher vocational,Ostdeutschland,,,,,,,,,,,,
1993,higher education,Westdeutschland,,,,,,,,,,,,
1993,higher education,Ostdeutschland,,,,,,,,,,,,
1994,-5,Westdeutschland,,,,,,,,,,,,
1994,-5,Ostdeutschland,,,,,,,,,,,,
1994,-1,Westdeutschland,,,,,,,,,,,,
1994,-1,Ostdeutschland,,,,,,,,,,,,
1994,in school,Westdeutschland,,,,,,,,,,,,
1994,in school,Ostdeutschland,,,,,,,,,,,,
1994,inadequately,Westdeutschland,,,,,,,,,,,,
1994,inadequately,Ostdeutschland,,,,,,,,,,,,
1994,general elemantary,Westdeutschland,,,,,,,,,,,,
1994,general elemantary,Ostdeutschland,,,,,,,,,,,,
1994,middle vocational,Westdeutschland,,,,,,,,,,,,
1994,middle vocational,Ostdeutschland,,,,,,,,,,,,
1994,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1994,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1994,higher vocational,Westdeutschland,,,,,,,,,,,,
1994,higher vocational,Ostdeutschland,,,,,,,,,,,,
1994,higher education,Westdeutschland,,,,,,,,,,,,
1994,higher education,Ostdeutschland,,,,,,,,,,,,
1995,-5,Westdeutschland,,,,,,,,,,,,
1995,-5,Ostdeutschland,,,,,,,,,,,,
1995,-1,Westdeutschland,,,,,,,,,,,,
1995,-1,Ostdeutschland,,,,,,,,,,,,
1995,in school,Westdeutschland,,,,,,,,,,,,
1995,in school,Ostdeutschland,,,,,,,,,,,,
1995,inadequately,Westdeutschland,,,,,,,,,,,,
1995,inadequately,Ostdeutschland,,,,,,,,,,,,
1995,general elemantary,Westdeutschland,,,,,,,,,,,,
1995,general elemantary,Ostdeutschland,,,,,,,,,,,,
1995,middle vocational,Westdeutschland,,,,,,,,,,,,
1995,middle vocational,Ostdeutschland,,,,,,,,,,,,
1995,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1995,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1995,higher vocational,Westdeutschland,,,,,,,,,,,,
1995,higher vocational,Ostdeutschland,,,,,,,,,,,,
1995,higher education,Westdeutschland,,,,,,,,,,,,
1995,higher education,Ostdeutschland,,,,,,,,,,,,
1996,-5,Westdeutschland,,,,,,,,,,,,
1996,-5,Ostdeutschland,,,,,,,,,,,,
1996,-1,Westdeutschland,,,,,,,,,,,,
1996,-1,Ostdeutschland,,,,,,,,,,,,
1996,in school,Westdeutschland,,,,,,,,,,,,
1996,in school,Ostdeutschland,,,,,,,,,,,,
1996,inadequately,Westdeutschland,,,,,,,,,,,,
1996,inadequately,Ostdeutschland,,,,,,,,,,,,
1996,general elemantary,Westdeutschland,,,,,,,,,,,,
1996,general elemantary,Ostdeutschland,,,,,,,,,,,,
1996,middle vocational,Westdeutschland,,,,,,,,,,,,
1996,middle vocational,Ostdeutschland,,,,,,,,,,,,
1996,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1996,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1996,higher vocational,Westdeutschland,,,,,,,,,,,,
1996,higher vocational,Ostdeutschland,,,,,,,,,,,,
1996,higher education,Westdeutschland,,,,,,,,,,,,
1996,higher education,Ostdeutschland,,,,,,,,,,,,
1997,-5,Westdeutschland,,,,,,,,,,,,
1997,-5,Ostdeutschland,,,,,,,,,,,,
1997,-1,Westdeutschland,6.712517883385176,6.466468685757673,6.958567081012679,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,81.0
1997,-1,Ostdeutschland,,,,,,,,,,,,
1997,in school,Westdeutschland,,,,,,,,,,,,
1997,in school,Ostdeutschland,,,,,,,,,,,,
1997,inadequately,Westdeutschland,5.916017472103881,5.731350326823523,6.10068461738424,4.0,6.0,8.0,0.0,10.0,6.0,5.0,7.0,128.0
1997,inadequately,Ostdeutschland,,,,,,,,,,,,
1997,general elemantary,Westdeutschland,6.2785719608768416,6.175082203428146,6.382061718325537,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,512.0
1997,general elemantary,Ostdeutschland,,,,,,,,,,,,
1997,middle vocational,Westdeutschland,6.3326651238963985,6.263666787459242,6.4016634603335545,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1298.0
1997,middle vocational,Ostdeutschland,6.804820519438041,6.706466270202709,6.903174768673374,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,506.0
1997,vocational + Abi,Westdeutschland,6.429781897978769,6.234861989591468,6.62470180636607,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,139.0
1997,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1997,higher vocational,Westdeutschland,6.362161155511311,6.206275038709719,6.518047272312903,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,193.0
1997,higher vocational,Ostdeutschland,6.512595530696721,6.202886015792076,6.822305045601366,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,54.0
1997,higher education,Westdeutschland,6.466684670101772,6.341943322669837,6.591426017533707,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,260.0
1997,higher education,Ostdeutschland,6.537158626002989,6.393941832084344,6.680375419921633,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,218.0
1998,-5,Westdeutschland,,,,,,,,,,,,
1998,-5,Ostdeutschland,,,,,,,,,,,,
1998,-1,Westdeutschland,6.261527940775993,6.029536140171141,6.493519741380846,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,132.0
1998,-1,Ostdeutschland,,,,,,,,,,,,
1998,in school,Westdeutschland,,,,,,,,,,,,
1998,in school,Ostdeutschland,,,,,,,,,,,,
1998,inadequately,Westdeutschland,5.713833970356909,5.45302596264991,5.974641978063907,4.0837445212998436,6.0,8.0,0.0,10.0,6.0,5.0,7.0,111.0
1998,inadequately,Ostdeutschland,,,,,,,,,,,,
1998,general elemantary,Westdeutschland,6.219252740413877,6.113883123740222,6.324622357087532,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,510.0
1998,general elemantary,Ostdeutschland,6.780747934735754,6.416103407294841,7.145392462176668,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,38.0
1998,middle vocational,Westdeutschland,6.570918250549296,6.505250445717342,6.636586055381249,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1336.0
1998,middle vocational,Ostdeutschland,7.182754088615161,7.092668439552264,7.272839737678058,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,543.0
1998,vocational + Abi,Westdeutschland,6.697134976019131,6.519554003961793,6.87471594807647,5.0,7.0,9.0,0.0,10.0,7.0,6.0,8.0,152.0
1998,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1998,higher vocational,Westdeutschland,6.175521478151671,6.005448862022433,6.345594094280909,4.0,7.0,8.0,0.0,10.0,7.0,7.0,8.0,211.0
1998,higher vocational,Ostdeutschland,6.889832334294073,6.617271687143715,7.16239298144443,5.0,8.0,8.0,1.0,10.0,8.0,8.0,10.0,53.0
1998,higher education,Westdeutschland,6.788780232926758,6.6585915057878955,6.91896896006562,5.051831905958345,7.0,8.700867423982476,0.0,10.0,7.0,7.0,7.0,308.0
1998,higher education,Ostdeutschland,6.838421872588753,6.6802249164483785,6.996618828729127,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,221.0
1999,-5,Westdeutschland,,,,,,,,,,,,
1999,-5,Ostdeutschland,,,,,,,,,,,,
1999,-1,Westdeutschland,6.588921587705391,6.325689715603862,6.85215345980692,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,92.0
1999,-1,Ostdeutschland,,,,,,,,,,,,
1999,in school,Westdeutschland,,,,,,,,,,,,
1999,in school,Ostdeutschland,,,,,,,,,,,,
1999,inadequately,Westdeutschland,6.364416551948883,6.142286176594888,6.586546927302878,5.0,7.0,8.0,0.5,10.0,7.0,6.0,9.0,109.0
1999,inadequately,Ostdeutschland,,,,,,,,,,,,
1999,general elemantary,Westdeutschland,6.3424648319564705,6.230336874509484,6.454592789403457,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,488.0
1999,general elemantary,Ostdeutschland,5.635697182979489,5.206831175456024,6.064563190502954,4.0,6.0,8.0,0.0,10.0,6.0,5.0,7.0,41.0
1999,middle vocational,Westdeutschland,6.52482012482881,6.458337258435522,6.591302991222097,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1362.0
1999,middle vocational,Ostdeutschland,6.81716711332565,6.715079957040531,6.919254269610769,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,533.0
1999,vocational + Abi,Westdeutschland,6.7049470553193276,6.521380987948259,6.888513122690396,5.0,7.0,9.0,1.0,10.0,7.0,6.0,8.0,157.0
1999,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1999,higher vocational,Westdeutschland,6.6084460447232125,6.444169973478467,6.772722115967958,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,217.0
1999,higher vocational,Ostdeutschland,6.627087155440939,6.295587009731595,6.958587301150282,5.0,7.0,8.0,2.0,10.0,7.0,6.0,8.0,45.0
1999,higher education,Westdeutschland,6.75823833454923,6.632317457562431,6.884159211536028,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,301.0
1999,higher education,Ostdeutschland,6.715601912500872,6.557428528828829,6.873775296172914,5.901697563947776,7.0,8.0,2.75424390986944,10.0,7.0,6.0,7.0,211.0
2000,-5,Westdeutschland,,,,,,,,,,,,
2000,-5,Ostdeutschland,,,,,,,,,,,,
2000,-1,Westdeutschland,,,,,,,,,,,,
2000,-1,Ostdeutschland,,,,,,,,,,,,
2000,in school,Westdeutschland,,,,,,,,,,,,
2000,in school,Ostdeutschland,,,,,,,,,,,,
2000,inadequately,Westdeutschland,7.057611550984388,6.80008385946857,7.315139242500207,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.024999999999999,91.0
2000,inadequately,Ostdeutschland,,,,,,,,,,,,
2000,general elemantary,Westdeutschland,6.242658399873535,6.129277027489799,6.356039772257271,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,623.0
2000,general elemantary,Ostdeutschland,6.750306964150276,6.354005405445554,7.146608522854998,5.0,7.785854216680257,9.0,0.0,10.0,8.0,7.974999999999994,10.0,49.0
2000,middle vocational,Westdeutschland,6.518642537136225,6.467574995989292,6.569710078283158,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2441.0
2000,middle vocational,Ostdeutschland,6.75403878438208,6.66057037318941,6.8475071955747495,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,713.0
2000,vocational + Abi,Westdeutschland,6.403601344037399,6.260394823340569,6.5468078647342285,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,335.0
2000,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
2000,higher vocational,Westdeutschland,6.697536620383777,6.583717068968951,6.811356171798603,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,487.0
2000,higher vocational,Ostdeutschland,6.527796207151856,6.306183480801516,6.749408933502196,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,99.0
2000,higher education,Westdeutschland,6.441738971120791,6.349715003740381,6.533762938501201,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,744.0
2000,higher education,Ostdeutschland,6.741986790455384,6.5871131564174155,6.896860424493352,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,259.0
2001,-5,Westdeutschland,,,,,,,,,,,,
2001,-5,Ostdeutschland,,,,,,,,,,,,
2001,-1,Westdeutschland,,,,,,,,,,,,
2001,-1,Ostdeutschland,,,,,,,,,,,,
2001,in school,Westdeutschland,,,,,,,,,,,,
2001,in school,Ostdeutschland,,,,,,,,,,,,
2001,inadequately,Westdeutschland,6.875288770249026,6.591848642210005,7.158728898288047,5.0,8.0,8.232377424233153,2.0,10.0,8.0,8.0,11.0,56.0
2001,inadequately,Ostdeutschland,,,,,,,,,,,,
2001,general elemantary,Westdeutschland,6.476886094873726,6.341170107078212,6.61260208266924,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,485.0
2001,general elemantary,Ostdeutschland,5.687672746063204,5.337667071399002,6.037678420727406,5.0,7.0,8.0,0.5,10.0,7.0,7.0,9.0,50.0
2001,middle vocational,Westdeutschland,6.352238185124158,6.289565815403693,6.414910554844623,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1771.0
2001,middle vocational,Ostdeutschland,6.558348055434459,6.442792938596218,6.6739031722727,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,535.0
2001,vocational + Abi,Westdeutschland,6.580613413402829,6.424893196139891,6.736333630665767,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,261.0
2001,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
2001,higher vocational,Westdeutschland,6.777576982322284,6.648962541431044,6.9061914232135235,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,349.0
2001,higher vocational,Ostdeutschland,6.471131421068172,6.191360377623922,6.750902464512422,5.0,7.2431902347671615,8.0,0.5,10.0,7.0,6.0,8.0,76.0
2001,higher education,Westdeutschland,6.330409419873712,6.218121444786404,6.44269739496102,5.0,7.0,8.0,0.5,10.0,7.0,6.974999999999994,7.0,571.0
2001,higher education,Ostdeutschland,6.341902838724141,6.1492886792286185,6.534516998219663,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,169.0
2002,-5,Westdeutschland,,,,,,,,,,,,
2002,-5,Ostdeutschland,,,,,,,,,,,,
2002,-1,Westdeutschland,,,,,,,,,,,,
2002,-1,Ostdeutschland,,,,,,,,,,,,
2002,in school,Westdeutschland,,,,,,,,,,,,
2002,in school,Ostdeutschland,,,,,,,,,,,,
2002,inadequately,Westdeutschland,6.677446027711171,6.371751082473013,6.983140972949329,5.0,6.962309653528704,8.0,2.0,10.0,7.0,6.0,9.0,42.0
2002,inadequately,Ostdeutschland,,,,,,,,,,,,
2002,general elemantary,Westdeutschland,6.227834279605496,6.085362129467058,6.370306429743933,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,379.0
2002,general elemantary,Ostdeutschland,6.987789676697954,6.684199907607667,7.291379445788241,6.0,7.0,8.0,3.0,10.0,7.0,6.0,8.0,36.0
2002,middle vocational,Westdeutschland,6.290381218528926,6.227209232361284,6.353553204696567,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1583.0
2002,middle vocational,Ostdeutschland,6.454250319045326,6.334520180694958,6.573980457395694,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,456.0
2002,vocational + Abi,Westdeutschland,6.630060391281868,6.492106692797295,6.7680140897664405,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,278.0
2002,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
2002,higher vocational,Westdeutschland,6.485472635892997,6.362927130534766,6.608018141251227,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,352.0
2002,higher vocational,Ostdeutschland,7.219539335661821,7.03618434980871,7.402894321514932,6.0,7.0,9.0,2.0,10.0,7.0,6.0,7.0,81.0
2002,higher education,Westdeutschland,6.408799115843985,6.316925650811657,6.500672580876313,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,673.0
2002,higher education,Ostdeutschland,7.245406722412449,7.079228413016368,7.41158503180853,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,160.0
2003,-5,Westdeutschland,,,,,,,,,,,,
2003,-5,Ostdeutschland,,,,,,,,,,,,
2003,-1,Westdeutschland,5.845037466370231,5.536314107070655,6.153760825669806,4.0,5.0170595758863925,8.0,0.0,10.0,5.0,3.0,5.0,63.0
2003,-1,Ostdeutschland,,,,,,,,,,,,
2003,in school,Westdeutschland,6.558331355482255,6.39068888838717,6.72597382257734,6.0,7.0,7.0,4.5,8.5,7.0,7.0,8.0,89.0
2003,in school,Ostdeutschland,6.398629913717831,6.091465806739011,6.705794020696651,5.0,7.0,8.0,3.0,9.0,7.0,6.0,9.0,32.0
2003,inadequately,Westdeutschland,6.043906974565313,5.749126201123622,6.338687748007003,5.0,6.179541872899499,8.0,0.5,10.0,6.0,4.0,7.0,85.0
2003,inadequately,Ostdeutschland,,,,,,,,,,,,
2003,general elemantary,Westdeutschland,6.363361692122941,6.2745263197103975,6.452197064535484,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,758.0
2003,general elemantary,Ostdeutschland,5.843489732448936,5.6226661397235445,6.064313325174328,5.0,6.0,8.0,0.5,10.0,6.0,5.0,7.0,124.0
2003,middle vocational,Westdeutschland,6.334146274749685,6.292152078041589,6.376140471457781,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3370.0
2003,middle vocational,Ostdeutschland,6.128731008581865,6.05798778074143,6.1994742364223,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,1219.0
2003,vocational + Abi,Westdeutschland,6.1859762341878,6.082034512570528,6.2899179558050715,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,499.0
2003,vocational + Abi,Ostdeutschland,6.786010710885668,6.548291596558156,7.02372982521318,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.024999999999999,73.0
2003,higher vocational,Westdeutschland,6.502848024855973,6.410800424036492,6.594895625675453,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0249999999999995,606.0
2003,higher vocational,Ostdeutschland,6.375871488070178,6.232108654700415,6.519634321439941,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,211.0
2003,higher education,Westdeutschland,6.211420660355451,6.147808341370696,6.275032979340206,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1364.0
2003,higher education,Ostdeutschland,6.088230057084742,5.99821060682559,6.178249507343893,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,598.0
2004,-5,Westdeutschland,,,,,,,,,,,,
2004,-5,Ostdeutschland,,,,,,,,,,,,
2004,-1,Westdeutschland,,,,,,,,,,,,
2004,-1,Ostdeutschland,,,,,,,,,,,,
2004,in school,Westdeutschland,,,,,,,,,,,,
2004,in school,Ostdeutschland,,,,,,,,,,,,
2004,inadequately,Westdeutschland,7.023050141680056,6.668363116177325,7.3777371671827865,6.0,8.0,8.302685790801874,2.545971313797189,10.0,8.0,8.0,9.024999999999999,49.0
2004,inadequately,Ostdeutschland,,,,,,,,,,,,
2004,general elemantary,Westdeutschland,6.486518348327883,6.352045535804688,6.620991160851078,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,355.0
2004,general elemantary,Ostdeutschland,5.328976792320767,4.881204160072391,5.776749424569143,3.0,5.0,7.0,0.0,10.0,5.0,3.0,6.0,42.0
2004,middle vocational,Westdeutschland,6.16587923539309,6.098900600945908,6.232857869840273,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1431.0
2004,middle vocational,Ostdeutschland,6.199717490545889,6.081692259197795,6.317742721893983,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,507.0
2004,vocational + Abi,Westdeutschland,6.635068613802503,6.493123894339645,6.77701333326536,5.0,7.0,8.110207469646392,0.3346887955304121,10.0,7.0,7.0,7.0,242.0
2004,vocational + Abi,Ostdeutschland,7.111618705138148,6.668495344460461,7.554742065815835,6.0,8.0,9.0,1.5,10.0,8.0,7.974999999999994,9.0,37.0
2004,higher vocational,Westdeutschland,6.278753174881059,6.143471589654038,6.41403476010808,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,305.0
2004,higher vocational,Ostdeutschland,6.917423001359975,6.720418960851931,7.114427041868018,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,90.0
2004,higher education,Westdeutschland,6.301423457106249,6.201078496891773,6.401768417320724,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,593.0
2004,higher education,Ostdeutschland,6.764393611134052,6.594468649767319,6.934318572500785,5.0,7.0,9.0,0.0,10.0,7.0,6.0,8.0,183.0
2005,-5,Westdeutschland,,,,,,,,,,,,
2005,-5,Ostdeutschland,,,,,,,,,,,,
2005,-1,Westdeutschland,,,,,,,,,,,,
