year,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,Rural regions,Disabled (> 30%),0.09252,441,4938,0.08444,0.10060
1999,Urban regions,Not Disabled (<= 30%),0.72043,7920,8866,0.71108,0.72977
1999,Urban regions,Disabled (> 30%),0.11087,946,8866,0.10433,0.11741
1999,Rural regions,Not Disabled (<= 30%),0.72058,4345,4784,0.70786,0.73329
1999,Rural regions,Disabled (> 30%),0.09560,439,4784,0.08727,0.10393
2000,Urban regions,Not Disabled (<= 30%),0.72923,14028,15679,0.72227,0.73618
2000,Urban regions,Disabled (> 30%),0.09837,1651,15679,0.09370,0.10303
2000,Rural regions,Not Disabled (<= 30%),0.73444,7604,8375,0.72498,0.74390
2000,Rural regions,Disabled (> 30%),0.08697,771,8375,0.08093,0.09301
2001,Urban regions,Not Disabled (<= 30%),0.72660,12746,14274,0.71929,0.73392
2001,Urban regions,Disabled (> 30%),0.10008,1528,14274,0.09516,0.10501
2001,Rural regions,Not Disabled (<= 30%),0.74218,6923,7590,0.73234,0.75202
2001,Rural regions,Disabled (> 30%),0.08361,667,7590,0.07739,0.08984
2002,Urban regions,Not Disabled (<= 30%),0.72287,13617,15249,0.71576,0.72997
2002,Urban regions,Disabled (> 30%),0.10659,1632,15249,0.10169,0.11149
2002,Rural regions,Not Disabled (<= 30%),0.73430,6999,7728,0.72445,0.74415
2002,Rural regions,Disabled (> 30%),0.09322,729,7728,0.08674,0.09970
2003,Urban regions,Not Disabled (<= 30%),0.72480,13125,14712,0.71758,0.73202
2003,Urban regions,Disabled (> 30%),0.10519,1587,14712,0.10023,0.11014
2003,Rural regions,Not Disabled (<= 30%),0.73882,6691,7415,0.72882,0.74882
2003,Rural regions,Disabled (> 30%),0.09365,724,7415,0.08702,0.10028
2004,Urban regions,Not Disabled (<= 30%),0.72421,12731,14331,0.71689,0.73153
2004,Urban regions,Disabled (> 30%),0.10896,1600,14331,0.10386,0.11407
2004,Rural regions,Not Disabled (<= 30%),0.74006,6512,7244,0.72995,0.75016
2004,Rural regions,Disabled (> 30%),0.09947,732,7244,0.09258,0.10636
2005,Urban regions,Not Disabled (<= 30%),0.73227,12175,13732,0.72486,0.73967
2005,Urban regions,Disabled (> 30%),0.10677,1557,13732,0.10160,0.11193
2005,Rural regions,Not Disabled (<= 30%),0.74097,6195,6928,0.73065,0.75129
2005,Rural regions,Disabled (> 30%),0.10068,733,6928,0.09360,0.10777
2006,Urban regions,Not Disabled (<= 30%),0.72128,12696,14412,0.71396,0.72860
2006,Urban regions,Disabled (> 30%),0.11130,1716,14412,0.10617,0.11644
2006,Rural regions,Not Disabled (<= 30%),0.73119,6696,7510,0.72116,0.74122
2006,Rural regions,Disabled (> 30%),0.09890,814,7510,0.09215,0.10566
2007,Urban regions,Not Disabled (<= 30%),0.71954,11804,13422,0.71194,0.72714
2007,Urban regions,Disabled (> 30%),0.11117,1618,13422,0.10585,0.11649
2007,Rural regions,Not Disabled (<= 30%),0.73861,6276,7050,0.72836,0.74887
2007,Rural regions,Disabled (> 30%),0.09958,774,7050,0.09259,0.10657
2008,Urban regions,Not Disabled (<= 30%),0.72758,11143,12646,0.71982,0.73534
2008,Urban regions,Disabled (> 30%),0.10824,1503,12646,0.10283,0.11366
2008,Rural regions,Not Disabled (<= 30%),0.74128,5890,6633,0.73074,0.75182
2008,Rural regions,Disabled (> 30%),0.10218,743,6633,0.09489,0.10947
2009,Urban regions,Not Disabled (<= 30%),0.73056,10254,11662,0.72250,0.73861
2009,Urban regions,Disabled (> 30%),0.10919,1408,11662,0.10353,0.11485
2009,Rural regions,Not Disabled (<= 30%),0.74570,5593,6318,0.73496,0.75644
2009,Rural regions,Disabled (> 30%),0.10070,725,6318,0.09328,0.10813
2010,Urban regions,Not Disabled (<= 30%),0.73181,14103,15581,0.72485,0.73877
2010,Urban regions,Disabled (> 30%),0.10824,1478,15581,0.10337,0.11312
2010,Rural regions,Not Disabled (<= 30%),0.74265,7571,8319,0.73325,0.75204
2010,Rural regions,Disabled (> 30%),0.10278,748,8319,0.09625,0.10930
2011,Urban regions,Not Disabled (<= 30%),0.72889,16299,18143,0.72242,0.73536
2011,Urban regions,Disabled (> 30%),0.10610,1844,18143,0.10162,0.11058
2011,Rural regions,Not Disabled (<= 30%),0.73855,9172,10198,0.73002,0.74708
2011,Rural regions,Disabled (> 30%),0.10314,1026,10198,0.09724,0.10905
2012,Urban regions,Not Disabled (<= 30%),0.72607,15572,17466,0.71946,0.73269
2012,Urban regions,Disabled (> 30%),0.10908,1894,17466,0.10446,0.11370
2012,Rural regions,Not Disabled (<= 30%),0.73479,9017,10123,0.72619,0.74339
2012,Rural regions,Disabled (> 30%),0.11085,1106,10123,0.10474,0.11697
2013,Urban regions,Not Disabled (<= 30%),0.72732,18130,20105,0.72117,0.73348
2013,Urban regions,Disabled (> 30%),0.10998,1975,20105,0.10565,0.11430
2013,Rural regions,Not Disabled (<= 30%),0.73730,9408,10473,0.72887,0.74573
2013,Rural regions,Disabled (> 30%),0.10884,1065,10473,0.10288,0.11481
2014,Urban regions,Not Disabled (<= 30%),0.72272,15722,17594,0.71610,0.72933
2014,Urban regions,Disabled (> 30%),0.11334,1872,17594,0.10865,0.11802
2014,Rural regions,Not Disabled (<= 30%),0.73207,8355,9440,0.72313,0.74100
2014,Rural regions,Disabled (> 30%),0.11956,1085,9440,0.11302,0.12611
2015,Urban regions,Not Disabled (<= 30%),0.72902,15702,17437,0.72243,0.73562
2015,Urban regions,Disabled (> 30%),0.11085,1735,17437,0.10619,0.11551
2015,Rural regions,Not Disabled (<= 30%),0.73487,8304,9298,0.72589,0.74384
2015,Rural regions,Disabled (> 30%),0.11206,994,9298,0.10565,0.11848
2016,Urban regions,Not Disabled (<= 30%),0.72347,14091,15720,0.71648,0.73046
2016,Urban regions,Disabled (> 30%),0.10935,1629,15720,0.10447,0.11423
2016,Rural regions,Not Disabled (<= 30%),0.72832,7571,8510,0.71887,0.73777
2016,Rural regions,Disabled (> 30%),0.11162,939,8510,0.10493,0.11831
2017,Urban regions,Not Disabled (<= 30%),0.72208,15321,17111,0.71536,0.72879
2017,Urban regions,Disabled (> 30%),0.10707,1790,17111,0.10243,0.11170
2017,Rural regions,Not Disabled (<= 30%),0.72925,8345,9380,0.72025,0.73824
2017,Rural regions,Disabled (> 30%),0.10810,1035,9380,0.10182,0.11439
2018,Urban regions,Not Disabled (<= 30%),0.72741,14785,16629,0.72064,0.73418
2018,Urban regions,Disabled (> 30%),0.10693,1844,16629,0.10223,0.11163
2018,Rural regions,Not Disabled (<= 30%),0.72436,7900,8960,0.71511,0.73361
2018,Rural regions,Disabled (> 30%),0.11266,1060,8960,0.10612,0.11921
2019,Urban regions,Not Disabled (<= 30%),0.72328,14623,16330,0.71642,0.73014
2019,Urban regions,Disabled (> 30%),0.10367,1707,16330,0.09899,0.10834
2019,Rural regions,Not Disabled (<= 30%),0.71837,7785,8788,0.70896,0.72777
2019,Rural regions,Disabled (> 30%),0.11251,1003,8788,0.10590,0.11911
2020,Urban regions,Not Disabled (<= 30%),0.72747,17286,19007,0.72114,0.73380
2020,Urban regions,Disabled (> 30%),0.10384,1721,19007,0.09950,0.10818
2020,Rural regions,Not Disabled (<= 30%),0.71350,8365,9351,0.70434,0.72267
2020,Rural regions,Disabled (> 30%),0.11601,986,9351,0.10952,0.12251
2021,Urban regions,Not Disabled (<= 30%),0.71928,11771,13043,0.71156,0.72699
2021,Urban regions,Disabled (> 30%),0.10586,1272,13043,0.10058,0.11114
2021,Rural regions,Not Disabled (<= 30%),0.71800,5499,6185,0.70678,0.72921
2021,Rural regions,Disabled (> 30%),0.11446,686,6185,0.10653,0.12240
