year,regtyp,sampreg,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,Rural regions,East,Yes,0.01849,39,2278,0.01295,0.02402
2020,Rural regions,East,No,0.98151,2239,2278,0.97598,0.98705
2021,Urban regions,West,Yes,0.02133,114,7521,0.01807,0.02460
2021,Urban regions,West,No,0.97867,7407,7521,0.97540,0.98193
2021,Urban regions,East,No,0.98656,1008,1008,0.97945,0.99367
2021,Rural regions,West,Yes,0.01829,45,2365,0.01289,0.02369
2021,Rural regions,West,No,0.98171,2320,2365,0.97631,0.98711
2021,Rural regions,East,No,0.98631,1522,1522,0.98047,0.99215
2022,Urban regions,West,Yes,0.02130,169,12233,0.01874,0.02386
2022,Urban regions,West,No,0.97870,12064,12233,0.97614,0.98126
2022,Urban regions,East,No,0.98278,1697,1697,0.97659,0.98897
2022,Rural regions,West,Yes,0.02129,69,3627,0.01659,0.02599
2022,Rural regions,West,No,0.97871,3558,3627,0.97401,0.98341
2022,Rural regions,East,Yes,0.02038,36,2600,0.01495,0.02581
2022,Rural regions,East,No,0.97962,2564,2600,0.97419,0.98505
