"year","bildungsniveau","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median","NA"
"1992","Hauptschule","35.12","9.5","174","5","6","20","35","550","20.03","50.21","1","800","10","15",""
"1992","Realschule","42.94","12.5","374","5","7","25","50","580","31.88","54","1","650","12","15",""
"1993","(Fach-)Abitur","14.73","7.5","467","1","4","20","35","80","13.06","16.4","0","165","7","10",""
"1993","(noch) kein Abschluss","8.05","4.5","308","1","2","10","20","65","6.86","9.24","0","90","3","5",""
"1993","AkademikerIn","12.13","6.5","1108","1","3","16","30","70","11.32","12.94","0","120","5","7",""
"1993","Hauptschule","10.6","5.5","3034","1","2","15","25","64","10.14","11.06","0","180","5","6",""
"1993","Realschule","11.53","6.5","1907","1","2","15","25","65","10.95","12.11","0","110","6","7",""
"1994","(Fach-)Abitur","","","","","","","","","","","","","","",""
"1994","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"1994","AkademikerIn","","","","","","","","","","","","","","",""
"1994","Hauptschule","","","","","","","","","","","","","","",""
"1994","Realschule","","","","","","","","","","","","","","",""
"1995","(Fach-)Abitur","18.32","8.5","561","1","4","21","40","115","14.99","21.65","0","550","7","10",""
"1995","(noch) kein Abschluss","8.17","3.5","262","1","2","12","20","44","6.93","9.41","0","70","3","5",""
"1995","AkademikerIn","16.37","8.5","1233","1","3","20","38","100","14.53","18.21","0","750","7","9",""
"1995","Hauptschule","11.41","5.5","2861","1","2","15","25","87","10.76","12.06","0","440","5","6",""
"1995","Realschule","13.56","7.5","2032","1","3","17","30","78","12.32","14.8","0","600","7","8",""
"1996","(Fach-)Abitur","","","","","","","","","","","","","","",""
"1996","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"1996","AkademikerIn","","","","","","","","","","","","","","",""
"1996","Hauptschule","","","","","","","","","","","","","","",""
"1996","Realschule","","","","","","","","","","","","","","",""
"1997","(Fach-)Abitur","33.75","19.5","276","8","12","36","75","250","27.09","40.41","1","650","17","22",""
"1997","(noch) kein Abschluss","24","14.5","82","4","7","20","40","186","1.48","46.52","1","800","10","20",""
"1997","AkademikerIn","38.22","21.5","605","9","15","39","60","450","32.91","43.53","2","650","20","23",""
"1997","Hauptschule","23.93","14.5","1185","5","9","26","45","138","21.72","26.14","1","600","15","15",""
"1997","Realschule","31.88","17.5","976","7","12","30","48","450","27.37","36.39","2","800","17","20",""
"1998","(Fach-)Abitur","17.29","9.5","753","2","4","24","40","115","15.68","18.9","0","193","9","10",""
"1998","(noch) kein Abschluss","9.19","5.5","292","1","2","10","20","55","7.88","10.5","1","100","4","7",""
"1998","AkademikerIn","16.81","9.5","1253","2","5","22","39","75","15.75","17.87","0","180","10","12",""
"1998","Hauptschule","13.46","7.5","2431","1","3","16","30","80","12.81","14.11","0","200","7","8",""
"1998","Realschule","15.39","9.5","2057","2","4","20","32","100","14.6","16.18","0","200","9","10",""
"1999","(Fach-)Abitur","29.9","19.5","334","7","11","31","46","200","23.11","36.69","2","999","17","20",""
"1999","(noch) kein Abschluss","17.06","14.5","95","5","7","21","36","60","14.57","19.55","3","60","12","18",""
"1999","AkademikerIn","37.31","23.5","707","9","14","36","60","360","32.55","42.07","2","610","20","25",""
"1999","Hauptschule","23.77","14.5","1322","5","9","25","45","125","21.48","26.06","2","800","15","15",""
"1999","Realschule","28.91","17.5","1175","6","10","30","47","300","25.35","32.47","2","630","15","18",""
"2000","(Fach-)Abitur","28.09","19.5","668","6","11","30","50","200","24.85","31.33","1","530","18","20",""
"2000","(noch) kein Abschluss","15.84","11.5","65","5","8","18","30","80","12.24","19.44","3","80","10","15",""
"2000","AkademikerIn","34.51","19.5","1344","8","13","35","60","350","30.75","38.27","2","850","20","23",""
"2000","Hauptschule","24.86","14.5","2226","5","9","25","40","280","22.67","27.05","1","700","15","15",""
"2000","Realschule","27.14","16.5","2109","6","10","29","50","200","25.12","29.16","1","650","16","18",""
"2001","(Fach-)Abitur","18.12","9.5","1211","2","4","20","36","110","15.37","20.87","1","850","8","10",""
"2001","(noch) kein Abschluss","7.54","4.5","177","1","2","10","15","50","6.27","8.81","1","60","3","5",""
"2001","AkademikerIn","22.23","10.5","2253","2","5","23","40","220","19.9","24.56","1","999","11","12",""
"2001","Hauptschule","14.21","7.5","3680","1","3","16","30","80","12.87","15.55","1","999","7","8",""
"2001","Realschule","19.39","9.5","3536","1","3","20","35","200","17.74","21.04","1","750","10","10",""
"2002","(Fach-)Abitur","19.09","9.5","1329","2","4","22","40","160","16.22","21.96","0","770","10","11",""
"2002","(noch) kein Abschluss","7.24","4.5","157","1","2","11","15","30","6.05","8.43","0","39","4","6",""
"2002","AkademikerIn","24.3","10.5","2957","2","5","25","45","348","21.98","26.62","0","999","11","12",""
"2002","Hauptschule","15.12","7.5","3433","1","3","16","30","100","13.51","16.73","0","900","8","8",""
"2002","Realschule","19.73","9.5","3581","1","4","20","35","200","17.93","21.53","0","999","10","10",""
"2003","(Fach-)Abitur","18.23","9.5","1556","2","4","22","40","125","16.8","19.66","1","450","10","12",""
"2003","(noch) kein Abschluss","7.5","4.5","313","1","2","10","16","25","6.63","8.37","1","75","5","6",""
"2003","AkademikerIn","18.68","10.5","2727","2","5","24","40","110","17.53","19.83","1","600","10","12",""
"2003","Hauptschule","13.72","8.5","3092","2","3","18","30","76","13.02","14.42","0","340","8","10",""
"2003","Realschule","15.76","9.5","3455","2","4","20","35","93","15.07","16.45","1","290","10","10",""
"2004","(Fach-)Abitur","17.08","9.5","1299","2","5","20","35","130","15.34","18.82","0","550","10","12",""
"2004","(noch) kein Abschluss","9.42","6.5","123","2","3","13","18","55","7.95","10.89","1","55","5","8",""
"2004","AkademikerIn","24.71","11.5","2710","2","5","25","50","300","22.49","26.93","0","650","12","12",""
"2004","Hauptschule","17.17","7.5","2935","1","3","18","30","180","15.49","18.85","0","900","8","10",""
"2004","Realschule","19.44","9.5","3350","2","4","20","35","200","17.71","21.17","1","960","10","10",""
"2005","(Fach-)Abitur","22.49","9.5","1249","2","4","20","36","250","19.32","25.66","1","999","10","10",""
"2005","(noch) kein Abschluss","11.45","7.5","109","2","3","15","35","50","9.44","13.46","1","50","5","8",""
"2005","AkademikerIn","26.71","11.5","2555","2","5","25","50","300","24.21","29.21","1","999","11","12",""
"2005","Hauptschule","15.68","7.5","2681","1","3","19","33","130","14.3","17.06","1","800","8","10",""
"2005","Realschule","20.06","9.5","3146","1","4","21","37","230","17.96","22.16","1","999","10","11",""
"2006","(Fach-)Abitur","19.49","9.5","1297","2","4","20","36","212","17.04","21.94","1","850","10","12",""
"2006","(noch) kein Abschluss","11.91","9","96","2","4","15","25","44","9.72","14.1","1","66","5","8",""
"2006","AkademikerIn","27","11.5","2782","2","5","26","50","320","24.57","29.43","1","999","12","13",""
"2006","Hauptschule","16.17","7.5","2848","1","3","18","32","140","14.74","17.6","1","800","8","10",""
"2006","Realschule","20.69","9.5","3374","1","4","22","40","250","18.8","22.58","1","999","10","11",""
"2007","(Fach-)Abitur","21.71","9.5","1282","2","4","20","39","300","19.06","24.36","1","600","10","11",""
"2007","(noch) kein Abschluss","12.83","8.5","83","1","4","15","35","44","9.99","15.67","1","70","5","10",""
"2007","AkademikerIn","27.06","11.5","2655","2","5","26","50","350","24.48","29.64","1","999","11","13",""
"2007","Hauptschule","16.17","7.5","2628","1","3","18","32","150","14.62","17.72","1","720","8","10",""
"2007","Realschule","21.36","9.5","3161","1","4","22","40","240","19.32","23.4","1","999","10","11",""
"2008","(Fach-)Abitur","18.74","9.5","1226","2","4","20","35","150","15.85","21.63","1","900","10","10",""
"2008","(noch) kein Abschluss","13.16","7.5","82","1","3","13","35","80","9.49","16.83","1","112","5","10",""
"2008","AkademikerIn","27.46","11.5","2518","2","5","28","50","350","24.78","30.14","1","999","11","13",""
"2008","Hauptschule","18.43","8.5","2479","1","3","20","35","180","16.45","20.41","1","999","8","10",""
"2008","Realschule","20.32","9.5","3093","1","3","22","38","230","18.19","22.45","1","960","10","12",""
"2009","(Fach-)Abitur","19.63","9.5","1133","2","4","21","36","248","16.51","22.75","1","999","10","12",""
"2009","(noch) kein Abschluss","10.69","9.5","84","2","4","15","20","45","8.94","12.44","1","45","5","10",""
"2009","AkademikerIn","25.43","10.5","2429","2","4","25","46","350","22.79","28.07","1","999","11","13",""
"2009","Hauptschule","18.24","9.5","2207","1","3","20","35","220","16.39","20.09","1","999","9","10",""
"2009","Realschule","21.45","10.5","2908","1","4","23","40","230","19.06","23.84","1","999","10","12",""
"2010","(Fach-)Abitur","20.78","10.5","1684","1","4","25","40","150","18.17","23.39","1","700","10","12",""
"2010","(noch) kein Abschluss","10.48","6.5","136","1","3","15","21","65","8.18","12.78","1","80","5","9",""
"2010","AkademikerIn","29.24","11.5","3243","2","4","26","50","460","26.88","31.6","1","999","12","13",""
"2010","Hauptschule","16.92","7.5","2948","1","3","18","30","120","15.27","18.57","1","999","8","10",""
"2010","Realschule","20.29","10.5","4025","1","4","23","40","170","18.63","21.95","1","999","10","10",""
"2011","(Fach-)Abitur","21.01","9.5","2047","1","4","24","40","230","18.59","23.43","1","900","10","11",""
"2011","(noch) kein Abschluss","10.96","8.5","200","1","3","15","21","50","8.9","13.02","1","150","5","9",""
"2011","AkademikerIn","28.02","11.5","3895","2","5","28","50","350","25.91","30.13","1","999","12","13",""
"2011","Hauptschule","16.25","8.5","3492","1","3","18","33","100","14.78","17.72","1","999","8","10",""
"2011","Realschule","20.08","9.5","4827","1","3","21","38","150","18.48","21.68","1","999","10","10",""
"2012","(Fach-)Abitur","20.56","9.5","2125","1","4","23","40","200","18.31","22.81","0","900","10","11",""
"2012","(noch) kein Abschluss","9.67","6.5","213","1","3","15","21","40","8.17","11.17","1","75","5","7",""
"2012","AkademikerIn","28.14","10.5","3788","2","4","26","50","430","25.77","30.51","1","999","12","12",""
"2012","Hauptschule","15.82","7.5","3457","1","3","18","31","100","14.56","17.08","0","700","8","10",""
"2012","Realschule","19.07","9.5","4772","1","3","22","36","150","17.54","20.6","0","999","10","10",""
"2013","(Fach-)Abitur","20.22","9.5","2724","2","4","21","40","280","18.31","22.13","1","999","10","10",""
"2013","(noch) kein Abschluss","8.79","4.5","353","1","2","12","20","45","7.31","10.27","1","150","4","6",""
"2013","AkademikerIn","27.67","10.5","4328","2","5","26","50","400","25.68","29.66","1","999","10","12",""
"2013","Hauptschule","15.31","8.5","4109","1","3","19","30","100","14.41","16.21","1","700","8","9",""
"2013","Realschule","20.52","9.5","4898","1","4","22","37","200","19.11","21.93","1","960","10","10",""
"2014","(Fach-)Abitur","","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"2014","AkademikerIn","","","","","","","","","","","","","","",""
"2014","Hauptschule","","","","","","","","","","","","","","",""
"2014","Realschule","","","","","","","","","","","","","","",""
"2015","(Fach-)Abitur","15.6","9.5","2509","1","4","20","35","86","14.62","16.58","0","800","9","10",""
"2015","(noch) kein Abschluss","9.99","6.5","259","2","3","15","20","43","8.52","11.46","0","120","5","8",""
"2015","AkademikerIn","18.73","10.5","3911","2","4","25","45","101","17.99","19.47","0","400","10","11",""
"2015","Hauptschule","13.25","8.5","3281","1","3","17","30","70","12.69","13.81","0","400","8","9",""
"2015","Realschule","15.09","9.5","4060","1","4","20","35","85","14.55","15.63","1","250","9","10",""
"2016","(Fach-)Abitur","","","","","","","","","","","","","","",""
"2016","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"2016","AkademikerIn","","","","","","","","","","","","","","",""
"2016","Hauptschule","","","","","","","","","","","","","","",""
"2016","Realschule","","","","","","","","","","","","","","",""
"2017","(Fach-)Abitur","14.65","9.5","2614","2","4","20","34","74","13.81","15.49","1","700","10","10",""
"2017","(noch) kein Abschluss","8.97","5.5","262","1","2","12","23","43","7.79","10.15","1","75","5","7",""
"2017","AkademikerIn","18.28","9.5","4101","2","5","25","43","95","17.6","18.96","1","380","10","12",""
"2017","Hauptschule","13.71","8.5","3096","1","3","17","30","80","13.16","14.26","1","150","8","9",""
"2017","Realschule","15.67","10.5","4313","2","4","20","35","86","15.15","16.19","1","289","10","11",""
"2018","(Fach-)Abitur","","","","","","","","","","","","","","",""
"2018","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"2018","AkademikerIn","","","","","","","","","","","","","","",""
"2018","Hauptschule","","","","","","","","","","","","","","",""
"2018","Realschule","","","","","","","","","","","","","","",""
"2019","(Fach-)Abitur","14.77","9.5","2689","1","4","20","35","80","14","15.54","1","675","9","10",""
"2019","(noch) kein Abschluss","8.99","4.5","237","1","3","12","20","40","7.77","10.21","1","55","5","7",""
"2019","AkademikerIn","17.87","9.5","4451","2","5","24","42","100","17.16","18.58","1","536","10","10",""
"2019","Hauptschule","13.66","9.5","2633","1","3","18","30","76","13.07","14.25","1","180","8","9",""
"2019","Realschule","14.75","9.5","4152","2","5","20","32","75","14.25","15.25","1","240","10","10",""
